player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Martin Ødegaard,534670,Arsenal,midfielder,40.21733333333333,11.0,0.0,51
Ben White,776151,Arsenal,defender,40.21,10.0,0.0,50
Bukayo Saka,961995,Arsenal,forward,37.82666666666667,9.0,0.0,47
Christos Tzolis,1157237,Arsenal,forward,34.373333333333335,9.0,0.0,43
Kai Havertz,749736,Arsenal,forward,33.3,9.0,0.0,42
Riccardo Calafiori,1105912,Arsenal,defender,26.22,10.0,0.0,36
Declan Rice,654096,Arsenal,midfielder,23.678666666666665,11.0,0.0,35
Myles Lewis-Skelly,1406436,Arsenal,defender,23.265,10.0,0.0,33
Cristhian Mosquera,1298907,Arsenal,defender,22.31,10.0,0.0,32
Bobby Thomas,1161885,Coventry City,defender,30.795,-5.0,0.0,26
Noni Madueke,1084981,Arsenal,forward,23.90333333333333,0.0,0.0,24
Gabriel,795179,Arsenal,defender,13.23,10.0,0.0,23
Brandon Thomas-Asante,776184,Coventry City,forward,21.87333333333333,0.0,0.0,22
Matt Grimes,478357,Coventry City,midfielder,22.24,-1.0,0.0,21
Ellis Simms,982284,Coventry City,forward,17.813333333333333,0.0,0.0,18
Aurèle Amenda,1257648,Coventry City,defender,21.68,-5.0,0.0,17
Frank Onyeka,856685,Coventry City,midfielder,16.282,-1.0,0.0,15
Loum Tchaouna,1283034,Coventry City,forward,15.013333333333332,0.0,0.0,15
Jack Rudoni,1030830,Coventry City,midfielder,11.234666666666667,2.5,0.0,14
Victor Torp,845985,Coventry City,midfielder,10.967333333333334,2.5,0.0,13
Martín Zubimendi,1031325,Arsenal,midfielder,9.625333333333332,2.5,0.0,12
Mikel Merino,574645,Arsenal,midfielder,9.538666666666666,2.5,0.0,12
Jay Dasilva,759814,Coventry City,defender,15.55,-5.0,0.0,11
Piero Hincapié,1137667,Arsenal,defender,3.025,5.0,0.0,8
Gustavo Hamer,775355,Coventry City,forward,6.3966666666666665,0.0,0.0,6
Eberechi Eze,818975,Arsenal,midfielder,3.578666666666667,2.5,0.0,6
Taiwo Awoniyi,643717,Coventry City,forward,5.966666666666667,0.0,0.0,6
Milan van Ewijk,1074750,Coventry City,defender,9.89,-5.0,0.0,5
Caleb Yirenkyi,1615927,Coventry City,midfielder,5.756666666666667,-1.0,0.0,5
Joel Latibeaudiere,863822,Coventry City,defender,0.0,0.0,0.0,0
Liam Kitching,914399,Coventry City,defender,0.0,0.0,0.0,0
Josh Eccles,962000,Coventry City,midfielder,0.0,0.0,0.0,0
Ethan Nwaneri,1254234,Arsenal,midfielder,0.0,0.0,0.0,0
Max Dowman,1635773,Arsenal,midfielder,0.0,0.0,0.0,0
Viktor Gyökeres,664500,Arsenal,forward,0.0,0.0,0.0,0
Tatsuhiro Sakamoto,1025603,Coventry City,forward,0.0,0.0,0.0,0
Arsenal Keepers,9825,Arsenal,goalkeeper,10.14,18.0,0.0,28
Coventry City Keepers,8669,Coventry City,goalkeeper,19.64,0.0,0.0,20
