player_id,player_name,team_id,team_name,usual_playing_position_id,role,stat_points_weighted,stat_points_dispossessed_formula,stat_points_minutes,stat_points_total,minutes_played_derived,goals_for_while_on_field,goals_against_while_on_field,endowed_points,total_points
688273,Vitaly Janelt,9937,Brentford,2,midfielder,45.65600000000001,1.9,3.0,50.55600000000001,90.0,3,0,11.0,61.55600000000001
1010426,Keane Lewis-Potter,9937,Brentford,1,defender,35.584999999999994,1.8,3.0,40.38499999999999,90.0,3,0,10.0,50.38499999999999
1083796,Kevin Schade,9937,Brentford,3,forward,35.04,2.3,3.0,40.339999999999996,90.0,3,0,9.0,49.339999999999996
1185211,Mamadou Sangaré,9937,Brentford,2,midfielder,30.115999999999996,3.0,2.533333333333333,35.64933333333333,76.0,3,0,11.0,46.64933333333333
552718,Kristoffer Ajer,9937,Brentford,1,defender,30.06,3.0,3.0,36.06,90.0,3,0,10.0,46.06
1429912,Michael Kayode,9937,Brentford,1,defender,26.445,3.0,2.533333333333333,31.97833333333333,76.0,3,0,10.0,41.97833333333333
785411,Marcos Senesi,8586,Tottenham Hotspur,1,defender,38.415,3.0,3.0,44.415,90.0,0,3,-5.0,39.415
650616,Mathias Jensen,9937,Brentford,2,midfielder,20.352,1.9,2.2333333333333334,24.485333333333333,67.0,3,0,11.0,35.48533333333333
357880,Andrew Robertson,8586,Tottenham Hotspur,1,defender,32.515,3.0,3.0,38.515,90.0,0,3,-5.0,33.515
961306,Nathan Collins,9937,Brentford,1,defender,14.925,3.0,3.0,20.925,90.0,3,0,10.0,30.925
1288111,Mathys Tel,8586,Tottenham Hotspur,2,midfielder,24.407999999999998,-0.30000000000000027,3.0,27.107999999999997,90.0,0,3,-1.0,26.107999999999997
1250253,Dango Ouattara,9937,Brentford,3,forward,10.73,4.1,2.2333333333333334,17.063333333333333,67.0,3,0,9.0,26.063333333333333
974618,Jan Paul van Hecke,8586,Tottenham Hotspur,1,defender,23.875,3.0,3.0,29.875,90.0,0,3,-5.0,24.875
1171140,Jaidon Anthony,9937,Brentford,3,forward,17.82,5.0,0.7666666666666666,23.586666666666666,23.0,0,0,0.0,23.586666666666666
1302005,Igor Thiago,9937,Brentford,3,forward,6.779999999999999,5.0,2.7666666666666666,14.546666666666667,83.0,3,0,9.0,23.546666666666667
1407250,Mikey Moore,8586,Tottenham Hotspur,2,midfielder,15.512,3.0,2.2666666666666666,20.778666666666666,68.0,0,3,-1.0,19.778666666666666
1323305,Archie Gray,8586,Tottenham Hotspur,2,midfielder,13.426,3.0,2.8666666666666667,19.29266666666667,86.0,0,3,-1.0,18.29266666666667
1356312,Mateus Fernandes,8586,Tottenham Hotspur,2,midfielder,12.828000000000001,1.9,1.5,16.228,44.0,0,1,0.5,16.728
867414,Sandro Tonali,8586,Tottenham Hotspur,2,midfielder,12.001999999999999,1.9,3.0,16.902,90.0,0,3,-1.0,15.902000000000001
620618,Rodrigo Bentancur,8586,Tottenham Hotspur,2,midfielder,11.754000000000001,1.9,1.5,15.154000000000002,44.0,0,1,0.5,15.654000000000002
888912,Mikkel Damsgaard,9937,Brentford,2,midfielder,10.524000000000001,1.9,0.4666666666666667,12.890666666666668,14.0,0,0,2.5,15.390666666666668
1157236,Yehor Yarmoliuk,9937,Brentford,2,midfielder,7.2540000000000004,1.9,0.7666666666666666,9.920666666666666,23.0,0,0,2.5,12.420666666666666
184321,Callum Wilson,9937,Brentford,3,forward,4.779999999999999,5.0,0.23333333333333334,10.013333333333332,7.0,0,0,0.0,10.013333333333332
1052898,Destiny Udogie,8586,Tottenham Hotspur,1,defender,0.68,3.0,0.13333333333333333,3.8133333333333335,4.0,0,0,5.0,8.813333333333333
1002039,Aaron Hickey,9937,Brentford,1,defender,0.11499999999999999,3.0,0.4666666666666667,3.581666666666667,14.0,0,0,5.0,8.581666666666667
654908,Richarlison,8586,Tottenham Hotspur,3,forward,1.9300000000000002,4.1,2.2666666666666666,8.296666666666667,68.0,0,3,0.0,8.296666666666667
966027,Conor Gallagher,8586,Tottenham Hotspur,2,midfielder,1.8619999999999999,3.0,1.5,6.362,46.0,0,2,1.0,7.362
493165,James Maddison,8586,Tottenham Hotspur,2,midfielder,0.8699999999999997,1.9,0.7333333333333333,3.503333333333333,22.0,0,0,2.5,6.003333333333333
1386775,Lucas Bergvall,8586,Tottenham Hotspur,2,midfielder,1.3959999999999997,1.9,1.5,4.795999999999999,46.0,0,2,1.0,5.795999999999999
591734,Dominic Solanke,8586,Tottenham Hotspur,3,forward,-0.31,4.1,0.7333333333333333,4.5233333333333325,22.0,0,0,0.0,4.5233333333333325
276121,Ben Davies,8586,Tottenham Hotspur,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
562892,Rico Henry,9937,Brentford,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
711357,Ethan Pinnock,9937,Brentford,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
754126,Kevin Danso,8586,Tottenham Hotspur,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1572340,Jannik Schuster,9937,Brentford,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1636112,Luca Williams-Barnett,8586,Tottenham Hotspur,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
