player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Noussair Mazraoui,775539,Morocco,defender,41.38,10.0,0.0,51
Issa Diop,696443,Morocco,defender,40.27,10.0,0.0,50
Azzedine Ounahi,1073143,Morocco,midfielder,37.722,9.0,0.0,47
Achraf Hakimi,770881,Morocco,defender,35.14,10.0,0.0,45
Soufiane Rahimi,988749,Morocco,forward,34.974999999999994,9.0,0.0,44
Brahim Díaz,750027,Morocco,midfielder,29.07,11.0,0.0,40
Stephen Eustaquio,816223,Canada,midfielder,36.196,-1.0,0.0,35
Neil El Aynaoui,1274060,Morocco,midfielder,21.558,11.0,0.0,33
Redouane Halhal,1298186,Morocco,defender,21.47,10.0,0.0,31
Ali Ahmed,1359536,Canada,midfielder,25.642,3.0,0.0,29
Ayyoub Bouaddi,1561552,Morocco,midfielder,18.418000000000003,7.0,0.0,25
Tani Oluwaseyi,1338740,Canada,forward,22.725,0.0,0.0,23
Bilal El Khannouss,1340895,Morocco,midfielder,14.752,7.0,0.0,22
Jonathan David,939569,Canada,forward,21.55,0.0,0.0,22
Chemsdine Talbi,1368654,Morocco,forward,17.091666666666665,3.5,0.0,21
Luc De Fougerolles,1399943,Canada,defender,22.880000000000003,-5.0,0.0,18
Richie Laryea,729506,Canada,defender,11.590000000000002,5.0,0.0,17
Niko Sigur,1494508,Canada,midfielder,15.544,1.0,0.0,17
Marwane Saadane,614912,Morocco,defender,7.680000000000001,5.0,0.0,13
Sofyan Amrabat,593116,Morocco,midfielder,4.58,6.5,0.0,11
Jayden Nelson,1082106,Canada,forward,11.683333333333332,-2.5,0.0,9
Jacob Shaffelburg,1023943,Canada,forward,10.975,-2.5,0.0,8
Alistair Johnston,1055426,Canada,defender,13.37,-5.0,0.0,8
Samir El Mourabet,1598170,Morocco,midfielder,3.562,4.5,0.0,8
Ismael Saibari,1180288,Morocco,midfielder,4.437333333333333,2.5,0.0,7
Promise David,1252132,Canada,forward,9.3,-2.5,0.0,7
Jonathan Osorio,432605,Canada,midfielder,5.906,0.5,0.0,6
Tajon Buchanan,1026135,Canada,midfielder,3.954,1.0,0.0,5
Cyle Larin,544312,Canada,forward,7.133333333333334,-2.5,0.0,5
Moïse Bombito,1440009,Canada,defender,5.07,-5.0,0.0,0
Alphonso Davies,751202,Canada,defender,0.0,0.0,0.0,0
Alfie Jones,789598,Canada,defender,0.0,0.0,0.0,0
Derek Cornelius,847629,Canada,defender,0.0,0.0,0.0,0
Youssef Belammari,909908,Morocco,defender,0.0,0.0,0.0,0
Anass Salah-Eddine,1050838,Morocco,defender,0.0,0.0,0.0,0
Joel Waterman,1100258,Canada,defender,0.0,0.0,0.0,0
Chadi Riad,1187506,Morocco,defender,0.0,0.0,0.0,0
Zakaria El Ouahdi,1287871,Morocco,defender,0.0,0.0,0.0,0
Mathieu Choinière,943428,Canada,midfielder,0.0,0.0,0.0,0
Nathan Saliba,1216798,Canada,midfielder,0.0,0.0,0.0,0
Ayoub El Kaabi,884382,Morocco,forward,0.0,0.0,0.0,0
Liam Millar,932308,Canada,forward,0.0,0.0,0.0,0
Amine Sbaï,1242587,Morocco,forward,0.0,0.0,0.0,0
Gessime Yassine,1603755,Morocco,forward,0.0,0.0,0.0,0
Ayoube Amaimouni-Echghouyab,1680173,Morocco,forward,0.0,0.0,0.0,0
Morocco Keepers,6262,Morocco,goalkeeper,29.06,18.0,0.0,47
Canada Keepers,5810,Canada,goalkeeper,9.62,0.0,0.0,10
