player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Nico Schlotterbeck,1002058,Germany,defender,63.6,5.0,69
Florian Wirtz,1152455,Germany,forward,44.49166666666667,21.0,65
Kai Havertz,749736,Germany,forward,44.05833333333334,21.0,65
Joshua Kimmich,460632,Germany,midfielder,47.99666666666666,15.0,63
Felix Nmecha,966019,Germany,midfielder,41.16533333333333,13.0,54
Deniz Undav,661519,Germany,forward,43.15,6.5,50
Nathaniel Brown,1395447,Germany,defender,44.07333333333332,5.0,49
Jamal Musiala,1156141,Germany,midfielder,36.10533333333333,11.0,47
Aleksandar Pavlovic,1473580,Germany,midfielder,27.317999999999998,17.0,44
Leroy Sané,530859,Germany,forward,22.816666666666666,21.0,44
Livano Comenencia,1243246,Curaçao,midfielder,47.983999999999995,-7.0,41
Juninho Bacuna,614574,Curaçao,midfielder,34.212,-7.0,27
Sontje Hansen,1050160,Curaçao,forward,20.775,3.0,24
Leandro Bacuna,183500,Curaçao,midfielder,27.525999999999996,-7.0,21
Jonathan Tah,469700,Germany,defender,14.183333333333334,5.0,19
Waldemar Anton,664970,Germany,defender,11.773333333333333,5.0,17
Leon Goretzka,343748,Germany,midfielder,7.8406666666666665,6.5,14
Jürgen Locadia,289441,Curaçao,forward,10.958333333333332,3.0,14
David Raum,806669,Germany,defender,8.876666666666667,5.0,14
Tahith Chong,751066,Curaçao,midfielder,17.608666666666668,-5.0,13
Antonio Rüdiger,276738,Germany,defender,6.546666666666667,5.0,12
Jeremy Antonisse,1210947,Curaçao,forward,13.883333333333333,-2.5,11
Armando Obispo,794244,Curaçao,defender,32.39,-25.0,7
Jearl Margaritha,1180784,Curaçao,forward,5.075,-2.5,3
Gervane Kastaneer,380942,Curaçao,forward,4.108333333333333,-2.5,2
Sherel Floranus,671327,Curaçao,defender,22.690000000000005,-25.0,0
Riechedly Bazoer,467479,Curaçao,defender,22.33,-25.0,0
Deveron Fonville,1335315,Curaçao,defender,16.810000000000002,-25.0,0
Joshua Brenet,389845,Curaçao,defender,0.0,0.0,0
Juriën Gaari,708738,Curaçao,defender,0.0,0.0,0
Roshon van Eijma,924844,Curaçao,defender,0.0,0.0,0
Shurandy Sambo,1125997,Curaçao,defender,0.0,0.0,0
Malick Thiaw,1137407,Germany,defender,0.0,0.0,0
Pascal Groß,167008,Germany,midfielder,0.0,0.0,0
Nadiem Amiri,614449,Germany,midfielder,0.0,0.0,0
Kevin Felida,875845,Curaçao,midfielder,0.0,0.0,0
Godfried Roemeratoe,938524,Curaçao,midfielder,0.0,0.0,0
Maximilian Beier,1047667,Germany,midfielder,0.0,0.0,0
Angelo Stiller,1071186,Germany,midfielder,0.0,0.0,0
Tyrese Noslin,1439121,Curaçao,midfielder,0.0,0.0,0
Assan Ouédraogo,1486541,Germany,midfielder,0.0,0.0,0
Brandley Kuwas,352358,Curaçao,forward,0.0,0.0,0
Kenji Gorré,643232,Curaçao,forward,0.0,0.0,0
Jamie Leweling,1074968,Germany,forward,0.0,0.0,0
Nick Woltemade,1106563,Germany,forward,0.0,0.0,0
Arjany Martha,1180735,Curaçao,forward,0.0,0.0,0
Germany Keepers,8570,Germany,goalkeeper,9.84,12.0,22
Curaçao Keepers,287981,Curaçao,goalkeeper,25.84,-24.0,2
