player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Ramin Rezaeian,505959,Iran,defender,57.19,0.0,57
Chris Wood,169719,New Zealand,forward,42.65833333333333,6.0,49
Finn Surman,1325761,New Zealand,defender,47.35000000000001,0.0,47
Elijah Just,1053736,New Zealand,midfielder,40.797999999999995,5.0,46
Ali Nemati,872575,Iran,defender,36.99999999999999,0.0,37
Mohammad Mohebi,1073012,Iran,midfielder,29.535999999999998,5.0,35
Mehdi Taremi,619506,Iran,forward,28.316666666666666,6.0,34
Joe Bell,848345,New Zealand,midfielder,27.109999999999996,5.0,32
Saman Ghoddos,532220,Iran,midfielder,26.488666666666663,5.0,31
Saeid Ezatolahi,505281,Iran,midfielder,25.732,5.0,31
Shahriar Moghanlou,641121,Iran,forward,26.724999999999994,3.0,30
Michael Boxall,128949,New Zealand,defender,29.04,0.0,29
Callum McCowatt,848352,New Zealand,midfielder,23.758666666666663,5.0,29
Marko Stamenic,1209597,New Zealand,midfielder,21.686666666666667,5.0,27
Sarpreet Singh,724531,New Zealand,midfielder,19.668666666666674,5.0,25
Liberato Cacace,919671,New Zealand,midfielder,17.634666666666668,5.0,23
Shoja Khalilzadeh,511397,Iran,defender,21.8,0.0,22
Aria Yousefi,1350138,Iran,defender,13.61,5.0,19
Milad Mohammadi,630459,Iran,defender,15.99,0.0,16
Tim Payne,324305,New Zealand,defender,15.04,0.0,15
Mehdi Ghayedi,848314,Iran,forward,13.458333333333332,0.5,14
Callan Elliot,1013276,New Zealand,defender,8.05,5.0,13
Ali Alipour,505960,Iran,forward,12.366666666666667,0.5,13
Ehsan Haji Safi,117222,Iran,defender,6.083333333333333,5.0,11
Amirhossein Hosseinzadeh,1031319,Iran,forward,11.975,-2.5,9
Benjamin Old,1257745,New Zealand,defender,3.5833333333333335,5.0,9
Ryan Thomas,496356,New Zealand,midfielder,3.7653333333333343,2.5,6
Tommy Smith,115025,New Zealand,defender,0.0,0.0,0
Hossein Kanaani,500637,Iran,defender,0.0,0.0,0
Francis De Vries,825593,New Zealand,defender,0.0,0.0,0
Nando Pijnaker,1053731,New Zealand,defender,0.0,0.0,0
Saleh Hardani,1221526,Iran,defender,0.0,0.0,0
Tyler Bindon,1524716,New Zealand,defender,0.0,0.0,0
Danial Eiri,1729681,Iran,defender,0.0,0.0,0
Roozbeh Cheshmi,505385,Iran,midfielder,0.0,0.0,0
Alex Rufer,519240,New Zealand,midfielder,0.0,0.0,0
Mehdi Torabi,621519,Iran,midfielder,0.0,0.0,0
Dennis Eckert,892709,Iran,midfielder,0.0,0.0,0
Mohammad Ghorbani,1420509,Iran,midfielder,0.0,0.0,0
Lachlan Bayliss,1565865,New Zealand,midfielder,0.0,0.0,0
Amirmohammad Razaghinia,1583232,Iran,midfielder,0.0,0.0,0
Kosta Barbarouses,96488,New Zealand,forward,0.0,0.0,0
Alireza Jahanbakhsh,466890,Iran,forward,0.0,0.0,0
Ben Waine,1034995,New Zealand,forward,0.0,0.0,0
Jesse Randall,1460327,New Zealand,forward,0.0,0.0,0
New Zealand Keepers,5820,New Zealand,goalkeeper,14.639999999999999,6.0,0
Iran Keepers,6711,Iran,goalkeeper,24.040000000000006,6.0,0
