player_id,player_name,team_id,team_name,usual_playing_position_id,role,stat_points_weighted,stat_points_dispossessed_formula,stat_points_minutes,stat_points_total,minutes_played_derived,goals_for_while_on_field,goals_against_while_on_field,endowed_points,total_points
1077894,Jude Bellingham,8491,England,2,midfielder,53.634,0.7999999999999998,3.0,57.434,90.0,3,2,7.0,64.434
720737,Roberto Alvarado,6710,Mexico,3,forward,41.06666666666666,5.0,3.0,49.06666666666666,90.0,2,3,6.0,55.06666666666666
194165,Harry Kane,8491,England,3,forward,34.95,5.0,2.966666666666667,42.91666666666667,90.0,3,2,9.0,51.91666666666667
720560,Julián Quiñones,6710,Mexico,3,forward,31.65833333333333,2.3,2.7,36.65833333333333,81.0,2,3,6.0,42.65833333333333
292313,Raul Jiménez,6710,Mexico,3,forward,22.633333333333333,4.1,3.0,29.733333333333334,90.0,2,3,6.0,35.733333333333334
906937,Anthony Gordon,8491,England,2,midfielder,25.738,-0.30000000000000027,3.0,28.438,90.0,3,2,7.0,35.438
1089691,Elliot Anderson,8491,England,2,midfielder,21.994000000000003,1.9,2.5,26.394000000000002,75.0,3,2,7.0,33.394000000000005
914103,Johan Vásquez,6710,Mexico,1,defender,30.320000000000004,3.0,3.0,36.32000000000001,90.0,2,3,-5.0,31.320000000000007
961995,Bukayo Saka,8491,England,2,midfielder,19.224,3.0,1.9,24.124,57.0,2,1,7.0,31.124
783505,Edson Álvarez,6710,Mexico,2,midfielder,23.294000000000004,3.0,1.5,27.794000000000004,44.0,1,1,2.5,30.294000000000004
844425,Marc Guéhi,8491,England,1,defender,18.03,3.0,3.0,24.03,90.0,3,2,0.0,24.03
188058,Daniel Burn,8491,England,1,defender,14.389999999999999,3.0,0.5,17.89,15.0,0,0,5.0,22.89
895954,Álvaro Fidalgo,6710,Mexico,2,midfielder,17.658,1.9,0.36666666666666664,19.924666666666667,11.0,0,0,2.5,22.424666666666667
597976,Jesús Gallardo,6710,Mexico,1,defender,21.47,1.8,3.0,26.27,90.0,2,3,-5.0,21.27
654096,Declan Rice,8491,England,2,midfielder,7.414,3.0,3.0,13.414,90.0,3,2,7.0,20.414
894803,Djed Spence,8491,England,1,defender,10.100000000000001,3.0,0.5333333333333333,13.633333333333335,15.0,0,0,5.0,18.633333333333333
971628,Érik Lira,6710,Mexico,1,defender,19.14,0.6000000000000001,3.0,22.740000000000002,90.0,2,3,-5.0,17.740000000000002
710159,Ezri Konsa,8491,England,1,defender,11.040000000000003,3.0,3.0,17.040000000000003,90.0,3,2,0.0,17.040000000000003
1170238,Brian Gutiérrez,6710,Mexico,2,midfielder,9.078,1.9,0.9666666666666667,11.944666666666667,29.0,1,0,4.5,16.444666666666667
664644,César Montes,6710,Mexico,1,defender,12.830000000000002,1.8,1.5,16.130000000000003,46.0,1,2,0.0,16.130000000000003
1107620,Jarell Quansah,8491,England,1,defender,8.879999999999999,3.0,1.8,13.68,90.0,3,2,0.0,13.68
727586,Jorge Sánchez,6710,Mexico,1,defender,12.34,3.0,2.6333333333333333,17.973333333333333,79.0,2,3,-5.0,12.973333333333333
263653,John Stones,8491,England,1,defender,8.41,3.0,1.1,12.51,33.0,1,1,0.0,12.51
1300526,Nico O'Reilly,8491,England,1,defender,6.320000000000001,3.0,2.466666666666667,11.786666666666667,75.0,3,2,0.0,11.786666666666667
1670377,Gilberto Mora,6710,Mexico,2,midfielder,2.0140000000000002,3.0,2.033333333333333,7.0473333333333334,61.0,1,3,1.0,8.047333333333334
954092,Santiago Giménez,6710,Mexico,3,forward,0.033333333333333326,4.1,0.9666666666666667,5.1,29.0,1,0,0.5,5.6
921174,Luis Romo,6710,Mexico,1,defender,4.49,1.8,2.033333333333333,8.323333333333334,61.0,1,3,-5.0,3.323333333333334
558539,Guillermo Martínez,6710,Mexico,3,forward,0.16666666666666666,5.0,0.3,5.466666666666667,9.0,0,0,-2.5,2.966666666666667
793907,Trevoh Chalobah,8491,England,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
807729,Reece James,8491,England,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1074586,Israel Reyes,6710,Mexico,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1432212,Mateo Chávez,6710,Mexico,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
156008,Jordan Henderson,8491,England,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
527616,Luis Chávez,6710,Mexico,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
559986,Orbelín Pineda,6710,Mexico,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
818975,Eberechi Eze,8491,England,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
883080,Morgan Rogers,8491,England,2,midfielder,-0.31999999999999995,3.0,0.03333333333333333,0.0,0.0,0,0,0.0,0.0
1254394,Obed Vargas,6710,Mexico,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1292810,Kobbie Mainoo,8491,England,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
408987,Ivan Toney,8491,England,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
540088,Ollie Watkins,8491,England,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
696365,Marcus Rashford,8491,England,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
728365,Alexis Vega,6710,Mexico,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
977404,César Huerta,6710,Mexico,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1084981,Noni Madueke,8491,England,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1456983,Armando González,6710,Mexico,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
