player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Keito Nakamura,887704,Japan,forward,42.891666666666666,6.0,49
Virgil van Dijk,209405,Netherlands,defender,47.79,0.0,48
Ryan Gravenberch,956683,Netherlands,midfielder,35.858000000000004,7.0,43
Daichi Kamada,621515,Japan,midfielder,36.282,5.0,41
Frenkie de Jong,638622,Netherlands,midfielder,35.986000000000004,5.0,41
Jan Paul van Hecke,974618,Netherlands,defender,37.51,0.0,38
Cody Gakpo,806552,Netherlands,forward,31.058333333333326,6.0,37
Crysencio Summerville,941213,Netherlands,forward,27.099999999999998,6.0,33
Tijjani Reijnders,868344,Netherlands,midfielder,22.329333333333334,7.0,29
Micky van de Ven,1097466,Netherlands,defender,27.290000000000003,0.0,27
Denzel Dumfries,593118,Netherlands,midfielder,22.131999999999998,5.0,27
Shogo Taniguchi,523731,Japan,defender,26.770000000000003,0.0,27
Donyell Malen,660301,Netherlands,forward,19.7,6.0,26
Takefusa Kubo,848289,Japan,forward,22.0,3.0,25
Tsuyoshi Watanabe,1023887,Japan,defender,24.99,0.0,25
Junya Ito,604044,Japan,forward,20.716666666666665,0.5,21
Ayase Ueda,942393,Japan,forward,17.491666666666664,3.0,20
Yukinari Sugawara,924610,Japan,defender,13.989999999999998,5.0,19
Quinten Timber,970563,Netherlands,midfielder,17.472666666666665,0.5,18
Koki Ogawa,727837,Japan,forward,16.325,0.5,17
Ritsu Doan,629805,Japan,midfielder,12.414000000000001,3.0,15
Kaishu Sano,1033111,Japan,midfielder,10.39,5.0,15
Takehiro Tomiyasu,664444,Japan,defender,9.57,5.0,15
Hiroki Ito,851626,Japan,defender,14.49,0.0,14
Daizen Maeda,728765,Japan,forward,11.141666666666666,3.0,14
Teun Koopmeiners,866516,Netherlands,midfielder,7.420666666666667,0.5,8
Memphis Depay,303824,Netherlands,forward,8.883333333333331,-2.5,6
Kento Shiogai,1611223,Japan,forward,5.366666666666667,0.5,6
Brian Brobbey,940446,Netherlands,forward,7.166666666666667,-2.5,5
Nathan Aké,417068,Netherlands,defender,3.77,0.0,4
Yuto Nagatomo,98254,Japan,defender,0.0,0.0,0
Ko Itakura,620917,Japan,defender,0.0,0.0,0
Ayumu Seko,857120,Japan,defender,0.0,0.0,0
Lutsharel Geertruida,881640,Netherlands,defender,0.0,0.0,0
Mats Wieffer,970243,Netherlands,defender,0.0,0.0,0
Junnosuke Suzuki,1337765,Japan,defender,0.0,0.0,0
Jorrel Hato,1413846,Netherlands,defender,0.0,0.0,0
Marten de Roon,198559,Netherlands,midfielder,0.0,0.0,0
Justin Kluivert,794253,Netherlands,midfielder,0.0,0.0,0
Ao Tanaka,935728,Japan,midfielder,0.0,0.0,0
Yuito Suzuki,1134467,Japan,midfielder,0.0,0.0,0
Wout Weghorst,351999,Netherlands,forward,0.0,0.0,0
Guus Til,774947,Netherlands,forward,0.0,0.0,0
Noa Lang,837341,Netherlands,forward,0.0,0.0,0
Shuto Machino,915111,Japan,forward,0.0,0.0,0
Keisuke Goto,1436730,Japan,forward,0.0,0.0,0
Netherlands Keepers,6708,Netherlands,goalkeeper,8.600000000000001,6.0,0
Japan Keepers,6715,Japan,goalkeeper,15.700000000000001,6.0,0
