player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Jude Bellingham,1077894,England,midfielder,47.516,7.0,0.0,55
Bukayo Saka,961995,England,forward,40.15,3.0,0.0,43
Andreas Schjelderup,1228558,Norway,forward,38.35,3.0,0.0,41
Martin Ødegaard,534670,Norway,midfielder,37.69,3.0,0.0,41
John Stones,263653,England,defender,33.45,5.0,0.0,38
Sander Berge,540963,Norway,midfielder,33.622,3.0,0.0,37
Elliot Anderson,1089691,England,midfielder,29.324,7.0,0.0,36
Ezri Konsa,710159,England,defender,30.96666666666667,5.0,0.0,36
Julian Ryerson,659272,Norway,midfielder,29.984,5.0,0.0,35
Anthony Gordon,906937,England,midfielder,28.108666666666668,5.0,0.0,33
Kristoffer Ajer,552718,Norway,defender,31.21,0.0,0.0,31
Djed Spence,894803,England,defender,26.113333333333337,5.0,0.0,31
Fredrik Aursnes,310768,Norway,midfielder,26.86,3.0,0.0,30
Harry Kane,194165,England,forward,23.85,6.0,0.0,30
Reece James,807729,England,defender,18.94333333333333,10.0,0.0,29
Nico O'Reilly,1300526,England,defender,21.79666666666667,5.0,0.0,27
Marc Guéhi,844425,England,defender,20.55,5.0,0.0,26
Torbjørn Heggem,935550,Norway,defender,20.53,5.0,0.0,26
Eberechi Eze,818975,England,midfielder,18.236,7.0,0.0,25
Patrick Berg,530635,Norway,midfielder,21.626,3.0,0.0,25
Declan Rice,654096,England,midfielder,17.159999999999997,5.0,0.0,22
Erling Haaland,737066,Norway,forward,18.133333333333333,3.0,0.0,21
Alexander Sørloth,440330,Norway,forward,17.95,3.0,0.0,21
Oscar Bobb,1113790,Norway,forward,20.43333333333333,0.0,0.0,20
David Møller Wolfe,1049679,Norway,defender,12.326666666666666,5.0,0.0,17
Daniel Burn,188058,England,defender,11.510000000000002,5.0,0.0,17
Noni Madueke,1084981,England,forward,12.966666666666669,3.0,0.0,16
Morgan Rogers,883080,England,midfielder,9.835333333333333,4.5,0.0,14
Antonio Nusa,1248482,Norway,forward,9.0,0.0,0.0,9
Leo Østigard,740944,Norway,defender,8.65,0.0,0.0,9
Marcus Holmgren Pedersen,935622,Norway,midfielder,7.539333333333333,0.5,0.0,8
Jørgen Strand Larsen,821100,Norway,forward,7.108333333333333,-2.5,0.0,5
Fredrik André Bjørkan,630228,Norway,defender,0.0,0.0,0.0,0
Trevoh Chalobah,793907,England,defender,0.0,0.0,0.0,0
Henrik Falchener,1110550,Norway,defender,0.0,0.0,0.0,0
Sondre Klingen Langås,1127585,Norway,defender,0.0,0.0,0.0,0
Jordan Henderson,156008,England,midfielder,0.0,0.0,0.0,0
Morten Thorsby,439148,Norway,midfielder,0.0,0.0,0.0,0
Kristian Thorstvedt,921921,Norway,midfielder,0.0,0.0,0.0,0
Thelo Aasgaard,1184468,Norway,midfielder,0.0,0.0,0.0,0
Kobbie Mainoo,1292810,England,midfielder,0.0,0.0,0.0,0
Ivan Toney,408987,England,forward,0.0,0.0,0.0,0
Ollie Watkins,540088,England,forward,0.0,0.0,0.0,0
Marcus Rashford,696365,England,forward,0.0,0.0,0.0,0
Jens Petter Hauge,741397,Norway,forward,0.0,0.0,0.0,0
England Keepers,8491,England,goalkeeper,22.88,12.0,0.0,35
Norway Keepers,8492,Norway,goalkeeper,25.340000000000003,6.0,0.0,31
