player_id,player_name,team_id,team_name,usual_playing_position_id,role,stat_points_weighted,stat_points_dispossessed_formula,stat_points_minutes,stat_points_total,minutes_played_derived,goals_for_while_on_field,goals_against_while_on_field,endowed_points,total_points
1077894,Jude Bellingham,8491,England,2,midfielder,43.016,0.7999999999999998,3.6999999999999997,47.516,111.0,2,1,7.0,54.516
961995,Bukayo Saka,8491,England,3,forward,33.55,4.1,2.5,40.15,74.0,1,0,3.0,43.15
1228558,Andreas Schjelderup,8492,Norway,3,forward,31.083333333333332,5.0,2.2666666666666666,38.349999999999994,67.0,1,1,3.0,41.349999999999994
534670,Martin Ødegaard,8492,Norway,2,midfielder,31.79,1.9,4.0,37.69,120.0,1,2,3.0,40.69
263653,John Stones,8491,England,1,defender,27.650000000000006,1.8,4.0,33.45,120.0,2,1,5.0,38.45
540963,Sander Berge,8492,Norway,2,midfielder,26.622000000000003,3.0,4.0,33.622,120.0,1,2,3.0,36.622
1089691,Elliot Anderson,8491,England,2,midfielder,23.424,1.9,4.0,29.323999999999998,120.0,2,1,7.0,36.324
710159,Ezri Konsa,8491,England,1,defender,25.0,3.0,2.966666666666667,30.96666666666667,89.0,1,1,5.0,35.96666666666667
659272,Julian Ryerson,8492,Norway,2,midfielder,24.984,3.0,2.0,29.984,60.0,1,1,5.0,34.984
906937,Anthony Gordon,8491,England,2,midfielder,23.842000000000002,1.9,2.3666666666666667,28.108666666666668,71.0,1,1,5.0,33.108666666666664
552718,Kristoffer Ajer,8492,Norway,1,defender,24.209999999999997,3.0,4.0,31.209999999999997,120.0,1,2,0.0,31.209999999999997
894803,Djed Spence,8491,England,1,defender,23.180000000000003,1.8,1.1333333333333333,26.113333333333337,34.0,1,0,5.0,31.113333333333337
310768,Fredrik Aursnes,8492,Norway,2,midfielder,21.86,3.0,2.0,26.86,60.0,0,1,3.0,29.86
194165,Harry Kane,8491,England,3,forward,16.65,3.2,4.0,23.849999999999998,120.0,2,1,6.0,29.849999999999998
807729,Reece James,8491,England,1,defender,15.510000000000002,1.8,1.6333333333333333,18.943333333333335,49.0,1,0,10.0,28.943333333333335
1300526,Nico O'Reilly,8491,England,1,defender,17.130000000000003,1.8,2.8666666666666667,21.79666666666667,86.0,1,1,5.0,26.79666666666667
844425,Marc Guéhi,8491,England,1,defender,13.55,3.0,4.0,20.55,120.0,2,1,5.0,25.55
935550,Torbjørn Heggem,8492,Norway,1,defender,14.530000000000001,3.0,3.0,20.53,91.0,1,1,5.0,25.53
818975,Eberechi Eze,8491,England,2,midfielder,14.936,0.7999999999999998,2.5,18.236,74.0,1,0,7.0,25.236
530635,Patrick Berg,8492,Norway,2,midfielder,14.625999999999998,3.0,4.0,21.625999999999998,120.0,1,2,3.0,24.625999999999998
654096,Declan Rice,8491,England,2,midfielder,12.659999999999998,3.0,1.5,17.159999999999997,46.0,1,1,5.0,22.159999999999997
737066,Erling Haaland,8492,Norway,3,forward,10.533333333333333,4.1,3.5,18.133333333333333,106.0,1,2,3.0,21.133333333333333
440330,Alexander Sørloth,8492,Norway,3,forward,11.583333333333332,4.1,2.2666666666666666,17.95,67.0,1,1,3.0,20.95
1113790,Oscar Bobb,8492,Norway,3,forward,14.599999999999998,4.1,1.7333333333333334,20.43333333333333,53.0,0,1,0.0,20.43333333333333
1049679,David Møller Wolfe,8492,Norway,1,defender,6.359999999999999,3.0,2.966666666666667,12.326666666666666,90.0,1,1,5.0,17.326666666666668
188058,Daniel Burn,8491,England,1,defender,8.21,3.0,0.3,11.510000000000002,9.0,0,0,5.0,16.51
1084981,Noni Madueke,8491,England,3,forward,6.466666666666667,5.0,1.5,12.966666666666667,46.0,1,1,3.0,15.966666666666667
883080,Morgan Rogers,8491,England,2,midfielder,5.802,3.0,1.0333333333333332,9.835333333333333,31.0,1,0,4.5,14.335333333333333
1248482,Antonio Nusa,8492,Norway,3,forward,3.166666666666667,4.1,1.7333333333333334,9.0,53.0,0,1,0.0,9.0
740944,Leo Østigard,8492,Norway,1,defender,4.65,3.0,1.0,8.65,29.0,0,1,0.0,8.65
935622,Marcus Holmgren Pedersen,8492,Norway,2,midfielder,4.606,1.9,1.0333333333333332,7.539333333333333,30.0,0,1,0.5,8.039333333333333
821100,Jørgen Strand Larsen,8492,Norway,3,forward,1.6083333333333332,5.0,0.5,7.108333333333333,14.0,0,0,-2.5,4.608333333333333
630228,Fredrik André Bjørkan,8492,Norway,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
793907,Trevoh Chalobah,8491,England,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1110550,Henrik Falchener,8492,Norway,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1127585,Sondre Klingen Langås,8492,Norway,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
156008,Jordan Henderson,8491,England,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
439148,Morten Thorsby,8492,Norway,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
921921,Kristian Thorstvedt,8492,Norway,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1184468,Thelo Aasgaard,8492,Norway,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1292810,Kobbie Mainoo,8491,England,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
408987,Ivan Toney,8491,England,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
540088,Ollie Watkins,8491,England,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
696365,Marcus Rashford,8491,England,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
741397,Jens Petter Hauge,8492,Norway,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
