player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Aurélien Tchouaméni,914458,France,midfielder,56.742,11.0,68
Ousmane Dembélé,692984,France,midfielder,49.82666666666667,9.0,59
Kylian Mbappé,701154,France,forward,49.80833333333333,9.0,59
Désiré Doué,1339208,France,midfielder,40.92000000000001,11.0,52
Dayot Upamecano,658554,France,defender,34.28333333333333,5.0,39
Thelo Aasgaard,1184468,Norway,midfielder,37.120000000000005,-1.0,36
Fredrik Aursnes,310768,Norway,midfielder,36.178,-1.0,35
Andreas Schjelderup,1228558,Norway,forward,31.541666666666668,3.0,35
Jules Koundé,705450,France,defender,28.19,5.0,33
Kouadio Koné,1016132,France,midfielder,21.024,11.0,32
Oscar Bobb,1113790,Norway,forward,27.558333333333334,3.0,31
Maxence Lacroix,950485,France,defender,24.670000000000005,5.0,30
Bradley Barcola,1297165,France,forward,29.041666666666664,0.5,30
Theo Hernández,724371,France,defender,23.680000000000003,5.0,29
Jørgen Strand Larsen,821100,Norway,forward,17.38333333333333,3.0,20
Patrick Berg,530635,Norway,midfielder,20.562,-1.0,20
Ibrahima Konaté,820140,France,defender,14.056666666666668,5.0,19
Michael Olise,1029063,France,midfielder,9.454666666666666,9.0,18
Marcus Holmgren Pedersen,935622,Norway,midfielder,13.784,0.5,14
Kristian Thorstvedt,921921,Norway,midfielder,12.772,1.0,14
Rayan Cherki,1104053,France,midfielder,6.8533333333333335,4.5,11
Fredrik André Bjørkan,630228,Norway,defender,16.349999999999998,-5.0,11
Morten Thorsby,439148,Norway,midfielder,9.922,0.5,10
Malo Gusto,1197250,France,defender,4.84,5.0,10
Henrik Falchener,1110550,Norway,defender,13.490000000000002,-5.0,8
Leo Østigard,740944,Norway,defender,16.84,-10.0,7
Antonio Nusa,1248482,Norway,forward,8.149999999999999,-2.5,6
Jean-Philippe Mateta,706297,France,forward,5.1,0.5,6
Sondre Klingen Langås,1127585,Norway,defender,4.57,0.0,5
Jens Petter Hauge,741397,Norway,forward,4.441666666666666,-2.5,2
Lucas Digne,210111,France,defender,0.0,0.0,0
Lucas Hernández,504606,France,defender,0.0,0.0,0
Kristoffer Ajer,552718,Norway,defender,0.0,0.0,0
Torbjørn Heggem,935550,Norway,defender,0.0,0.0,0
William Saliba,955406,France,defender,0.0,0.0,0
David Møller Wolfe,1049679,Norway,defender,0.0,0.0,0
N'Golo Kanté,319300,France,midfielder,0.0,0.0,0
Adrien Rabiot,352879,France,midfielder,0.0,0.0,0
Martin Ødegaard,534670,Norway,midfielder,0.0,0.0,0
Sander Berge,540963,Norway,midfielder,0.0,0.0,0
Julian Ryerson,659272,Norway,midfielder,0.0,0.0,0
Warren Zaïre-Emery,1367615,France,midfielder,0.0,0.0,0
Alexander Sørloth,440330,Norway,forward,0.0,0.0,0
Marcus Thuram,621562,France,forward,0.0,0.0,0
Erling Haaland,737066,Norway,forward,0.0,0.0,0
Maghnes Akliouche,1305618,France,forward,0.0,0.0,0
France Keepers,6723,France,goalkeeper,21.04,12.0,33
Norway Keepers,8492,Norway,goalkeeper,23.18,-6.0,17
