player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Dayot Upamecano,658554,France,defender,41.93,10.0,0.0,52
William Saliba,955406,France,defender,39.07,10.0,0.0,49
Kylian Mbappé,701154,France,forward,41.84166666666666,3.0,0.0,45
Lucas Digne,210111,France,defender,34.81,10.0,0.0,45
Kouadio Koné,1016132,France,midfielder,30.663999999999994,7.0,0.0,38
Jules Koundé,705450,France,defender,27.000000000000004,10.0,0.0,37
Andrés Cubas,529625,Paraguay,midfielder,33.33999999999999,3.0,0.0,36
Michael Olise,1029063,France,midfielder,23.584,7.0,0.0,31
Désiré Doué,1339208,France,forward,29.83333333333333,0.5,0.0,30
Bradley Barcola,1297165,France,forward,29.349999999999994,0.0,0.0,29
Juan Cáceres,1133495,Paraguay,defender,23.94,5.0,0.0,29
Diego Gómez,1354561,Paraguay,midfielder,24.390666666666668,3.0,0.0,27
Gustavo Velázquez,497352,Paraguay,defender,20.96,5.0,0.0,26
Adrien Rabiot,352879,France,midfielder,18.454,7.0,0.0,25
Júnior Alonso,466214,Paraguay,defender,20.21,5.0,0.0,25
Ousmane Dembélé,692984,France,forward,19.316666666666663,3.0,0.0,22
Omar Alderete,751998,Paraguay,defender,10.923333333333334,10.0,0.0,21
Matías Galarza,1241957,Paraguay,midfielder,15.858,3.0,0.0,19
Gustavo Gómez,274392,Paraguay,defender,11.09,5.0,0.0,16
Miguel Almirón,442277,Paraguay,forward,12.725,0.0,0.0,13
Mauricio,1059490,Paraguay,midfielder,9.043333333333331,2.5,0.0,12
Julio Enciso,1073742,Paraguay,midfielder,5.835333333333333,5.0,0.0,11
Gustavo Caballero,1347933,Paraguay,forward,11.641666666666667,-2.5,0.0,9
Rayan Cherki,1104053,France,midfielder,5.2700000000000005,2.5,0.0,8
José Canale,860890,Paraguay,defender,5.276666666666666,0.0,0.0,5
Gabriel Ávalos,425711,Paraguay,forward,6.449999999999999,-2.5,0.0,4
Fabián Balbuena,307438,Paraguay,defender,0.0,0.0,0.0,0
Lucas Hernández,504606,France,defender,0.0,0.0,0.0,0
Theo Hernández,724371,France,defender,0.0,0.0,0.0,0
Ibrahima Konaté,820140,France,defender,0.0,0.0,0.0,0
Maxence Lacroix,950485,France,defender,0.0,0.0,0.0,0
Malo Gusto,1197250,France,defender,0.0,0.0,0.0,0
Alexandro Maidana,1736527,Paraguay,defender,0.0,0.0,0.0,0
N'Golo Kanté,319300,France,midfielder,0.0,0.0,0.0,0
Alejandro Romero,600850,Paraguay,midfielder,0.0,0.0,0.0,0
Aurélien Tchouaméni,914458,France,midfielder,0.0,0.0,0.0,0
Braian Ojeda,1075065,Paraguay,midfielder,0.0,0.0,0.0,0
Damián Bobadilla,1252913,Paraguay,midfielder,0.0,0.0,0.0,0
Warren Zaïre-Emery,1367615,France,midfielder,0.0,0.0,0.0,0
Antonio Sanabria,474448,Paraguay,forward,0.0,0.0,0.0,0
Marcus Thuram,621562,France,forward,0.0,0.0,0.0,0
Jean-Philippe Mateta,706297,France,forward,0.0,0.0,0.0,0
Isidro Pitta,1033279,Paraguay,forward,0.0,0.0,0.0,0
Ramón Sosa,1132960,Paraguay,forward,0.0,0.0,0.0,0
Maghnes Akliouche,1305618,France,forward,0.0,0.0,0.0,0
Álex Arce,1320444,Paraguay,forward,0.0,0.0,0.0,0
France Keepers,6723,France,goalkeeper,17.38,18.0,0.0,35
Paraguay Keepers,6724,Paraguay,goalkeeper,20.56,12.0,0.0,33
