player_name,player_id,team_name,position,stats_score,endowment_score,final_score
In-Beom Hwang,623698,Korea Republic,midfielder,53.01199999999999,7.0,60
Kang-In Lee,940976,Korea Republic,midfielder,44.752,7.0,52
Gi-Hyuk Lee,1232264,Korea Republic,defender,41.0,5.0,46
Min-Jae Kim,828159,Korea Republic,defender,35.25,5.0,40
Tae-Seok Lee,1107251,Korea Republic,midfielder,29.944000000000003,5.0,35
Ladislav Krejcí,798029,Czech Republic,defender,34.83,0.0,35
Han-Beom Lee,1232253,Korea Republic,defender,29.430000000000003,5.0,34
Jae-Sung Lee,523749,Korea Republic,midfielder,23.336666666666666,3.0,26
Hyun-Gyu Oh,1044299,Korea Republic,forward,25.241666666666667,0.5,26
Seung-Ho Paik,848102,Korea Republic,midfielder,18.654,7.0,26
Young-Woo Seol,1132818,Korea Republic,defender,18.66,5.0,24
Alexandr Sojka,1478281,Czech Republic,midfielder,20.434,3.0,23
Vladimír Coufal,307317,Czech Republic,defender,23.29,0.0,23
Lukás Provod,791682,Czech Republic,midfielder,15.501333333333333,7.0,23
Pavel Sulc,1037539,Czech Republic,forward,16.474999999999998,3.0,19
Jaroslav Zeleny,249063,Czech Republic,defender,19.2,0.0,19
Tomás Soucek,524437,Czech Republic,midfielder,15.41,3.0,18
Heung-Min Son,212867,Korea Republic,forward,14.733333333333334,3.0,18
Ji-Sung Eom,1107283,Korea Republic,forward,14.708333333333332,0.5,15
Stepán Chaloupek,1288146,Czech Republic,defender,14.860000000000001,0.0,15
Patrik Schick,540097,Czech Republic,forward,10.883333333333333,3.0,14
Hee-Chan Hwang,620026,Korea Republic,forward,10.225,3.5,14
Robin Hranác,1225995,Czech Republic,defender,13.079999999999998,0.0,13
Jin-Seob Park,925647,Korea Republic,midfielder,7.694,2.5,10
Tomás Chory,523217,Czech Republic,forward,10.925,-2.5,8
Jin-Gyu Kim,622980,Korea Republic,midfielder,3.8520000000000003,2.5,6
Michal Sadílek,806551,Czech Republic,midfielder,7.568666666666667,-1.5,6
Mojmír Chytil,988769,Czech Republic,forward,8.283333333333333,-2.5,6
Adam Hlozek,969870,Czech Republic,midfielder,6.132666666666667,-1.5,5
Tomás Holes,306168,Czech Republic,defender,0.0,0.0,0
Moon-Hwan Kim,828273,Korea Republic,defender,0.0,0.0,0
Tae-Hyeon Kim,1053477,Korea Republic,defender,0.0,0.0,0
David Zima,1085401,Czech Republic,defender,0.0,0.0,0
Wi-Je Cho,1326507,Korea Republic,defender,0.0,0.0,0
Vladimír Darida,196311,Czech Republic,midfielder,0.0,0.0,0
David Doudera,883759,Czech Republic,midfielder,0.0,0.0,0
Dong-Gyeong Lee,954131,Korea Republic,midfielder,0.0,0.0,0
Lukás Cerv,1151313,Czech Republic,midfielder,0.0,0.0,0
Jens Castrop,1185902,Korea Republic,midfielder,0.0,0.0,0
David Jurásek,1247323,Czech Republic,midfielder,0.0,0.0,0
Jun-Ho Bae,1386482,Korea Republic,midfielder,0.0,0.0,0
Hugo Sochurek,1764021,Czech Republic,midfielder,0.0,0.0,0
Jan Kuchta,690332,Czech Republic,forward,0.0,0.0,0
Gue-Sung Cho,1026781,Korea Republic,forward,0.0,0.0,0
Denis Visinsky,1202885,Czech Republic,forward,0.0,0.0,0
Hyun-Jun Yang,1232560,Korea Republic,forward,0.0,0.0,0
Korea Republic Keepers,7804,Korea Republic,goalkeeper,15.040000000000001,12.0,0
Czech Republic Keepers,8496,Czech Republic,goalkeeper,17.240000000000002,6.0,0
