player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Viktor Gyökeres,664500,Sweden,forward,48.35833333333333,15.0,63
Yasin Ayari,1168311,Sweden,midfielder,43.867999999999995,13.0,57
Alexander Isak,690107,Sweden,forward,44.725,12.0,57
Hannibal Mejbri,1113785,Tunisia,midfielder,46.378,-3.0,43
Gabriel Gudmundsson,744494,Sweden,defender,26.376666666666672,5.0,31
Isak Hien,939780,Sweden,defender,26.26,5.0,31
Lucas Bergvall,1386775,Sweden,midfielder,23.37933333333333,6.5,30
Victor Nilsson Lindelöf,258269,Sweden,defender,23.99,5.0,29
Alexander Bernhardsson,1014688,Sweden,midfielder,16.05266666666667,11.0,27
Jesper Karlström,322003,Sweden,midfielder,15.372,9.0,24
Benjamin Nygren,931605,Sweden,midfielder,14.816666666666666,9.0,24
Montassar Talbi,846392,Tunisia,defender,37.72,-15.0,23
Mattias Svanberg,647900,Sweden,midfielder,15.244,6.5,22
Gustaf Lagerbielke,919848,Sweden,defender,16.18,5.0,21
Anis Ben Slimane,1055316,Tunisia,forward,17.233333333333334,3.0,20
Omar Rekik,1160097,Tunisia,defender,34.75,-15.0,20
Ellyes Skhiri,574642,Tunisia,midfielder,15.45,1.0,16
Elias Saad,1285773,Tunisia,forward,13.166666666666666,3.0,16
Amine Ben Hamida,1131928,Tunisia,defender,30.98,-15.0,16
Elliot Stroud,1272349,Sweden,midfielder,6.337333333333333,6.5,13
Hadj Mahmoud,1131896,Tunisia,midfielder,10.124,-1.5,9
Rani Khedira,304348,Tunisia,midfielder,7.1706666666666665,1.0,8
Yan Valery,789596,Tunisia,defender,10.96,-5.0,6
Elias Achouri,1015128,Tunisia,midfielder,5.558,-1.5,4
Firas Chaouat,845336,Tunisia,forward,5.808333333333334,-2.5,3
Ali Abdi,566187,Tunisia,defender,17.5,-15.0,2
Sebastian Tounekti,921919,Tunisia,forward,2.7666666666666666,-2.5,0
Carl Starfelt,497662,Sweden,defender,0.0,0.0,0
Eric Smith,531327,Sweden,defender,0.0,0.0,0
Dylan Bronn,771686,Tunisia,defender,0.0,0.0,0
Hjalmar Ekdal,831044,Sweden,defender,0.0,0.0,0
Moutaz Neffati,1413151,Tunisia,defender,0.0,0.0,0
Raed Chikhaoui,1721242,Tunisia,defender,0.0,0.0,0
Adem Arous,1797902,Tunisia,defender,0.0,0.0,0
Ken Sema,520670,Sweden,midfielder,0.0,0.0,0
Herman Johansson,946703,Sweden,midfielder,0.0,0.0,0
Taha Abdi Ali,1135782,Sweden,midfielder,0.0,0.0,0
Daniel Svensson,1209228,Sweden,midfielder,0.0,0.0,0
Besfort Zeneli,1338361,Sweden,midfielder,0.0,0.0,0
Khalil Ayari,1715492,Tunisia,midfielder,0.0,0.0,0
Gustaf Nilsson,118241,Sweden,forward,0.0,0.0,0
Mortadha Ben Ouanes,712132,Tunisia,forward,0.0,0.0,0
Anthony Elanga,1050166,Sweden,forward,0.0,0.0,0
Hazem Mastouri,1311408,Tunisia,forward,0.0,0.0,0
Rayan Elloumi,1685596,Tunisia,forward,0.0,0.0,0
Ismaël Gharbi,1244924,Tunisia,midfielder,-2.404666666666667,-1.5,0
Tunisia Keepers,6719,Tunisia,goalkeeper,11.66,-12.0,0
Sweden Keepers,8520,Sweden,goalkeeper,12.24,12.0,0
