player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Luis Díaz,860914,Colombia,forward,46.733333333333334,6.0,53
Daniel Muñoz,859282,Colombia,midfielder,38.122,9.0,47
Davinson Sánchez,643533,Colombia,defender,36.36,5.0,41
Jefferson Lerma,466672,Colombia,midfielder,25.554,9.0,35
Gustavo Puerta,1331597,Colombia,midfielder,26.526666666666667,7.0,34
Behruzjon Karimov,1898281,Uzbekistan,midfielder,31.6,1.0,33
Jhon Arias,1023030,Colombia,forward,25.09166666666667,6.0,31
Johan Mojica,474673,Colombia,defender,21.040000000000003,5.0,26
Abbosbek Fayzullayev,1249993,Uzbekistan,forward,22.549999999999997,3.0,26
Jaminton Campaz,837870,Colombia,forward,24.14166666666667,0.5,25
Otabek Shukurov,624405,Uzbekistan,midfielder,22.17,1.0,23
James Rodríguez,164684,Colombia,midfielder,15.068,7.0,22
Abdulla Abdullaev,1294120,Uzbekistan,midfielder,20.818000000000005,1.0,22
Dostonbek Khamdamov,619508,Uzbekistan,midfielder,21.316000000000003,0.5,22
Luis Suárez,792303,Colombia,forward,15.1,6.0,21
Rustamjon Ashurmatov,643624,Uzbekistan,defender,21.046666666666667,0.0,21
Jhon Lucumí,860913,Colombia,defender,15.860000000000001,5.0,21
Juan Hernández,852071,Colombia,forward,17.2,0.5,18
Abdukodir Khusanov,1362998,Uzbekistan,defender,21.500000000000004,-5.0,17
Akmal Mozgovoy,929168,Uzbekistan,midfielder,13.274000000000001,1.0,14
Farrukh Sayfiev,589585,Uzbekistan,midfielder,10.556000000000001,0.5,11
Sherzod Nasrulloev,1258316,Uzbekistan,defender,6.0,5.0,11
Oston Urunov,1057486,Uzbekistan,midfielder,6.598,3.0,10
Jakhongir Urozov,1477513,Uzbekistan,defender,8.893333333333334,0.0,9
Richard Ríos,1174630,Colombia,midfielder,2.8413333333333335,4.5,7
Eldor Shomurodov,619513,Uzbekistan,midfielder,4.168666666666667,3.0,7
Azizbek Amonov,933051,Uzbekistan,midfielder,4.293333333333333,0.5,5
Santiago Arias,207642,Colombia,defender,0.0,0.0,0
Yerry Mina,496042,Colombia,defender,0.0,0.0,0
Khoziakbar Alidzhanov,940778,Uzbekistan,defender,0.0,0.0,0
Willer Ditta,965205,Colombia,defender,0.0,0.0,0
Avazbek Ulasmaliev,1029597,Uzbekistan,defender,0.0,0.0,0
Juan Quintero,207617,Colombia,midfielder,0.0,0.0,0
Deiver Machado,578756,Colombia,midfielder,0.0,0.0,0
Odildzhon Khamrobekov,619697,Uzbekistan,midfielder,0.0,0.0,0
Azizjon Ganiev,629823,Uzbekistan,midfielder,0.0,0.0,0
Umar Eshmuradov,922298,Uzbekistan,midfielder,0.0,0.0,0
Juan Portilla,1281230,Colombia,midfielder,0.0,0.0,0
Kevin Castaño,1434853,Colombia,midfielder,0.0,0.0,0
Sherzod Esanov,1477517,Uzbekistan,midfielder,0.0,0.0,0
Igor Sergeev,251915,Uzbekistan,forward,0.0,0.0,0
Jhon Córdoba,291425,Colombia,forward,0.0,0.0,0
Jamshid Iskandarov,431169,Uzbekistan,forward,0.0,0.0,0
Jorge Carrascal,784834,Colombia,forward,0.0,0.0,0
Andrés Gómez,1353421,Colombia,forward,0.0,0.0,0
Ruslanbek Jiyanov,1421621,Uzbekistan,forward,0.0,0.0,0
Colombia Keepers,8258,Colombia,goalkeeper,9.0,12.0,21
Uzbekistan Keepers,8700,Uzbekistan,goalkeeper,12.92,0.0,13
