player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Kai Havertz,749736,Arsenal,forward,43.7,6.0,0.0,50
Declan Rice,654096,Arsenal,midfielder,39.156000000000006,7.0,0.0,46
Christos Tzolis,1157237,Arsenal,midfielder,36.696,7.0,0.0,44
Wesley Fofana,917802,Chelsea,defender,41.86000000000001,0.0,0.0,42
Martin Ødegaard,534670,Arsenal,midfielder,31.294666666666664,7.0,0.0,38
Bukayo Saka,961995,Arsenal,forward,31.296666666666678,6.0,0.0,37
Ezri Konsa,710159,Arsenal,defender,31.645000000000003,5.0,0.0,37
Pedro Neto,843040,Chelsea,forward,27.8,3.0,0.0,31
Gabriel,795179,Arsenal,defender,23.5,5.0,0.0,28
Maxence Lacroix,950485,Chelsea,defender,28.055,0.0,0.0,28
Jorrel Hato,1413846,Chelsea,defender,27.775,0.0,0.0,28
Ben White,776151,Arsenal,defender,21.165000000000003,5.0,0.0,26
João Pedro,1021382,Chelsea,forward,22.08,3.0,0.0,25
Reece James,807729,Chelsea,defender,24.494999999999997,0.0,0.0,24
Morgan Rogers,883080,Chelsea,midfielder,21.372,3.0,0.0,24
Roméo Lavia,1190867,Chelsea,midfielder,16.258000000000003,3.0,0.0,19
Cole Palmer,1096353,Chelsea,midfielder,14.838,3.0,0.0,18
Malo Gusto,1197250,Chelsea,defender,12.72,5.0,0.0,18
Myles Lewis-Skelly,1406436,Arsenal,defender,12.133333333333333,5.0,0.0,17
Pep Chavarría,988805,Chelsea,defender,9.935,5.0,0.0,15
Piero Hincapié,1137667,Arsenal,defender,9.896666666666665,5.0,0.0,15
Riccardo Calafiori,1105912,Arsenal,defender,9.548333333333334,5.0,0.0,15
Martín Zubimendi,1031325,Arsenal,midfielder,10.692666666666668,2.5,0.0,13
Estêvão,1580774,Chelsea,forward,9.21,0.0,0.0,9
Josh Acheampong,1400216,Chelsea,defender,6.895,0.0,0.0,7
Mikel Merino,574645,Arsenal,midfielder,3.8193333333333337,2.5,0.0,6
Viktor Gyökeres,664500,Arsenal,forward,5.3500000000000005,0.0,0.0,5
Danny Welbeck,113836,Chelsea,forward,5.23,0.0,0.0,5
Levi Colwill,1096400,Chelsea,defender,0.0,0.0,0.0,0
Eberechi Eze,818975,Arsenal,midfielder,0.0,0.0,0.0,0
Bruno Guimarães,850354,Arsenal,midfielder,0.0,0.0,0.0,0
Valentín Barco,1272440,Chelsea,midfielder,0.0,0.0,0.0,0
Max Dowman,1635773,Arsenal,midfielder,0.0,0.0,0.0,0
Noni Madueke,1084981,Arsenal,forward,0.0,0.0,0.0,0
Jamie Gittens,1113692,Chelsea,forward,0.0,0.0,0.0,0
Geovany Quenda,1530314,Chelsea,forward,0.0,0.0,0.0,0
Arsenal Keepers,9825,Arsenal,goalkeeper,29.56,12.0,0.0,42
Chelsea Keepers,8455,Chelsea,goalkeeper,30.44,6.0,0.0,36
