player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Enzo Le Fée,1049999,Sunderland,midfielder,37.146,5.0,0.0,42
Vitaly Janelt,688273,Brentford,midfielder,36.52,5.0,0.0,42
Nordi Mukiele,602304,Sunderland,defender,33.55499999999999,5.0,0.0,39
Daniel Ballard,974268,Sunderland,defender,30.645000000000003,5.0,0.0,36
Granit Xhaka,207236,Sunderland,midfielder,30.148,5.0,0.0,35
Igor Thiago,1302005,Brentford,forward,31.58,3.0,0.0,35
Kevin Danso,754126,Sunderland,defender,29.114999999999995,5.0,0.0,34
Keane Lewis-Potter,1010426,Brentford,defender,26.845,5.0,0.0,32
Reinildo,600524,Sunderland,defender,25.715,5.0,0.0,31
Jannik Schuster,1572340,Brentford,defender,23.40333333333333,5.0,0.0,28
Brian Brobbey,940446,Sunderland,forward,24.09,3.0,0.0,27
Mikkel Damsgaard,888912,Brentford,midfielder,19.956666666666667,5.0,0.0,25
Kristoffer Ajer,552718,Brentford,defender,19.19,5.0,0.0,24
Kevin Schade,1083796,Brentford,forward,17.58,3.0,0.0,21
Michael Kayode,1429912,Brentford,defender,10.41,10.0,0.0,20
Wilson Isidor,887703,Sunderland,forward,16.226666666666667,3.0,0.0,19
Trai Hume,1067763,Sunderland,defender,14.131666666666668,5.0,0.0,19
Noah Sadiki,1359649,Sunderland,midfielder,15.604666666666668,3.0,0.0,19
Mamadou Sangaré,1185211,Brentford,midfielder,12.612,5.0,0.0,18
Nilson Angulo,1287010,Sunderland,forward,16.943333333333335,0.0,0.0,17
Dango Ouattara,1250253,Brentford,forward,15.710000000000004,0.0,0.0,16
Aaron Hickey,1002039,Brentford,defender,15.465,0.0,0.0,15
Thomas Meunier,277771,Sunderland,defender,7.743333333333332,5.0,0.0,13
Yehor Yarmoliuk,1157236,Brentford,midfielder,9.726,2.5,0.0,12
Malick Fofana,1364069,Sunderland,forward,8.683333333333334,3.0,0.0,12
Nathan Collins,961306,Brentford,defender,5.131666666666666,5.0,0.0,10
Jaidon Anthony,1171140,Brentford,forward,6.55,3.0,0.0,10
Callum Wilson,184321,Brentford,forward,7.033333333333334,0.0,0.0,7
Luke O'Nien,480253,Sunderland,defender,0.0,0.0,0.0,0
Rico Henry,562892,Brentford,defender,0.0,0.0,0.0,0
Omar Alderete,751998,Sunderland,defender,0.0,0.0,0.0,0
Malick Diouf,1451265,Brentford,defender,0.0,0.0,0.0,0
Fábio Carvalho,963965,Brentford,midfielder,0.0,0.0,0.0,0
Chris Rigg,1327319,Sunderland,midfielder,0.0,0.0,0.0,0
Dayann Méthalie,1664716,Sunderland,midfielder,0.0,0.0,0.0,0
Jules Ahoka,1811265,Sunderland,midfielder,0.0,0.0,0.0,0
Brentford Keepers,9937,Brentford,goalkeeper,20.12,12.0,0.0,32
Sunderland Keepers,8472,Sunderland,goalkeeper,16.64,12.0,0.0,29
