player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Tyrick Mitchell,1120224,Crystal Palace,midfielder,42.88666666666667,5.0,0.0,48
Axel Disasi,696646,Crystal Palace,defender,45.765,0.0,0.0,46
Anan Khalaili,1477878,Crystal Palace,midfielder,33.878,7.0,0.0,41
Joshua King,1422593,Fulham,midfielder,35.156,3.0,0.0,38
César Palacios,1403691,Fulham,midfielder,27.965333333333334,5.0,0.0,33
Joachim Andersen,503659,Fulham,defender,37.865,-5.0,0.0,33
Gonzalo García,1413847,Fulham,forward,26.19,6.0,0.0,32
Oscar Bobb,1113790,Fulham,midfielder,26.73933333333333,3.0,0.0,30
Edward Nketiah,860920,Crystal Palace,forward,26.27,3.0,0.0,29
Timothy Castagne,465750,Fulham,defender,34.114999999999995,-5.0,0.0,29
Shea Charles,1281452,Fulham,midfielder,25.971333333333327,3.0,0.0,29
Yéremi Pino,1047676,Crystal Palace,midfielder,20.468666666666664,7.0,0.0,27
Alex Iwobi,604785,Fulham,midfielder,22.424666666666667,3.0,0.0,25
Daichi Kamada,621515,Crystal Palace,midfielder,18.10066666666667,7.0,0.0,25
Adam Wharton,1296650,Crystal Palace,midfielder,16.212,7.0,0.0,23
Jørgen Strand Larsen,821100,Crystal Palace,forward,16.41,6.0,0.0,22
Antonee Robinson,662428,Fulham,defender,27.348333333333333,-5.0,0.0,22
Ben Chilwell,672469,Crystal Palace,defender,16.458333333333336,5.0,0.0,21
Jaydee Canvot,1664722,Crystal Palace,defender,21.44,0.0,0.0,21
Chris Richards,950829,Crystal Palace,defender,21.42,0.0,0.0,21
Quinten Timber,970563,Crystal Palace,midfielder,9.700666666666669,5.0,0.0,15
Rodrigo Muniz,1128945,Fulham,forward,14.203333333333331,0.0,0.0,14
Calvin Bassey,877401,Fulham,defender,17.535,-5.0,0.0,13
Ryan Sessegnon,773991,Fulham,defender,7.096666666666666,5.0,0.0,12
Will Hughes,295067,Crystal Palace,midfielder,5.759333333333333,4.5,0.0,10
Hugo Larsson,1339269,Fulham,midfielder,7.204666666666666,2.5,0.0,10
Sander Berge,540963,Fulham,midfielder,8.674666666666667,0.5,0.0,9
Darío Osorio,1329007,Crystal Palace,midfielder,4.8853333333333335,2.5,0.0,7
Óscar Mingueza,952095,Crystal Palace,midfielder,4.797333333333333,2.5,0.0,7
Emile Smith Rowe,889534,Fulham,midfielder,1.8946666666666667,2.5,0.0,4
Takehiro Tomiyasu,664444,Crystal Palace,defender,0.0,0.0,0.0,0
David Affengruber,1073980,Fulham,defender,0.0,0.0,0.0,0
Cheick Oumar Doucouré,951954,Crystal Palace,midfielder,0.0,0.0,0.0,0
Zavier Gozo,1455818,Crystal Palace,midfielder,0.0,0.0,0.0,0
Manuel Ángel,1508427,Fulham,midfielder,0.0,0.0,0.0,0
Kevin,1318400,Fulham,forward,0.0,0.0,0.0,0
Crystal Palace Keepers,9826,Crystal Palace,goalkeeper,26.48,6.0,0.0,32
Fulham Keepers,9879,Fulham,goalkeeper,15.340000000000002,0.0,0.0,15
