player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Mohamed Belloumi,1231090,Hull City,midfielder,43.30133333333334,5.0,0.0,48
Victor Nilsson Lindelöf,258269,Aston Villa,defender,30.025,10.0,0.0,40
Ryan Giles,933635,Hull City,defender,28.815,10.0,0.0,39
Nobel Mendy,1428427,Hull City,defender,28.176666666666662,10.0,0.0,38
Ian Maatsen,966026,Aston Villa,defender,25.78,10.0,0.0,36
Tyrone Mings,419664,Aston Villa,defender,25.565,10.0,0.0,36
Boubacar Kamara,816325,Aston Villa,midfielder,28.916,5.0,0.0,34
John Egan,295062,Hull City,defender,23.105,10.0,0.0,33
Oli McBurnie,509151,Hull City,forward,32.91,0.0,0.0,33
Regan Slater,807930,Hull City,midfielder,27.456,5.0,0.0,32
Ross Barkley,215384,Aston Villa,midfielder,27.238,5.0,0.0,32
Lucas Gourna-Douath,1137106,Hull City,midfielder,25.10533333333333,5.0,0.0,30
Semi Ajayi,410836,Hull City,defender,17.915,10.0,0.0,28
George Hemmings,1607333,Aston Villa,midfielder,18.434,5.0,0.0,23
Matty Cash,729731,Aston Villa,defender,12.198333333333336,10.0,0.0,22
Nicolas Jackson,1197347,Aston Villa,forward,17.263333333333332,0.0,0.0,17
John McGinn,356406,Aston Villa,forward,17.240000000000002,0.0,0.0,17
Lewie Coyle,709148,Hull City,defender,5.908333333333333,10.0,0.0,16
Matteo Ruggeri,1051097,Aston Villa,defender,8.7,5.0,0.0,14
Elliot Stroud,1272349,Hull City,midfielder,7.692,5.0,0.0,13
Lucas Herrington,1686118,Hull City,defender,7.358333333333332,5.0,0.0,12
Aaron Wan-Bissaka,760320,Aston Villa,defender,6.2316666666666665,5.0,0.0,11
Sorba Thomas,812982,Hull City,forward,10.92,0.0,0.0,11
Alejandro Garnacho,1203665,Aston Villa,forward,8.83,0.0,0.0,9
Mohamed-Ali Cho,1180718,Hull City,forward,8.356666666666667,0.0,0.0,8
Emiliano Buendía,610184,Aston Villa,midfielder,3.1659999999999995,5.0,0.0,8
Brooke Norton-Cuffy,1214915,Hull City,midfielder,5.302666666666667,2.5,0.0,8
Tammy Abraham,749661,Aston Villa,forward,7.786666666666667,0.0,0.0,8
Alysson Edward,1656860,Aston Villa,forward,6.04,0.0,0.0,6
Jens Hjertø-Dahl,1377949,Hull City,midfielder,2.4686666666666666,2.5,0.0,5
Matt Targett,538112,Hull City,defender,0.0,0.0,0.0,0
Pau Torres,792645,Aston Villa,defender,0.0,0.0,0.0,0
Lamare Bogarde,1190033,Aston Villa,midfielder,0.0,0.0,0.0,0
Christos Mouzakitis,1574198,Hull City,midfielder,0.0,0.0,0.0,0
Ibrahim Mbaye,1593857,Aston Villa,forward,0.0,0.0,0.0,0
Robinio Vaz,1705134,Hull City,forward,0.0,0.0,0.0,0
Aston Villa Keepers,10252,Aston Villa,goalkeeper,27.26,18.0,0.0,45
Hull City Keepers,8667,Hull City,goalkeeper,12.48,18.0,0.0,30
