player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Josko Gvardiol,1070712,Manchester City,defender,46.535,5.0,0.0,52
Marc Guéhi,844425,Manchester City,midfielder,39.666,7.0,0.0,47
Rayan Cherki,1104053,Manchester City,midfielder,31.646,6.5,0.0,38
Rúben Dias,614006,Manchester City,defender,32.2,5.0,0.0,37
Abdukodir Khusanov,1362998,Manchester City,defender,29.105,5.0,0.0,34
Marcus Tavernier,789630,Bournemouth,midfielder,30.436,3.0,0.0,33
Justin Kluivert,794253,Bournemouth,midfielder,23.984,7.0,0.0,31
Evanilson,1098096,Bournemouth,forward,27.520000000000003,3.0,0.0,31
Phil Foden,815006,Manchester City,midfielder,25.33933333333333,3.0,0.0,28
Antoine Semenyo,933576,Manchester City,forward,22.29,6.0,0.0,28
Alex Scott,1233655,Bournemouth,midfielder,23.966,3.0,0.0,27
Erling Haaland,737066,Manchester City,forward,18.98,6.0,0.0,25
Adrien Truffert,1177358,Bournemouth,defender,24.975,0.0,0.0,25
Rayan,1478295,Bournemouth,forward,20.186666666666667,3.0,0.0,23
António Silva,1292092,Bournemouth,defender,22.5,0.0,0.0,22
Elliot Anderson,1089691,Manchester City,midfielder,19.404,3.0,0.0,22
Lewis Cook,562724,Bournemouth,midfielder,13.092000000000002,7.0,0.0,20
James Hill,959407,Bournemouth,defender,19.06,0.0,0.0,19
Nico O'Reilly,1300526,Manchester City,midfielder,15.432,3.0,0.0,18
Adam Smith,160447,Bournemouth,defender,15.525,0.0,0.0,16
Rico Lewis,1288450,Manchester City,defender,9.4,5.0,0.0,14
Matheus Nunes,955529,Manchester City,defender,8.74,5.0,0.0,14
Mateo Kovacic,239219,Manchester City,midfielder,7.112,6.5,0.0,14
Jack Grealish,312765,Manchester City,forward,7.136666666666666,6.0,0.0,13
Tyler Adams,729769,Bournemouth,midfielder,11.576,-1.5,0.0,10
Daniel Jebbison,1253827,Bournemouth,forward,9.35,0.0,0.0,9
Ben Gannon-Doak,1324871,Bournemouth,forward,5.333333333333333,0.0,0.0,5
Alex Tóth,1449690,Bournemouth,midfielder,6.734,-1.5,0.0,5
Rayan Aït-Nouri,933845,Manchester City,defender,0.0,0.0,0.0,0
Bafodé Diakité,979752,Bournemouth,defender,0.0,0.0,0.0,0
Vitor Reis,1580952,Manchester City,defender,0.0,0.0,0.0,0
Juanlu Sánchez,1158512,Bournemouth,midfielder,0.0,0.0,0.0,0
Nico González,1280132,Manchester City,midfielder,0.0,0.0,0.0,0
David Brooks,674014,Bournemouth,forward,0.0,0.0,0.0,0
Omar Marmoush,839204,Manchester City,forward,0.0,0.0,0.0,0
Álvaro Rodriguez,1327406,Bournemouth,forward,0.0,0.0,0.0,0
Manchester City Keepers,8456,Manchester City,goalkeeper,22.700000000000003,12.0,0.0,35
Bournemouth Keepers,8678,Bournemouth,goalkeeper,22.74,6.0,0.0,29
