player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Răzvan Marin,574844,AEK Athens,midfielder,54.156000000000006,7.0,0.0,61
Lazaros Rota,949866,AEK Athens,defender,41.265,10.0,0.0,51
Aboubakary Koïta,725695,AEK Athens,midfielder,35.79666666666667,7.0,0.0,43
Lovro Majer,762721,AEK Athens,midfielder,31.768666666666668,7.0,0.0,39
Harold Moukoudi,637737,AEK Athens,defender,28.135,10.0,0.0,38
Milán Vitális,1197823,AEK Athens,midfielder,29.906,7.0,0.0,37
Filipe Relvas,1285815,AEK Athens,defender,26.715000000000003,10.0,0.0,37
Xavier Mbuyamba,979963,LASK,defender,30.715000000000003,5.0,0.0,36
Barnabás Varga,796504,AEK Athens,forward,31.7,3.0,0.0,35
Stavros Pilios,1015750,AEK Athens,defender,22.65,10.0,0.0,33
Alemão,1437941,LASK,defender,26.785,5.0,0.0,32
Andrés Andrade,688449,LASK,defender,22.945,5.0,0.0,28
Melayro Bogarde,1108604,LASK,midfielder,21.344,3.0,0.0,24
Robert Ljubičić,939430,LASK,midfielder,17.778666666666666,3.0,0.0,21
George Bello,953995,LASK,midfielder,17.208,3.0,0.0,20
Sascha Horvath,426726,LASK,midfielder,16.932000000000002,3.0,0.0,20
Moses Usor,1366348,LASK,forward,19.79,0.0,0.0,20
Luka Jović,463291,AEK Athens,forward,16.413333333333334,3.0,0.0,19
Christoph Lang,1232205,LASK,midfielder,14.112666666666666,3.0,0.0,17
Zine,1106943,AEK Athens,forward,12.356666666666667,0.0,0.0,12
Kasper Jørgensen,1029360,LASK,midfielder,8.392666666666665,3.0,0.0,11
Florian Flecker,619687,LASK,forward,7.563333333333333,0.0,0.0,8
Saša Kalajdžić,858198,LASK,forward,6.973333333333333,0.0,0.0,7
Alessandro Schöpf,461357,LASK,midfielder,4.115333333333333,2.5,0.0,7
Domagoj Vida,115180,AEK Athens,defender,0.0,0.0,0.0,0
Charalambos Lykogiannis,395914,AEK Athens,defender,0.0,0.0,0.0,0
Yvan Dibango,1254266,LASK,defender,0.0,0.0,0.0,0
Daniel Elfadli,1383070,LASK,defender,0.0,0.0,0.0,0
Miguel Freckleton,1420822,LASK,defender,0.0,0.0,0.0,0
Manoël Verhaeghe,1863042,LASK,defender,0.0,0.0,0.0,0
Petros Mantalos,184639,AEK Athens,midfielder,0.0,0.0,0.0,0
Joao Mário,300916,AEK Athens,midfielder,0.0,0.0,0.0,0
Mijat Gaćinović,448859,AEK Athens,midfielder,0.0,0.0,0.0,0
Kaan Kairinen,547454,AEK Athens,midfielder,0.0,0.0,0.0,0
Kervin Arriaga,839750,AEK Athens,midfielder,0.0,0.0,0.0,0
Kryštof Daněk,1118147,LASK,midfielder,0.0,0.0,0.0,0
Oleksandr Zubkov,655636,AEK Athens,forward,0.0,0.0,0.0,0
Naël Kane,1756283,LASK,forward,0.0,0.0,0.0,0
AEK Athens Keepers,8563,AEK Athens,goalkeeper,18.36,18.0,0.0,36
LASK Keepers,9977,LASK,goalkeeper,18.5,12.0,0.0,30
