player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Serhou Guirassy,448540,Borussia Dortmund,forward,52.260000000000005,9.0,0.0,61
Georges Mikautadze,1117069,Villarreal,forward,43.260000000000005,6.0,0.0,49
Santiago Mouriño,1407468,Villarreal,defender,47.175,-5.0,0.0,42
Waldemar Anton,664970,Borussia Dortmund,defender,38.17,0.0,0.0,38
Santi Comesaña,671865,Villarreal,midfielder,34.50399999999999,3.0,0.0,38
Marcel Sabitzer,215151,Borussia Dortmund,midfielder,31.342,5.0,0.0,36
Pape Gueye,844544,Villarreal,midfielder,31.722,3.0,0.0,35
Joane Gadou,1479742,Borussia Dortmund,defender,34.239999999999995,0.0,0.0,34
Fábio Silva,1050158,Borussia Dortmund,forward,27.26,6.0,0.0,33
Tajon Buchanan,1026135,Villarreal,midfielder,28.046,5.0,0.0,33
Pau Navarro,1531887,Villarreal,defender,30.136666666666667,0.0,0.0,30
Felix Nmecha,966019,Borussia Dortmund,midfielder,22.754,5.0,0.0,28
Joey Veerman,792429,Borussia Dortmund,midfielder,19.484,7.0,0.0,26
Ethan Nwaneri,1254234,Borussia Dortmund,midfielder,16.237333333333332,7.0,0.0,23
Sergi Cardona,1059657,Villarreal,defender,12.365,10.0,0.0,22
Nathan Saliba,1216798,Villarreal,midfielder,16.722666666666665,3.0,0.0,20
Maximilian Beier,1047667,Borussia Dortmund,midfielder,12.411333333333337,7.0,0.0,19
Julian Ryerson,659272,Borussia Dortmund,midfielder,12.274,7.0,0.0,19
Tani Oluwaseyi,1338740,Villarreal,midfielder,13.468666666666666,3.0,0.0,16
Daniel Svensson,1209228,Borussia Dortmund,defender,15.88,0.0,0.0,16
Nicolas Pépé,575735,Villarreal,midfielder,10.185333333333334,2.5,0.0,13
Jobe Bellingham,1287373,Borussia Dortmund,midfielder,8.036,4.5,0.0,13
Gerard Moreno,246438,Villarreal,forward,8.003333333333332,3.0,0.0,11
Kauã Prates,1750565,Borussia Dortmund,defender,9.051666666666668,0.0,0.0,9
Alex Freeman,1338696,Villarreal,defender,18.68,-10.0,0.0,9
Alberto Moleiro,1184694,Villarreal,midfielder,5.225333333333333,2.5,0.0,8
Renato Veiga,1343750,Villarreal,defender,11.435,-5.0,0.0,6
Konstantinos Karetsas,1536436,Borussia Dortmund,midfielder,3.162,2.5,0.0,6
Carney Chukwuemeka,1089685,Borussia Dortmund,midfielder,0.8286666666666669,2.5,0.0,3
Alassane Diatta,1695966,Villarreal,midfielder,1.134,0.5,0.0,2
Logan Costa,922877,Villarreal,defender,0.0,0.0,0.0,0
Luca Reggiani,1845173,Borussia Dortmund,defender,0.0,0.0,0.0,0
Samuele Inácio,1761151,Borussia Dortmund,midfielder,0.0,0.0,0.0,0
Carlos Maciá,1841906,Villarreal,midfielder,0.0,0.0,0.0,0
Ayoze Pérez,479020,Villarreal,forward,0.0,0.0,0.0,0
Ilias Akhomach,1311915,Villarreal,forward,0.0,0.0,0.0,0
Mathis Albert,1692797,Borussia Dortmund,forward,0.0,0.0,0.0,0
Borussia Dortmund Keepers,9789,Borussia Dortmund,goalkeeper,24.06,6.0,0.0,30
Villarreal Keepers,10205,Villarreal,goalkeeper,27.34,0.0,0.0,27
