player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Samuel Isife,1744791,Slavia Prague,midfielder,45.432,5.0,0.0,50
Kyllian Antonio,1685514,Lens,defender,48.99,0.0,0.0,49
Florian Thauvin,254308,Lens,midfielder,41.79600000000001,7.0,0.0,49
Andrija Bulatović,1634789,Lens,midfielder,41.666,7.0,0.0,49
Matthieu Udol,660326,Lens,midfielder,36.264,7.0,0.0,43
Danijel Šturm,1270718,Slavia Prague,midfielder,38.598000000000006,3.0,0.0,42
Stepán Chaloupek,1288146,Slavia Prague,defender,46.08,-5.0,0.0,41
Michal Sadílek,806551,Slavia Prague,midfielder,37.162000000000006,3.0,0.0,40
Tomás Vlček,979540,Slavia Prague,defender,42.11,-5.0,0.0,37
Odsonne Édouard,637746,Lens,forward,25.813333333333336,9.0,0.0,35
Mezian Soares,1980586,Lens,midfielder,28.196666666666665,6.5,0.0,35
Ruben Aguilar,561046,Lens,midfielder,28.12133333333333,6.5,0.0,35
Oskar Kubiak,1782189,Slavia Prague,midfielder,24.69333333333333,5.0,0.0,30
Amadou Haidara,688830,Lens,midfielder,20.898000000000003,5.0,0.0,26
Ismaëlo Ganiou,1406645,Lens,defender,23.86,0.0,0.0,24
Abdallah Sima,1189856,Lens,midfielder,18.146,5.0,0.0,23
Wiktor Nowak,1395322,Slavia Prague,midfielder,17.38533333333333,5.0,0.0,22
Michał Skóras,954190,Lens,midfielder,19.292666666666666,3.0,0.0,22
David Zima,1085401,Slavia Prague,defender,7.725,10.0,0.0,18
Souleymane Sagnan,1727044,Lens,defender,11.666666666666666,5.0,0.0,17
Florian Sotoca,612699,Lens,midfielder,11.916,4.5,0.0,16
Emmanuel Ayaosi,1327747,Slavia Prague,midfielder,8.264,3.0,0.0,11
Junior Kadile,1334534,Lens,forward,4.59,6.0,0.0,11
Franjo Ivanović,1406419,Lens,forward,9.583333333333332,0.0,0.0,10
Ivan Schranz,308841,Slavia Prague,midfielder,8.5,0.5,0.0,9
Mojmír Chytil,988769,Slavia Prague,forward,5.953333333333333,3.0,0.0,9
Toumani Diakité,1781770,Slavia Prague,midfielder,6.690666666666666,0.5,0.0,7
Tomás Chorý,523217,Slavia Prague,forward,4.166666666666666,3.0,0.0,7
David Jurásek,1247323,Slavia Prague,midfielder,2.6486666666666667,0.5,0.0,3
Jonathan Gradit,513072,Lens,defender,0.0,0.0,0.0,0
Jean-Clair Todibo,955214,Lens,defender,0.0,0.0,0.0,0
Nidal Čelik,1657810,Lens,defender,0.0,0.0,0.0,0
David Barčot,1840592,Slavia Prague,defender,0.0,0.0,0.0,0
Thorgan Hazard,264190,Lens,midfielder,0.0,0.0,0.0,0
Michaël Cuisance,861445,Lens,midfielder,0.0,0.0,0.0,0
Eliás Piták,1553486,Slavia Prague,midfielder,0.0,0.0,0.0,0
Pavel Kačor,1585595,Slavia Prague,midfielder,0.0,0.0,0.0,0
Jakub Kolísek,1647596,Slavia Prague,midfielder,0.0,0.0,0.0,0
Karel Belzík,1647595,Slavia Prague,forward,0.0,0.0,0.0,0
Mikulás Konečný,1405567,Slavia Prague,defender,-0.7816666666666667,-10.0,0.0,0
Slavia Prague Keepers,7787,Slavia Prague,goalkeeper,24.44,0.0,0.0,24
Lens Keepers,8588,Lens,goalkeeper,17.86,6.0,0.0,24
