player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Ermedin Demirović,840241,VfB Stuttgart,forward,54.06666666666666,9.0,0.0,63
Angelo Stiller,1071186,VfB Stuttgart,midfielder,45.584,9.0,0.0,55
Henrik Rørvik Bjørdal,440313,Viking FK,forward,47.26,3.0,0.0,50
Deniz Undav,661519,VfB Stuttgart,midfielder,35.09,9.0,0.0,44
Jeff Chabot,867080,VfB Stuttgart,defender,36.580000000000005,5.0,0.0,42
Chris Führich,892679,VfB Stuttgart,midfielder,28.742,9.0,0.0,38
Zlatko Tripić,279191,Viking FK,forward,30.63,3.0,0.0,34
Grischa Prömel,625175,VfB Stuttgart,midfielder,22.962,9.0,0.0,32
Finn Jeltsch,1487877,VfB Stuttgart,defender,24.04166666666667,5.0,0.0,29
Joe Bell,848345,Viking FK,midfielder,23.58866666666667,1.0,0.0,25
Peter Christiansen,955759,Viking FK,forward,20.700000000000003,3.0,0.0,24
Maximilian Mittelstädt,614384,VfB Stuttgart,defender,16.516666666666666,5.0,0.0,22
Jamie Leweling,1074968,VfB Stuttgart,midfielder,12.514666666666669,9.0,0.0,22
Gianni Stensness,1029026,Viking FK,defender,25.23,-5.0,0.0,20
Henrik Falchener,1110550,Viking FK,defender,13.388333333333332,5.0,0.0,18
Kristoffer Askildsen,964535,Viking FK,midfielder,16.888,1.0,0.0,18
Bilal El Khannouss,1340895,VfB Stuttgart,midfielder,8.672666666666668,9.0,0.0,18
Kristoffer Haugen,313128,Viking FK,defender,22.391666666666666,-5.0,0.0,17
Jesper Daland,633094,Viking FK,defender,21.091666666666665,-5.0,0.0,16
Ramon Hendriks,1125187,VfB Stuttgart,defender,9.378333333333334,5.0,0.0,14
Henrik Heggheim,1163230,Viking FK,defender,17.835,-5.0,0.0,13
Josha Vagnoman,928454,VfB Stuttgart,defender,7.758333333333334,5.0,0.0,13
Leo Sauer,1425998,VfB Stuttgart,forward,12.403333333333332,0.0,0.0,12
Ameen Al Dakhil,1279764,VfB Stuttgart,defender,6.288333333333334,5.0,0.0,11
Erik Botheim,741561,Viking FK,forward,9.693333333333332,0.0,0.0,10
Vetle Auklend,1585827,Viking FK,defender,4.633333333333333,5.0,0.0,10
Herman Haugen,1019527,Viking FK,defender,4.6000000000000005,5.0,0.0,10
Tobias Moi,1636182,Viking FK,midfielder,8.394666666666668,1.0,0.0,9
Dženan Pejčinović,1366602,VfB Stuttgart,forward,8.513333333333334,0.0,0.0,9
Simen Kvia-Egeskog,1267374,Viking FK,midfielder,4.771333333333333,2.5,0.0,7
Viljar Vevatne,444253,Viking FK,defender,0.0,0.0,0.0,0
Atakan Karazor,684983,VfB Stuttgart,midfielder,0.0,0.0,0.0,0
Jakob Segadal Hansen,1376699,Viking FK,midfielder,0.0,0.0,0.0,0
Ola Visted,1636179,Viking FK,midfielder,0.0,0.0,0.0,0
Yanik Spalt,1793638,VfB Stuttgart,midfielder,0.0,0.0,0.0,0
Romano Postema,1069826,Viking FK,forward,0.0,0.0,0.0,0
Jarzinho Malanga,1487914,VfB Stuttgart,forward,0.0,0.0,0.0,0
Niklas Fuglestad,1636186,Viking FK,forward,0.0,0.0,0.0,0
Amin Cosic,1751162,Viking FK,forward,0.0,0.0,0.0,0
VfB Stuttgart Keepers,10269,VfB Stuttgart,goalkeeper,20.02,12.0,0.0,32
Viking FK Keepers,8478,Viking FK,goalkeeper,11.18,0.0,0.0,11
