player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Marwan Ateya,1418549,Egypt,midfielder,48.050666666666665,5.0,0.0,53
Harry Souttar,671518,Australia,defender,45.24,5.0,-4.0,46
Jackson Irvine,369742,Australia,midfielder,40.716,5.0,4.0,50
Mohamed Salah,292462,Egypt,midfielder,39.666,5.0,4.0,49
Karim Hafez,560416,Egypt,defender,38.99666666666667,5.0,0.0,44
Yasser Ibrahim,533403,Egypt,defender,38.72,5.0,0.0,44
Emam Ashour,979376,Egypt,midfielder,38.052,5.0,0.0,43
Rami Rabia,505872,Egypt,defender,34.01,5.0,4.0,43
Alessandro Circati,1318686,Australia,defender,31.47,5.0,0.0,36
Cristian Volpato,1308909,Australia,midfielder,27.006666666666668,5.0,0.0,32
Mohamed Hany,660213,Egypt,defender,24.290000000000003,5.0,0.0,29
Hamdi Fathi,1022128,Egypt,midfielder,23.665333333333336,5.0,0.0,29
Aiden O'Neill,785377,Australia,midfielder,23.178,5.0,0.0,28
Aziz Behich,192735,Australia,defender,22.21,5.0,0.0,27
Lucas Herrington,1686118,Australia,defender,22.21,5.0,-4.0,23
Hossam Abdelmaguid,1384425,Egypt,defender,16.89666666666667,10.0,4.0,31
Ajdin Hrustic,675762,Australia,midfielder,17.263333333333335,5.0,0.0,22
Omar Marmoush,839204,Egypt,forward,16.558333333333334,3.0,0.0,20
Haissem Hassan,971787,Egypt,forward,18.566666666666663,0.0,0.0,19
Mostafa Ziko,1426403,Egypt,forward,15.383333333333333,3.0,0.0,18
Kai Trewin,1101030,Australia,midfielder,11.082,7.0,0.0,18
Nestory Irankunda,1327214,Australia,midfielder,12.670666666666667,5.0,0.0,18
Jordan Bos,1316930,Australia,defender,11.94,5.0,0.0,17
Connor Metcalfe,885870,Australia,midfielder,11.8,5.0,0.0,17
Paul Okon-Engstler,1527363,Australia,midfielder,10.881999999999998,2.5,0.0,13
Trezeguet,513492,Egypt,forward,12.608333333333333,-2.5,0.0,10
Mohamed Touré,1132069,Australia,forward,5.625,0.0,0.0,6
Awer Mabil,421328,Australia,forward,7.733333333333333,-2.5,4.0,9
Hamza Abdelkarim,1708842,Egypt,forward,6.483333333333333,-2.5,0.0,4
Milos Degenek,416124,Australia,defender,0.0,0.0,0.0,0
Jason Geria,418799,Australia,defender,0.0,0.0,0.0,0
Cameron Burgess,564842,Australia,defender,0.0,0.0,0.0,0
Tarek Alaa,1689101,Egypt,defender,0.0,0.0,0.0,0
Cameron Devlin,970544,Australia,midfielder,0.0,0.0,0.0,0
Nabil Dunga,1001335,Egypt,midfielder,0.0,0.0,0.0,0
Mahmoud Saber,1291391,Egypt,midfielder,0.0,0.0,4.0,4
Zizo,532766,Egypt,forward,0.0,0.0,0.0,0
Tete Yengi,1220549,Australia,forward,0.0,0.0,0.0,0
Nishan Velupillay,1250885,Australia,forward,0.0,0.0,0.0,0
Ibrahim Adel,1272436,Egypt,forward,0.0,0.0,0.0,0
Australia Keepers,6716,Australia,goalkeeper,17.686666666666667,12.0,0.0,30
Egypt Keepers,10255,Egypt,goalkeeper,15.62,12.0,0.0,28
