player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Youri Tielemans,465960,Belgium,midfielder,53.256,7.0,0.0,60
Ismaïla Sarr,771294,Senegal,forward,47.14166666666667,6.0,0.0,53
Brandon Mechele,445873,Belgium,defender,44.74,0.0,0.0,45
Romelu Lukaku,181276,Belgium,forward,34.79166666666667,9.0,0.0,44
Timothy Castagne,465750,Belgium,defender,42.94,0.0,0.0,43
Pathé Ciss,872396,Senegal,midfielder,39.642,3.0,0.0,43
Leandro Trossard,318615,Belgium,midfielder,37.32933333333333,5.0,0.0,42
Habib Diarra,1285866,Senegal,midfielder,32.82933333333333,9.0,0.0,42
Sadio Mané,303339,Senegal,forward,32.68333333333333,6.0,0.0,39
Thomas Meunier,277771,Belgium,defender,32.72,5.0,0.0,38
Moussa Niakhaté,592102,Senegal,defender,41.08,-5.0,0.0,36
Arthur Theate,1173250,Belgium,defender,34.89,0.0,0.0,35
Iliman Ndiaye,965764,Senegal,forward,27.166666666666668,6.0,0.0,33
Dodi Lukébakio,688876,Belgium,forward,21.85,9.0,0.0,31
Nicolas Raskin,863869,Belgium,midfielder,18.20133333333333,11.0,0.0,29
Krépin Diatta,837061,Senegal,defender,34.03,-5.0,0.0,29
Idrissa Gana Gueye,179410,Senegal,midfielder,21.666,5.0,0.0,27
Diego Moreira,1342754,Belgium,midfielder,13.15,11.0,0.0,24
Ismail Jakobs,906945,Senegal,defender,22.96333333333333,0.0,0.0,23
Ibrahim Mbaye,1593857,Senegal,forward,19.60833333333333,0.0,0.0,20
Pape Gueye,844544,Senegal,midfielder,9.448,9.0,0.0,18
Maxim De Cuyper,1134871,Belgium,defender,17.28,0.0,0.0,17
Kevin De Bruyne,169200,Belgium,midfielder,16.230666666666668,1.0,0.0,17
Hans Vanaken,203666,Belgium,midfielder,11.656,1.0,0.0,13
Amadou Onana,1185748,Belgium,midfielder,7.680666666666667,4.5,0.0,12
Malick Diouf,1451265,Senegal,defender,11.906666666666668,0.0,0.0,12
Jérémy Doku,942368,Belgium,forward,11.858333333333334,0.0,0.0,12
Pape Sarr,1107280,Senegal,midfielder,12.776666666666667,-1.0,0.0,12
Lamine Camara,1436305,Senegal,midfielder,11.764,-1.0,0.0,11
Bara Ndiaye,1798782,Senegal,midfielder,8.484,0.5,0.0,9
Nicolas Jackson,1197347,Senegal,forward,9.066666666666666,-2.5,0.0,7
Charles De Ketelaere,1095432,Belgium,midfielder,2.496,3.0,0.0,5
Kalidou Koulibaly,210428,Senegal,defender,0.0,0.0,0.0,0
Abdoulaye Seck,588626,Senegal,defender,0.0,0.0,0.0,0
Koni De Winter,1200630,Belgium,defender,0.0,0.0,0.0,0
Nathan Ngoy,1252070,Belgium,defender,0.0,0.0,0.0,0
Antoine Mendy,1254147,Senegal,defender,0.0,0.0,0.0,0
Mamadou Sarr,1426170,Senegal,defender,0.0,0.0,0.0,0
Joaquin Seys,1489449,Belgium,defender,0.0,0.0,0.0,0
Axel Witsel,39591,Belgium,midfielder,0.0,0.0,0.0,0
Alexis Saelemaekers,921341,Belgium,midfielder,0.0,0.0,0.0,0
Cherif Ndiaye,819972,Senegal,forward,0.0,0.0,0.0,0
Bamba Dieng,1230848,Senegal,forward,0.0,0.0,0.0,0
Assane Diao,1434889,Senegal,forward,0.0,0.0,0.0,0
Matias Fernandez-Pardo,1444231,Belgium,forward,0.0,0.0,0.0,0
Belgium Keepers,8263,Belgium,goalkeeper,23.44,6.0,0.0,29
Senegal Keepers,6395,Senegal,goalkeeper,21.06,0.0,0.0,21
