player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Matheus Cunha,863098,Brazil,forward,45.1,9.0,54
Vinícius Júnior,846033,Brazil,forward,39.141666666666666,9.0,48
Lucas Paquetá,766435,Brazil,midfielder,32.78333333333333,11.0,44
Marquinhos,267365,Brazil,defender,32.41,10.0,42
Casemiro,208494,Brazil,midfielder,29.528,11.0,41
Bruno Guimarães,850354,Brazil,midfielder,26.194,11.0,37
Ricardo Adé,532700,Haiti,defender,38.88,-5.0,34
Gabriel,795179,Brazil,defender,23.49,10.0,33
Danilo,208077,Brazil,defender,21.3,10.0,31
Douglas Santos,346000,Brazil,defender,14.38,10.0,24
Hannes Delcroix,822716,Haiti,defender,24.390000000000004,-5.0,19
Dominique Simon,1356595,Haiti,midfielder,16.762,2.5,19
Danley Jean Jacques,1329461,Haiti,midfielder,20.166,-1.0,19
Martin Expérience,1181438,Haiti,defender,23.37,-5.0,18
Jean-Ricner Bellegarde,769166,Haiti,midfielder,18.802,-1.0,18
Rayan,1478295,Brazil,forward,13.783333333333331,3.0,17
Frantzdy Pierrot,833641,Haiti,forward,12.925,0.0,13
Jean-Kévin Duverne,769168,Haiti,defender,17.260000000000005,-5.0,12
Gabriel Martinelli,1021586,Brazil,forward,14.316666666666666,-2.5,12
Ruben Providence,1200016,Haiti,forward,11.741666666666667,0.0,12
Raphinha,696679,Brazil,forward,6.624999999999999,3.5,10
Wilson Isidor,887703,Haiti,forward,11.35,-2.5,9
Éderson,957203,Brazil,midfielder,5.962,2.5,8
Danilo,1181700,Brazil,midfielder,5.278,2.5,8
Derrick Etienne,643482,Haiti,forward,9.916666666666668,-2.5,7
Carlens Arcus,634110,Haiti,defender,11.59,-5.0,7
Endrick,1406729,Brazil,forward,8.3,-2.5,6
Lenny Joseph,1242314,Haiti,forward,8.191666666666666,-2.5,6
Don Deedson Louicius,1079194,Haiti,midfielder,2.5073333333333325,2.5,5
Josué Casimir,1199382,Haiti,midfielder,2.2246666666666663,-1.0,1
Alex Sandro,157865,Brazil,defender,0.0,0.0,0
Léo Pereira,523801,Brazil,defender,0.0,0.0,0
Duke Lacroix,649744,Haiti,defender,0.0,0.0,0
Gleison Bremer,857269,Brazil,defender,0.0,0.0,0
Roger Ibañez,862538,Brazil,defender,0.0,0.0,0
Carl Sainté,1107287,Haiti,defender,0.0,0.0,0
Garven Metusala,1286428,Haiti,defender,0.0,0.0,0
Keeto Thermoncy,1807873,Haiti,defender,0.0,0.0,0
Fabinho,359188,Brazil,midfielder,0.0,0.0,0
Wilguens Paugain,1394254,Haiti,midfielder,0.0,0.0,0
Olivier Pierre,1447452,Haiti,midfielder,0.0,0.0,0
Duckens Nazon,525445,Haiti,forward,0.0,0.0,0
Yassin Fortuné,759569,Haiti,forward,0.0,0.0,0
Luiz Henrique,1176214,Brazil,forward,0.0,0.0,0
Igor Thiago,1302005,Brazil,forward,0.0,0.0,0
Brazil Keepers,8256,Brazil,goalkeeper,15.68,18.0,34
Haiti Keepers,5934,Haiti,goalkeeper,12.66,0.0,13
