player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Gabriel,795179,Brazil,defender,49.1,5.0,54
Casemiro,208494,Brazil,midfielder,48.60866666666667,5.0,54
Bruno Guimarães,850354,Brazil,midfielder,42.49666666666667,7.0,49
Vinícius Júnior,846033,Brazil,forward,37.03333333333333,6.0,43
Rayan,1478295,Brazil,forward,36.79166666666666,6.0,43
Marquinhos,267365,Brazil,defender,35.22,5.0,40
Shogo Taniguchi,523731,Japan,defender,39.18,0.0,39
Takehiro Tomiyasu,664444,Japan,defender,37.42,0.0,37
Douglas Santos,346000,Brazil,defender,31.59,5.0,37
Kaishu Sano,1033111,Japan,midfielder,33.182,3.0,36
Daizen Maeda,728765,Japan,midfielder,23.458666666666662,3.0,26
Gabriel Martinelli,1021586,Brazil,forward,25.366666666666667,0.5,26
Danilo,208077,Brazil,defender,19.59,5.0,25
Junya Ito,604044,Japan,forward,21.516666666666666,3.0,25
Lucas Paquetá,766435,Brazil,midfielder,19.020000000000003,3.0,22
Daichi Kamada,621515,Japan,midfielder,14.332,5.0,19
Ritsu Doan,629805,Japan,midfielder,13.362000000000002,5.0,18
Keito Nakamura,887704,Japan,forward,14.7,3.0,18
Ayase Ueda,942393,Japan,forward,13.6,3.0,17
Matheus Cunha,863098,Brazil,forward,12.733333333333334,3.0,16
Hiroki Ito,851626,Japan,defender,13.61,0.0,14
Yukinari Sugawara,924610,Japan,defender,12.57,0.0,13
Junnosuke Suzuki,1337765,Japan,defender,11.69,0.0,12
Endrick,1406729,Brazil,forward,5.216666666666667,3.5,9
Shuto Machino,915111,Japan,forward,8.25,-2.5,6
Ao Tanaka,935728,Japan,midfielder,4.698000000000001,0.5,5
Yuto Nagatomo,98254,Japan,defender,0.0,0.0,0
Alex Sandro,157865,Brazil,defender,0.0,0.0,0
Léo Pereira,523801,Brazil,defender,0.0,0.0,0
Ko Itakura,620917,Japan,defender,0.0,0.0,0
Ayumu Seko,857120,Japan,defender,0.0,0.0,0
Gleison Bremer,857269,Brazil,defender,0.0,0.0,0
Roger Ibañez,862538,Brazil,defender,0.0,0.0,0
Tsuyoshi Watanabe,1023887,Japan,defender,0.0,0.0,0
Fabinho,359188,Brazil,midfielder,0.0,0.0,0
Éderson,957203,Brazil,midfielder,0.0,0.0,0
Yuito Suzuki,1134467,Japan,midfielder,0.0,0.0,0
Danilo,1181700,Brazil,midfielder,0.0,0.0,0
Neymar,19533,Brazil,forward,0.0,0.0,0
Koki Ogawa,727837,Japan,forward,0.0,0.0,0
Takefusa Kubo,848289,Japan,forward,0.0,0.0,0
Luiz Henrique,1176214,Brazil,forward,0.0,0.0,0
Igor Thiago,1302005,Brazil,forward,0.0,0.0,0
Keisuke Goto,1436730,Japan,forward,0.0,0.0,0
Kento Shiogai,1611223,Japan,forward,0.0,0.0,0
Japan Keepers,6715,Japan,goalkeeper,36.5,6.0,42
Brazil Keepers,8256,Brazil,goalkeeper,7.479999999999999,12.0,19
