player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Renato Veiga,1343750,Portugal,defender,45.17000000000001,10.0,55
James Rodríguez,164684,Colombia,forward,50.641666666666666,0.0,51
Santiago Arias,207642,Colombia,defender,36.2,10.0,46
Jhon Arias,1023030,Colombia,midfielder,40.23133333333333,5.0,45
Rúben Dias,614006,Portugal,defender,34.82,10.0,45
Davinson Sánchez,643533,Colombia,defender,31.440000000000005,10.0,41
Deiver Machado,578756,Colombia,defender,23.03,10.0,33
Jhon Lucumí,860913,Colombia,defender,21.85,10.0,32
Vitinha,1061249,Portugal,midfielder,26.64933333333333,5.0,32
Gustavo Puerta,1331597,Colombia,midfielder,23.158,5.0,28
Bruno Fernandes,422685,Portugal,midfielder,22.206,5.0,27
Nuno Mendes,1158945,Portugal,defender,14.276666666666667,10.0,24
Diogo Dalot,751550,Portugal,defender,17.08,5.0,22
Jefferson Lerma,466672,Colombia,midfielder,16.602,5.0,22
João Cancelo,361757,Portugal,defender,11.3,10.0,21
Pedro Neto,843040,Portugal,forward,19.6,0.0,20
João Neves,1342757,Portugal,midfielder,14.54,2.5,17
Luis Díaz,860914,Colombia,forward,16.125,0.0,16
Joao Félix,794427,Portugal,forward,16.083333333333336,0.0,16
Rafael Leão,848844,Portugal,forward,17.366666666666664,-2.5,15
Samú,1130583,Portugal,midfielder,11.550666666666666,2.5,14
Rúben Neves,534684,Portugal,midfielder,8.426,5.0,13
Cristiano Ronaldo,30893,Portugal,forward,11.841666666666669,0.0,12
Daniel Muñoz,859282,Colombia,midfielder,8.24,2.5,11
Jhon Córdoba,291425,Colombia,forward,10.191666666666666,0.0,10
Richard Ríos,1174630,Colombia,midfielder,6.843999999999999,2.5,9
Juan Quintero,207617,Colombia,midfielder,5.586666666666667,2.5,8
Kevin Castaño,1434853,Colombia,midfielder,5.468666666666667,2.5,8
Luis Suárez,792303,Colombia,forward,6.824999999999999,-2.5,4
Nélson Semedo,470834,Portugal,defender,0.0,0.0,0
Johan Mojica,474673,Colombia,defender,0.0,0.0,0
Yerry Mina,496042,Colombia,defender,0.0,0.0,0
Matheus Nunes,955529,Portugal,defender,0.0,0.0,0
Willer Ditta,965205,Colombia,defender,0.0,0.0,0
Gonçalo Inácio,1165710,Portugal,defender,0.0,0.0,0
Tomás Araújo,1187283,Portugal,defender,0.0,0.0,0
Bernardo Silva,488139,Portugal,midfielder,0.0,0.0,0
Trincão,732282,Portugal,midfielder,0.0,0.0,0
Francisco Conceição,1185336,Portugal,midfielder,0.0,0.0,0
Juan Portilla,1281230,Colombia,midfielder,0.0,0.0,0
Gonçalo Guedes,536455,Portugal,forward,0.0,0.0,0
Jorge Carrascal,784834,Colombia,forward,0.0,0.0,0
Jaminton Campaz,837870,Colombia,forward,0.0,0.0,0
Juan Hernández,852071,Colombia,forward,0.0,0.0,0
Gonçalo Ramos,940087,Portugal,forward,0.0,0.0,0
Andrés Gómez,1353421,Colombia,forward,0.0,0.0,0
Portugal Keepers,8361,Portugal,goalkeeper,28.7,18.0,47
Colombia Keepers,8258,Colombia,goalkeeper,15.159999999999998,18.0,33
