player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Aaron Wan-Bissaka,760320,Congo DR,defender,42.8,5.0,48
Yoane Wissa,666857,Congo DR,forward,38.58333333333333,9.0,48
Noah Sadiki,1359649,Congo DR,midfielder,36.128,9.0,45
Rustamjon Ashurmatov,643624,Uzbekistan,defender,48.03,-5.0,43
Axel Tuanzebe,690149,Congo DR,defender,30.1,5.0,35
Eldor Shomurodov,619513,Uzbekistan,forward,31.766666666666666,3.0,35
Meschack Elia,694060,Congo DR,forward,30.5,3.5,34
Nathanaël Mbuku,1049799,Congo DR,forward,30.075,3.0,33
Akmal Mozgovoy,929168,Uzbekistan,midfielder,29.433333333333334,3.0,32
Samuel Moutoussamy,866108,Congo DR,midfielder,26.226,5.0,31
Arthur Masuaku,418137,Congo DR,defender,23.996666666666663,5.0,29
Khoziakbar Alidzhanov,940778,Uzbekistan,defender,33.49000000000001,-5.0,28
Abdukodir Khusanov,1362998,Uzbekistan,defender,33.38,-5.0,28
Chancel Mbemba,277761,Congo DR,defender,22.09,5.0,27
Fiston Mayele,1116042,Congo DR,forward,19.46666666666667,6.5,26
Jakhongir Urozov,1477513,Uzbekistan,defender,25.273333333333337,0.0,25
Brian Cipenga,1302121,Congo DR,midfielder,17.871999999999996,5.0,23
Dostonbek Khamdamov,619508,Uzbekistan,midfielder,15.818666666666669,7.0,23
Abbosbek Fayzullayev,1249993,Uzbekistan,forward,17.60833333333333,3.0,21
Sherzod Nasrulloev,1258316,Uzbekistan,defender,25.23,-5.0,20
Otabek Shukurov,624405,Uzbekistan,midfielder,12.910666666666666,7.0,20
Joris Kayembe Ditu,500932,Congo DR,defender,13.273333333333332,5.0,18
Ngal Ayel Mukau,1428153,Congo DR,midfielder,6.485999999999999,6.5,13
Théo Bongonda,466132,Congo DR,forward,9.266666666666667,3.5,13
Azizjon Ganiev,629823,Uzbekistan,midfielder,16.141333333333336,-3.5,13
Cédric Bakambu,201939,Congo DR,forward,3.533333333333333,0.0,4
Oston Urunov,1057486,Uzbekistan,midfielder,4.780666666666667,-1.5,3
Igor Sergeev,251915,Uzbekistan,forward,5.433333333333334,-2.5,3
Jamshid Iskandarov,431169,Uzbekistan,forward,5.241666666666666,-2.5,3
Odildzhon Khamrobekov,619697,Uzbekistan,midfielder,6.149333333333335,-3.5,3
Dylan Batubinsika,751762,Congo DR,defender,0.0,0.0,0
Gédéon Kalulu,1022309,Congo DR,defender,0.0,0.0,0
Avazbek Ulasmaliev,1029597,Uzbekistan,defender,0.0,0.0,0
Steve Kapuadi,1132814,Congo DR,defender,0.0,0.0,0
Aaron Tshibola,490122,Congo DR,midfielder,0.0,0.0,0
Farrukh Sayfiev,589585,Uzbekistan,midfielder,0.0,0.0,0
Charles Pickel,743720,Congo DR,midfielder,0.0,0.0,0
Edo Kayembe,909803,Congo DR,midfielder,0.0,0.0,0
Umar Eshmuradov,922298,Uzbekistan,midfielder,0.0,0.0,0
Azizbek Amonov,933051,Uzbekistan,midfielder,0.0,0.0,0
Abdulla Abdullaev,1294120,Uzbekistan,midfielder,0.0,0.0,0
Sherzod Esanov,1477517,Uzbekistan,midfielder,0.0,0.0,0
Behruzjon Karimov,1898281,Uzbekistan,midfielder,0.0,0.0,0
Gaël Kakuta,163205,Congo DR,forward,0.0,0.0,0
Simon Banza,696932,Congo DR,forward,0.0,0.0,0
Ruslanbek Jiyanov,1421621,Uzbekistan,forward,0.0,0.0,0
Congo DR Keepers,6321,Congo DR,goalkeeper,10.5,12.0,22
Uzbekistan Keepers,8700,Uzbekistan,goalkeeper,12.9,0.0,13
