player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Moisés Caicedo,1137668,Ecuador,midfielder,48.78000000000001,5.0,54
Piero Hincapié,1137667,Ecuador,defender,41.22,10.0,51
Willian Pacho,1137670,Ecuador,defender,37.64999999999999,10.0,48
Gonzalo Plata,980311,Ecuador,forward,45.96666666666667,0.0,46
Pedro Vite,1108611,Ecuador,midfielder,38.928,5.0,44
John Yeboah,845368,Ecuador,forward,43.1,0.0,43
Joshua Brenet,389845,Curaçao,defender,31.97,10.0,42
Armando Obispo,794244,Curaçao,defender,31.37,10.0,41
Sherel Floranus,671327,Curaçao,defender,29.55,10.0,40
Alan Franco,832171,Ecuador,midfielder,33.190666666666665,5.0,38
Juriën Gaari,708738,Curaçao,defender,27.01,10.0,37
Leandro Bacuna,183500,Curaçao,midfielder,20.798,5.0,26
Deveron Fonville,1335315,Curaçao,defender,15.453333333333331,10.0,25
Tahith Chong,751066,Curaçao,midfielder,20.03533333333333,5.0,25
Enner Valencia,195927,Ecuador,forward,24.008333333333333,0.0,24
Juninho Bacuna,614574,Curaçao,midfielder,17.896,5.0,23
Kevin Rodríguez,1421270,Ecuador,forward,23.9,-2.5,21
Pervis Estupinán,688278,Ecuador,midfielder,15.685333333333336,5.0,21
Roshon van Eijma,924844,Curaçao,defender,13.456666666666669,5.0,18
Jordy Alcívar,950396,Ecuador,midfielder,10.554,5.0,16
Nilson Angulo,1287010,Ecuador,forward,17.941666666666666,-2.5,15
Livano Comenencia,1243246,Curaçao,midfielder,10.226,5.0,15
Jürgen Locadia,289441,Curaçao,forward,14.325,0.0,14
Gervane Kastaneer,380942,Curaçao,forward,11.475,-2.5,9
Ángelo Preciado,848593,Ecuador,midfielder,5.793333333333334,2.5,8
Godfried Roemeratoe,938524,Curaçao,midfielder,5.708,2.5,8
Kenji Gorré,643232,Curaçao,forward,7.95,-2.5,5
Jordy Caicedo,766159,Ecuador,forward,5.366666666666666,-2.5,3
Jearl Margaritha,1180784,Curaçao,forward,2.966666666666667,-2.5,0
Riechedly Bazoer,467479,Curaçao,defender,0.0,0.0,0
Félix Torres,825641,Ecuador,defender,0.0,0.0,0
Jackson Porozo,1032039,Ecuador,defender,0.0,0.0,0
Shurandy Sambo,1125997,Curaçao,defender,0.0,0.0,0
Joel Ordóñez,1354085,Ecuador,defender,0.0,0.0,0
Yaimar Medina,1391753,Ecuador,defender,0.0,0.0,0
Kevin Felida,875845,Curaçao,midfielder,0.0,0.0,0
Anthony Valencia,1353364,Ecuador,midfielder,0.0,0.0,0
Tyrese Noslin,1439121,Curaçao,midfielder,0.0,0.0,0
Denil Castillo,1477417,Ecuador,midfielder,0.0,0.0,0
Brandley Kuwas,352358,Curaçao,forward,0.0,0.0,0
Sontje Hansen,1050160,Curaçao,forward,0.0,0.0,0
Arjany Martha,1180735,Curaçao,forward,0.0,0.0,0
Jeremy Antonisse,1210947,Curaçao,forward,0.0,0.0,0
Alan Minda,1274400,Ecuador,forward,0.0,0.0,0
Jeremy Arévalo,1418122,Ecuador,forward,0.0,0.0,0
Kendry Páez,1443464,Ecuador,forward,0.0,0.0,0
Curaçao Keepers,287981,Curaçao,goalkeeper,51.72,18.0,70
Ecuador Keepers,6707,Ecuador,goalkeeper,14.220000000000002,18.0,32
