player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Pedro Vite,1108611,Ecuador,midfielder,49.66799999999999,7.0,57
Nilson Angulo,1287010,Ecuador,midfielder,34.255333333333326,7.0,41
Gonzalo Plata,980311,Ecuador,forward,31.25,6.0,37
Florian Wirtz,1152455,Germany,midfielder,32.13133333333333,5.0,37
Moisés Caicedo,1137668,Ecuador,midfielder,29.953999999999997,7.0,37
Willian Pacho,1137670,Ecuador,defender,31.890000000000004,5.0,37
Leroy Sané,530859,Germany,midfielder,31.734,3.0,35
John Yeboah,845368,Ecuador,midfielder,26.96533333333333,7.0,34
Joel Ordóñez,1354085,Ecuador,defender,28.51,5.0,34
Alan Franco,832171,Ecuador,midfielder,25.00933333333333,5.0,30
Jonathan Tah,469700,Germany,defender,27.94,0.0,28
Antonio Rüdiger,276738,Germany,defender,25.680000000000003,0.0,26
Kai Havertz,749736,Germany,forward,22.45,3.0,25
Jamal Musiala,1156141,Germany,midfielder,19.841999999999995,3.0,23
Kevin Rodríguez,1421270,Ecuador,forward,22.125,0.5,23
Joshua Kimmich,460632,Germany,defender,15.12,5.0,20
Piero Hincapié,1137667,Ecuador,defender,13.896666666666668,5.0,19
Pervis Estupinán,688278,Ecuador,midfielder,14.343333333333332,4.5,19
David Raum,806669,Germany,defender,18.55,0.0,19
Enner Valencia,195927,Ecuador,forward,12.816666666666666,3.0,16
Malick Thiaw,1137407,Germany,defender,13.95,0.0,14
Angelo Stiller,1071186,Germany,midfielder,12.834,0.5,13
Ángelo Preciado,848593,Ecuador,midfielder,8.716666666666667,4.5,13
Pascal Groß,167008,Germany,midfielder,12.658666666666669,0.5,13
Deniz Undav,661519,Germany,forward,14.308333333333334,-2.5,12
Aleksandar Pavlovic,1473580,Germany,midfielder,6.199999999999999,5.0,11
Félix Torres,825641,Ecuador,defender,5.366666666666667,5.0,10
Felix Nmecha,966019,Germany,midfielder,3.977333333333333,5.0,9
Maximilian Beier,1047667,Germany,midfielder,2.8826666666666667,0.5,3
Jordy Caicedo,766159,Ecuador,forward,5.5,-2.5,3
Waldemar Anton,664970,Germany,defender,0.0,0.0,0
Jackson Porozo,1032039,Ecuador,defender,0.0,0.0,0
Yaimar Medina,1391753,Ecuador,defender,0.0,0.0,0
Leon Goretzka,343748,Germany,midfielder,0.0,0.0,0
Nadiem Amiri,614449,Germany,midfielder,0.0,0.0,0
Jordy Alcívar,950396,Ecuador,midfielder,0.0,0.0,0
Anthony Valencia,1353364,Ecuador,midfielder,0.0,0.0,0
Denil Castillo,1477417,Ecuador,midfielder,0.0,0.0,0
Assan Ouédraogo,1486541,Germany,midfielder,0.0,0.0,0
Jamie Leweling,1074968,Germany,forward,0.0,0.0,0
Nick Woltemade,1106563,Germany,forward,0.0,0.0,0
Alan Minda,1274400,Ecuador,forward,0.0,0.0,0
Jeremy Arévalo,1418122,Ecuador,forward,0.0,0.0,0
Kendry Páez,1443464,Ecuador,forward,0.0,0.0,0
Ecuador Keepers,6707,Ecuador,goalkeeper,15.66,12.0,28
Germany Keepers,8570,Germany,goalkeeper,14.34,6.0,20
