player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Mohamed Hany,660213,Egypt,defender,55.760000000000005,5.0,61
Trezeguet,513492,Egypt,midfielder,39.156,5.0,44
Yasser Ibrahim,533403,Egypt,defender,35.343333333333334,5.0,40
Milad Mohammadi,630459,Iran,defender,34.14999999999999,5.0,39
Mehdi Taremi,619506,Iran,forward,35.725,3.0,39
Saeid Ezatolahi,505281,Iran,midfielder,30.428,5.0,35
Ramin Rezaeian,505959,Iran,defender,30.4,5.0,35
Shoja Khalilzadeh,511397,Iran,defender,28.83,5.0,34
Rami Rabia,505872,Egypt,defender,28.75,5.0,34
Ali Nemati,872575,Iran,defender,28.160000000000004,5.0,33
Ahmed Abou El Fotouh,849334,Egypt,defender,26.89,5.0,32
Mahmoud Saber,1291391,Egypt,midfielder,26.49,5.0,31
Mohammad Ghorbani,1420509,Iran,midfielder,25.14,5.0,30
Mohammad Mohebi,1073012,Iran,forward,23.883333333333333,3.0,27
Mohanad Lasheen,906944,Egypt,midfielder,21.16,5.0,26
Saleh Hardani,1221526,Iran,defender,13.900000000000002,5.0,19
Saman Ghoddos,532220,Iran,midfielder,13.585333333333336,5.0,19
Marwan Ateya,1418549,Egypt,midfielder,15.05,2.5,18
Emam Ashour,979376,Egypt,midfielder,12.33,5.0,17
Shahriar Moghanlou,641121,Iran,forward,19.4,-2.5,17
Hossein Kanaani,500637,Iran,defender,10.94,5.0,16
Mohamed Salah,292462,Egypt,midfielder,10.044,5.0,15
Omar Marmoush,839204,Egypt,forward,15.9,-2.5,13
Mohamed Abdelmonem,1179331,Egypt,defender,7.686666666666667,5.0,13
Zizo,532766,Egypt,forward,14.633333333333333,-2.5,12
Mostafa Ziko,1426403,Egypt,forward,9.05,3.0,12
Hamza Abdelkarim,1708842,Egypt,forward,6.95,-2.5,4
Ehsan Haji Safi,117222,Iran,defender,0.0,0.0,0
Karim Hafez,560416,Egypt,defender,0.0,0.0,0
Aria Yousefi,1350138,Iran,defender,0.0,0.0,0
Tarek Alaa,1689101,Egypt,defender,0.0,0.0,0
Danial Eiri,1729681,Iran,defender,0.0,0.0,0
Roozbeh Cheshmi,505385,Iran,midfielder,0.0,0.0,0
Mehdi Torabi,621519,Iran,midfielder,0.0,0.0,0
Dennis Eckert,892709,Iran,midfielder,0.0,0.0,0
Nabil Dunga,1001335,Egypt,midfielder,0.0,0.0,0
Amirmohammad Razaghinia,1583232,Iran,midfielder,0.0,0.0,0
Alireza Jahanbakhsh,466890,Iran,forward,0.0,0.0,0
Ali Alipour,505960,Iran,forward,0.0,0.0,0
Mehdi Ghayedi,848314,Iran,forward,0.0,0.0,0
Haissem Hassan,971787,Egypt,forward,0.0,0.0,0
Amirhossein Hosseinzadeh,1031319,Iran,forward,0.0,0.0,0
Ibrahim Adel,1272436,Egypt,forward,0.0,0.0,0
Egypt Keepers,10255,Egypt,goalkeeper,20.700000000000003,12.0,33
Iran Keepers,6711,Iran,goalkeeper,19.040000000000003,12.0,31
