player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Harry Kane,194165,England,forward,51.708333333333336,12.0,64
Ivan Perisic,163670,Croatia,forward,49.46666666666667,6.0,55
Elliot Anderson,1089691,England,midfielder,42.508,9.0,52
Declan Rice,654096,England,midfielder,37.52799999999999,7.0,45
Jude Bellingham,1077894,England,midfielder,36.12866666666666,7.0,43
Martin Baturina,1215064,Croatia,forward,36.24166666666667,6.0,42
Noni Madueke,1084981,England,forward,28.258333333333333,9.0,37
Petar Musa,709796,Croatia,forward,28.575,6.0,35
Petar Sucic,1382000,Croatia,midfielder,22.97,1.0,24
Bukayo Saka,961995,England,forward,22.558333333333334,0.5,23
Nico O'Reilly,1300526,England,defender,21.82,0.0,22
Josip Sutalo,1186228,Croatia,defender,30.99,-10.0,21
Anthony Gordon,906937,England,forward,9.85,9.0,19
Mario Pasalic,446266,Croatia,midfielder,15.823999999999998,3.0,19
Reece James,807729,England,defender,18.82,0.0,19
Morgan Rogers,883080,England,midfielder,14.05,4.5,19
John Stones,263653,England,defender,18.06,0.0,18
Luka Vuskovic,1413996,Croatia,defender,22.37,-5.0,17
Luka Modric,31097,Croatia,midfielder,13.641333333333334,3.0,17
Marcus Rashford,696365,England,forward,16.05,0.5,17
Mateo Kovacic,239219,Croatia,midfielder,15.836666666666666,0.5,16
Josip Stanisic,950824,Croatia,defender,24.32,-10.0,14
Ezri Konsa,710159,England,defender,14.19,0.0,14
Djed Spence,894803,England,defender,8.863333333333333,5.0,14
Marc Guéhi,844425,England,defender,4.069999999999999,5.0,9
Marco Pasalic,1199714,Croatia,midfielder,6.634,0.5,7
Igor Matanovic,1210893,Croatia,forward,9.275,-2.5,7
Nikola Vlasic,557677,Croatia,midfielder,5.038,0.5,6
Andrej Kramaric,173461,Croatia,midfielder,4.94,0.5,5
Josko Gvardiol,1070712,Croatia,defender,14.05,-10.0,4
Daniel Burn,188058,England,defender,0.0,0.0,0
Duje Caleta-Car,557799,Croatia,defender,0.0,0.0,0
Martin Erlic,616170,Croatia,defender,0.0,0.0,0
Marin Pongracic,831474,Croatia,defender,0.0,0.0,0
Jarell Quansah,1107620,England,defender,0.0,0.0,0
Jordan Henderson,156008,England,midfielder,0.0,0.0,0
Nikola Moro,641595,Croatia,midfielder,0.0,0.0,0
Kristijan Jakic,643448,Croatia,midfielder,0.0,0.0,0
Eberechi Eze,818975,England,midfielder,0.0,0.0,0
Luka Sucic,959597,Croatia,midfielder,0.0,0.0,0
Kobbie Mainoo,1292810,England,midfielder,0.0,0.0,0
Toni Fruk,1300358,Croatia,midfielder,0.0,0.0,0
Ante Budimir,251269,Croatia,forward,0.0,0.0,0
Ivan Toney,408987,England,forward,0.0,0.0,0
Ollie Watkins,540088,England,forward,0.0,0.0,0
England Keepers,8491,England,goalkeeper,30.98,6.0,37
Croatia Keepers,10155,Croatia,goalkeeper,34.74,-6.0,29
