player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Michael Olise,1029063,France,midfielder,42.594,9.0,52
Dayot Upamecano,658554,France,defender,44.6,5.0,50
Kylian Mbappé,701154,France,forward,40.175,9.0,49
Adrien Rabiot,352879,France,midfielder,29.994,9.0,39
Aurélien Tchouaméni,914458,France,midfielder,29.878,9.0,39
Jules Koundé,705450,France,defender,27.05,5.0,32
Désiré Doué,1339208,France,forward,24.341666666666665,6.0,30
Krépin Diatta,837061,Senegal,defender,34.09,-5.0,29
William Saliba,955406,France,defender,22.63,5.0,28
Bradley Barcola,1297165,France,forward,22.808333333333334,3.5,26
Theo Hernández,724371,France,defender,19.79,5.0,25
Kalidou Koulibaly,210428,Senegal,defender,26.9,-5.0,22
Malick Diouf,1451265,Senegal,defender,26.760000000000005,-5.0,22
Ibrahim Mbaye,1593857,Senegal,forward,20.941666666666663,0.5,21
Iliman Ndiaye,965764,Senegal,forward,18.758333333333333,0.5,19
Idrissa Gana Gueye,179410,Senegal,midfielder,18.05733333333333,1.0,19
Ousmane Dembélé,692984,France,forward,15.85,3.0,19
Sadio Mané,303339,Senegal,midfielder,17.364000000000004,1.0,18
Pape Gueye,844544,Senegal,midfielder,16.814666666666668,1.0,18
Nicolas Jackson,1197347,Senegal,forward,17.116666666666667,0.0,17
Ismaïla Sarr,771294,Senegal,midfielder,11.874,3.0,15
Moussa Niakhaté,592102,Senegal,defender,19.82,-5.0,15
Lamine Camara,1436305,Senegal,midfielder,8.607333333333333,3.0,12
Pathé Ciss,872396,Senegal,midfielder,6.394666666666666,2.5,9
Bamba Dieng,1230848,Senegal,forward,5.733333333333333,0.5,6
Rayan Cherki,1104053,France,midfielder,2.94,2.5,5
Habib Diarra,1285866,Senegal,midfielder,3.288666666666667,0.5,4
Lucas Digne,210111,France,defender,0.0,0.0,0
Lucas Hernández,504606,France,defender,0.0,0.0,0
Abdoulaye Seck,588626,Senegal,defender,0.0,0.0,0
Ibrahima Konaté,820140,France,defender,0.0,0.0,0
Ismail Jakobs,906945,Senegal,defender,0.0,0.0,0
Maxence Lacroix,950485,France,defender,0.0,0.0,0
Malo Gusto,1197250,France,defender,0.0,0.0,0
Antoine Mendy,1254147,Senegal,defender,0.0,0.0,0
Mamadou Sarr,1426170,Senegal,defender,0.0,0.0,0
N'Golo Kanté,319300,France,midfielder,0.0,0.0,0
Kouadio Koné,1016132,France,midfielder,0.0,0.0,0
Pape Sarr,1107280,Senegal,midfielder,0.0,0.0,0
Warren Zaïre-Emery,1367615,France,midfielder,0.0,0.0,0
Bara Ndiaye,1798782,Senegal,midfielder,0.0,0.0,0
Marcus Thuram,621562,France,forward,0.0,0.0,0
Jean-Philippe Mateta,706297,France,forward,0.0,0.0,0
Cherif Ndiaye,819972,Senegal,forward,0.0,0.0,0
Maghnes Akliouche,1305618,France,forward,0.0,0.0,0
Assane Diao,1434889,Senegal,forward,0.0,0.0,0
Senegal Keepers,6395,Senegal,goalkeeper,26.86,0.0,27
France Keepers,6723,France,goalkeeper,13.48,12.0,25
