player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Kylian Mbappé,701154,France,forward,72.02499999999999,9.0,0.0,81
Michael Olise,1029063,France,midfielder,59.62533333333334,11.0,0.0,71
Bradley Barcola,1297165,France,midfielder,34.354,11.0,0.0,45
Ousmane Dembélé,692984,France,midfielder,32.75999999999999,11.0,0.0,44
Adrien Rabiot,352879,France,midfielder,31.938,11.0,0.0,43
Aurélien Tchouaméni,914458,France,midfielder,29.851999999999997,11.0,0.0,41
William Saliba,955406,France,defender,27.51,10.0,0.0,38
Lucas Digne,210111,France,defender,26.91,10.0,0.0,37
Dayot Upamecano,658554,France,defender,22.55,10.0,0.0,33
Jules Koundé,705450,France,defender,20.71,10.0,0.0,31
Gustaf Lagerbielke,919848,Sweden,defender,30.58,-5.0,0.0,26
Viktor Gyökeres,664500,Sweden,forward,22.78333333333333,0.0,0.0,23
Lucas Bergvall,1386775,Sweden,midfielder,18.302,1.0,0.0,19
Daniel Svensson,1209228,Sweden,midfielder,19.833333333333336,-1.0,0.0,19
Victor Nilsson Lindelöf,258269,Sweden,defender,21.0,-5.0,0.0,16
Theo Hernández,724371,France,defender,10.91,5.0,0.0,16
Elliot Stroud,1272349,Sweden,midfielder,14.878,1.0,0.0,16
Alexander Isak,690107,Sweden,forward,15.408333333333331,0.0,0.0,15
Yasin Ayari,1168311,Sweden,midfielder,16.173333333333332,-1.0,0.0,15
Malo Gusto,1197250,France,defender,10.12,5.0,0.0,15
Mattias Svanberg,647900,Sweden,midfielder,11.740666666666668,2.5,0.0,14
Anthony Elanga,1050166,Sweden,midfielder,13.806,-1.0,0.0,13
Gabriel Gudmundsson,744494,Sweden,defender,17.59,-5.0,0.0,13
Désiré Doué,1339208,France,forward,14.166666666666668,-2.5,0.0,12
Besfort Zeneli,1338361,Sweden,midfielder,10.678,0.5,0.0,11
Benjamin Nygren,931605,Sweden,midfielder,8.496666666666668,2.5,0.0,11
Taha Abdi Ali,1135782,Sweden,midfielder,5.632,0.5,0.0,6
Rayan Cherki,1104053,France,midfielder,2.4606666666666666,2.5,0.0,5
Gustaf Nilsson,118241,Sweden,forward,6.475,-2.5,0.0,4
Jean-Philippe Mateta,706297,France,forward,3.533333333333333,-2.5,0.0,1
Carl Starfelt,497662,Sweden,defender,0.0,0.0,0.0,0
Lucas Hernández,504606,France,defender,0.0,0.0,0.0,0
Eric Smith,531327,Sweden,defender,0.0,0.0,0.0,0
Ibrahima Konaté,820140,France,defender,0.0,0.0,0.0,0
Hjalmar Ekdal,831044,Sweden,defender,0.0,0.0,0.0,0
Maxence Lacroix,950485,France,defender,0.0,0.0,0.0,0
N'Golo Kanté,319300,France,midfielder,0.0,0.0,0.0,0
Jesper Karlström,322003,Sweden,midfielder,0.0,0.0,0.0,0
Ken Sema,520670,Sweden,midfielder,0.0,0.0,0.0,0
Herman Johansson,946703,Sweden,midfielder,0.0,0.0,0.0,0
Alexander Bernhardsson,1014688,Sweden,midfielder,0.0,0.0,0.0,0
Kouadio Koné,1016132,France,midfielder,0.0,0.0,0.0,0
Warren Zaïre-Emery,1367615,France,midfielder,0.0,0.0,0.0,0
Marcus Thuram,621562,France,forward,0.0,0.0,0.0,0
Maghnes Akliouche,1305618,France,forward,0.0,0.0,0.0,0
Sweden Keepers,8520,Sweden,goalkeeper,36.54,0.0,0.0,37
France Keepers,6723,France,goalkeeper,13.860000000000005,18.0,0.0,32
