player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Dara O'Shea,789578,Ipswich Town,defender,47.8,5.0,0.0,53
Emersonn,1320949,Ipswich Town,forward,46.150000000000006,3.0,0.0,49
Reinildo,600524,Sunderland,defender,41.075,0.0,0.0,41
Granit Xhaka,207236,Sunderland,midfielder,36.54,3.0,0.0,40
Julio Enciso,1073742,Ipswich Town,midfielder,33.964666666666666,5.0,0.0,39
Abdul Fatawu,1265626,Ipswich Town,forward,34.150000000000006,3.0,0.0,37
Marcelino Núñez,1129081,Ipswich Town,midfielder,30.814666666666668,5.0,0.0,36
Noah Sadiki,1359649,Sunderland,midfielder,30.702,3.0,0.0,34
Sasa Lukic,556972,Ipswich Town,midfielder,25.236,7.0,0.0,32
Jacob Greaves,1079103,Ipswich Town,defender,25.85,5.0,0.0,31
Ipswich Town Keepers,9902,Ipswich Town,goalkeeper,17.28,12.0,0.0,29
Thomas Meunier,277771,Sunderland,defender,27.55,0.0,0.0,28
Trai Hume,1067763,Sunderland,midfielder,23.232666666666667,5.0,0.0,28
Jack Clarke,914402,Ipswich Town,forward,21.78333333333333,3.0,0.0,25
Nilson Angulo,1287010,Sunderland,midfielder,19.702666666666666,5.0,0.0,25
Daniel Ballard,974268,Sunderland,defender,23.605,0.0,0.0,24
Leif Davis,980381,Ipswich Town,defender,18.505,5.0,0.0,24
Sunderland Keepers,8472,Sunderland,goalkeeper,17.1,6.0,0.0,23
Daizen Maeda,728765,Ipswich Town,forward,19.30666666666667,3.0,0.0,22
Issa Diop,696443,Ipswich Town,defender,13.875,5.0,0.0,19
Luke O'Nien,480253,Sunderland,defender,14.473333333333333,5.0,0.0,19
Abdoul Ouattara,1343053,Ipswich Town,defender,9.188333333333334,5.0,0.0,14
Enzo Le Fée,1049999,Sunderland,midfielder,7.434666666666665,5.0,0.0,12
Kasey McAteer,1113915,Ipswich Town,forward,8.440000000000001,3.0,0.0,11
Brian Brobbey,940446,Sunderland,forward,6.023333333333333,3.0,0.0,9
Chuba Akpom,413158,Ipswich Town,midfielder,4.053999999999999,4.5,0.0,9
Sindre Walle Egeli,1307961,Ipswich Town,forward,4.963333333333333,3.0,0.0,8
Wilson Isidor,887703,Sunderland,forward,5.506666666666666,0.0,0.0,6
Chemsdine Talbi,1368654,Sunderland,forward,5.133333333333333,0.0,0.0,5
Habib Diarra,1285866,Sunderland,midfielder,4.705333333333333,0.5,0.0,5
Omar Alderete,751998,Sunderland,defender,4.996666666666667,0.0,0.0,5
Chris Rigg,1327319,Sunderland,midfielder,3.547333333333333,0.5,0.0,4
Cameron Humphreys,1287056,Ipswich Town,midfielder,0.0,0.0,0.0,0
Cédric Kipré,760398,Ipswich Town,defender,0.0,0.0,0.0,0
Darnell Furlong,609733,Ipswich Town,defender,0.0,0.0,0.0,0
Jocelin Ta Bi,1690655,Sunderland,forward,0.0,0.0,0.0,0
Nordi Mukiele,602304,Sunderland,defender,0.0,0.0,0.0,0
Romaine Mundle,1123947,Sunderland,forward,0.0,0.0,0.0,0
