player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Erling Haaland,737066,Norway,forward,51.99166666666667,12.0,64
Julian Ryerson,659272,Norway,midfielder,34.44199999999999,11.0,45
Kristoffer Ajer,552718,Norway,defender,38.37,5.0,43
Torbjørn Heggem,935550,Norway,defender,31.7,5.0,37
Martin Ødegaard,534670,Norway,midfielder,26.304,9.0,35
Sander Berge,540963,Norway,midfielder,23.822,11.0,35
Amir Al-Ammari,858340,Iraq,midfielder,31.293999999999997,-1.0,30
Ayman Hussein,674332,Iraq,forward,26.775,3.0,30
David Møller Wolfe,1049679,Norway,defender,23.253333333333334,5.0,28
Merchas Doski,1199113,Iraq,defender,35.72,-10.0,26
Fredrik Aursnes,310768,Norway,midfielder,17.671333333333337,7.0,25
Leo Østigard,740944,Norway,defender,19.276666666666667,5.0,24
Zaid Ismael,1642820,Iraq,midfielder,20.668666666666667,3.0,24
Ali Al Hamadi,1113688,Iraq,forward,20.016666666666666,3.0,23
Antonio Nusa,1248482,Norway,forward,16.95,6.0,23
Ali Jasim,1478238,Iraq,midfielder,16.659333333333336,3.0,20
Ibrahim Bayesh,942834,Iraq,midfielder,18.590000000000003,1.0,20
Alexander Sørloth,440330,Norway,forward,9.708333333333332,6.0,16
Kristian Thorstvedt,921921,Norway,midfielder,8.856666666666667,6.5,15
Oscar Bobb,1113790,Norway,forward,9.566666666666666,3.5,13
Hussein Ali,1092563,Iraq,defender,12.803333333333335,0.0,13
Akam Hashem,1606279,Iraq,defender,22.22,-10.0,12
Patrick Berg,530635,Norway,midfielder,6.93,4.5,11
Andreas Schjelderup,1228558,Norway,forward,7.6499999999999995,3.5,11
Zidane Iqbal,1138592,Iraq,midfielder,11.921333333333333,-1.5,10
Marko Lawk Farji,1162514,Iraq,forward,9.750000000000002,-2.5,7
Mustafa Saadoun,1554123,Iraq,defender,10.176666666666666,-5.0,5
Ahmed Qasem,1224691,Iraq,midfielder,5.374666666666666,-1.5,4
Mohanad Ali,926484,Iraq,forward,5.441666666666667,-2.5,3
Zaid Tahseen,1420369,Iraq,defender,11.74,-10.0,2
Rebin Sulaka,502481,Iraq,defender,0.0,0.0,0
Fredrik André Bjørkan,630228,Norway,defender,0.0,0.0,0
Henrik Falchener,1110550,Norway,defender,0.0,0.0,0
Sondre Klingen Langås,1127585,Norway,defender,0.0,0.0,0
Manaf Younis,1333336,Iraq,defender,0.0,0.0,0
Ahmed Maknzi,1642810,Iraq,defender,0.0,0.0,0
Frans Putros,320139,Iraq,midfielder,0.0,0.0,0
Morten Thorsby,439148,Norway,midfielder,0.0,0.0,0
Marcus Holmgren Pedersen,935622,Norway,midfielder,0.0,0.0,0
Kevin Yakob,941579,Iraq,midfielder,0.0,0.0,0
Aimar Sher,1042511,Iraq,midfielder,0.0,0.0,0
Thelo Aasgaard,1184468,Norway,midfielder,0.0,0.0,0
Jens Petter Hauge,741397,Norway,forward,0.0,0.0,0
Jørgen Strand Larsen,821100,Norway,forward,0.0,0.0,0
Ali Yousif,1132572,Iraq,forward,0.0,0.0,0
Youssef Amyn,1235623,Iraq,forward,0.0,0.0,0
Iraq Keepers,5819,Iraq,goalkeeper,16.58,-6.0,11
Norway Keepers,8492,Norway,goalkeeper,9.2,12.0,21
