player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Kristoffer Ajer,552718,Norway,defender,49.91,5.0,0.0,55
Erling Haaland,737066,Norway,forward,36.93333333333334,6.0,0.0,43
Martin Ødegaard,534670,Norway,midfielder,35.751999999999995,7.0,0.0,43
Patrick Berg,530635,Norway,midfielder,35.28,7.0,0.0,42
Nicolas Pépé,575735,Côte d'Ivoire,forward,35.224999999999994,3.0,0.0,38
Amad Diallo,1070052,Côte d'Ivoire,midfielder,30.694,2.5,0.0,33
Sander Berge,540963,Norway,midfielder,25.364,7.0,0.0,32
Guéla Doué,1395704,Côte d'Ivoire,defender,32.34,0.0,0.0,32
Torbjørn Heggem,935550,Norway,defender,26.6,5.0,0.0,32
Emmanuel Agbadou,1114979,Côte d'Ivoire,defender,31.26,0.0,0.0,31
Ibrahim Sangaré,795371,Côte d'Ivoire,midfielder,28.178,3.0,0.0,31
Antonio Nusa,1248482,Norway,forward,26.808333333333334,3.0,0.0,30
Yan Diomande,1735453,Côte d'Ivoire,forward,23.94166666666667,3.0,0.0,27
David Møller Wolfe,1049679,Norway,defender,21.39,5.0,0.0,26
Alexander Sørloth,440330,Norway,forward,19.83333333333333,3.0,0.0,23
Odilon Kossounou,1014496,Côte d'Ivoire,defender,21.8,0.0,0.0,22
Ghislain Konan,740997,Côte d'Ivoire,defender,20.986666666666665,0.0,0.0,21
Christ Inao Oulaï,1666494,Côte d'Ivoire,midfielder,17.433999999999997,3.0,0.0,20
Franck Kessié,579747,Côte d'Ivoire,midfielder,15.734,3.0,0.0,19
Fredrik Aursnes,310768,Norway,midfielder,10.093333333333332,4.5,0.0,15
Marcus Holmgren Pedersen,935622,Norway,midfielder,9.562666666666669,5.0,0.0,15
Andreas Schjelderup,1228558,Norway,forward,9.416666666666666,0.5,0.0,10
Oscar Bobb,1113790,Norway,forward,8.458333333333332,0.5,0.0,9
Ange-Yoan Bonny,1199383,Côte d'Ivoire,forward,8.316666666666666,0.0,0.0,8
Oumar Diakité,1328540,Côte d'Ivoire,forward,10.241666666666664,-2.5,0.0,8
Elye Wahi,1213430,Côte d'Ivoire,forward,6.666666666666667,0.5,0.0,7
Fredrik André Bjørkan,630228,Norway,defender,0.0,0.0,0.0,0
Leo Østigard,740944,Norway,defender,0.0,0.0,0.0,0
Evan N'Dicka,787242,Côte d'Ivoire,defender,0.0,0.0,0.0,0
Christopher Opéri,802462,Côte d'Ivoire,defender,0.0,0.0,0.0,0
Wilfried Singo,1027472,Côte d'Ivoire,defender,0.0,0.0,0.0,0
Henrik Falchener,1110550,Norway,defender,0.0,0.0,0.0,0
Sondre Klingen Langås,1127585,Norway,defender,0.0,0.0,0.0,0
Ousmane Diomande,1425182,Côte d'Ivoire,defender,0.0,0.0,0.0,0
Morten Thorsby,439148,Norway,midfielder,0.0,0.0,0.0,0
Jean Michaël Seri,470539,Côte d'Ivoire,midfielder,0.0,0.0,0.0,0
Seko Fofana,602211,Côte d'Ivoire,midfielder,0.0,0.0,0.0,0
Julian Ryerson,659272,Norway,midfielder,0.0,0.0,0.0,0
Kristian Thorstvedt,921921,Norway,midfielder,0.0,0.0,0.0,0
Thelo Aasgaard,1184468,Norway,midfielder,0.0,0.0,0.0,0
Jens Petter Hauge,741397,Norway,forward,0.0,0.0,0.0,0
Jørgen Strand Larsen,821100,Norway,forward,0.0,0.0,0.0,0
Evann Guessand,1087966,Côte d'Ivoire,forward,0.0,0.0,0.0,0
Parfait Guiagon,1186770,Côte d'Ivoire,forward,0.0,0.0,0.0,0
Simon Adingra,1227012,Côte d'Ivoire,forward,0.0,0.0,0.0,0
Bazoumana Touré,1624586,Côte d'Ivoire,forward,0.0,0.0,0.0,0
Norway Keepers,8492,Norway,goalkeeper,29.44,12.0,0.0,41
Côte d'Ivoire Keepers,6709,Côte d'Ivoire,goalkeeper,9.18,6.0,0.0,15
