player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Ao Tanaka,935728,Japan,midfielder,36.44200000000001,5.0,41
Daizen Maeda,728765,Japan,midfielder,35.994,5.0,41
Yukinari Sugawara,924610,Japan,defender,34.4,5.0,39
Hiroki Ito,851626,Japan,defender,28.730000000000004,5.0,34
Anthony Elanga,1050166,Sweden,forward,30.016666666666666,3.0,33
Gabriel Gudmundsson,744494,Sweden,defender,27.663333333333338,5.0,33
Gustaf Lagerbielke,919848,Sweden,defender,27.18,5.0,32
Yasin Ayari,1168311,Sweden,midfielder,26.6,5.0,32
Keito Nakamura,887704,Japan,forward,27.9,3.0,31
Daichi Kamada,621515,Japan,midfielder,22.564,5.0,28
Shogo Taniguchi,523731,Japan,defender,21.85,5.0,27
Ayumu Seko,857120,Japan,defender,18.57,5.0,24
Ritsu Doan,629805,Japan,midfielder,17.075333333333333,5.0,22
Viktor Gyökeres,664500,Sweden,forward,18.558333333333334,3.0,22
Victor Nilsson Lindelöf,258269,Sweden,defender,16.509999999999998,5.0,22
Isak Hien,939780,Sweden,defender,16.413333333333334,5.0,21
Alexander Isak,690107,Sweden,forward,17.566666666666666,3.0,21
Elliot Stroud,1272349,Sweden,midfielder,15.39,5.0,20
Ko Itakura,620917,Japan,defender,13.73,5.0,19
Yuto Nagatomo,98254,Japan,defender,13.2,5.0,18
Alexander Bernhardsson,1014688,Sweden,midfielder,11.976,5.0,17
Tsuyoshi Watanabe,1023887,Japan,defender,10.28,5.0,15
Ayase Ueda,942393,Japan,forward,9.408333333333331,3.0,12
Lucas Bergvall,1386775,Sweden,midfielder,7.196666666666666,5.0,12
Carl Starfelt,497662,Sweden,defender,6.91,5.0,12
Ken Sema,520670,Sweden,midfielder,7.062,2.5,10
Benjamin Nygren,931605,Sweden,midfielder,5.870666666666667,2.5,8
Daniel Svensson,1209228,Sweden,midfielder,4.266,2.5,7
Junya Ito,604044,Japan,forward,7.908333333333333,-2.5,5
Koki Ogawa,727837,Japan,forward,5.5,-2.5,3
Eric Smith,531327,Sweden,defender,0.0,0.0,0
Takehiro Tomiyasu,664444,Japan,defender,0.0,0.0,0
Hjalmar Ekdal,831044,Sweden,defender,0.0,0.0,0
Junnosuke Suzuki,1337765,Japan,defender,0.0,0.0,0
Jesper Karlström,322003,Sweden,midfielder,0.0,0.0,0
Mattias Svanberg,647900,Sweden,midfielder,0.0,0.0,0
Herman Johansson,946703,Sweden,midfielder,0.0,0.0,0
Kaishu Sano,1033111,Japan,midfielder,0.0,0.0,0
Yuito Suzuki,1134467,Japan,midfielder,0.0,0.0,0
Taha Abdi Ali,1135782,Sweden,midfielder,0.0,0.0,0
Besfort Zeneli,1338361,Sweden,midfielder,0.0,0.0,0
Gustaf Nilsson,118241,Sweden,forward,0.0,0.0,0
Shuto Machino,915111,Japan,forward,0.0,0.0,0
Keisuke Goto,1436730,Japan,forward,0.0,0.0,0
Kento Shiogai,1611223,Japan,forward,0.0,0.0,0
Japan Keepers,6715,Japan,goalkeeper,31.38,12.0,43
Sweden Keepers,8520,Sweden,goalkeeper,15.3,12.0,27
