player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Julián Quiñones,720560,Mexico,forward,45.2,6.0,0.0,51
César Montes,664644,Mexico,defender,39.77,10.0,0.0,50
Roberto Alvarado,720737,Mexico,forward,38.725,6.0,0.0,45
Johan Vásquez,914103,Mexico,defender,33.46,10.0,0.0,43
Jorge Sánchez,727586,Mexico,defender,28.25,10.0,0.0,38
Willian Pacho,1137670,Ecuador,defender,35.35,0.0,0.0,35
Raul Jiménez,292313,Mexico,forward,28.741666666666667,6.0,0.0,35
Luis Romo,921174,Mexico,defender,20.763333333333332,10.0,0.0,31
Gilberto Mora,1670377,Mexico,midfielder,21.691333333333333,9.0,0.0,31
Jesús Gallardo,597976,Mexico,defender,19.29,10.0,0.0,29
Piero Hincapié,1137667,Ecuador,defender,29.08,0.0,0.0,29
Érik Lira,971628,Mexico,defender,15.38,10.0,0.0,25
John Yeboah,845368,Ecuador,midfielder,22.70133333333333,1.0,0.0,24
Nilson Angulo,1287010,Ecuador,midfielder,22.65333333333333,1.0,0.0,24
Moisés Caicedo,1137668,Ecuador,midfielder,22.308,1.0,0.0,23
Pedro Vite,1108611,Ecuador,midfielder,19.488,1.0,0.0,20
Gonzalo Plata,980311,Ecuador,forward,18.90833333333333,0.0,0.0,19
Yaimar Medina,1391753,Ecuador,defender,12.830000000000002,5.0,0.0,18
Brian Gutiérrez,1170238,Mexico,midfielder,9.948666666666668,2.5,0.0,12
Israel Reyes,1074586,Mexico,defender,6.743333333333333,5.0,0.0,12
Kendry Páez,1443464,Ecuador,forward,13.366666666666667,-2.5,0.0,11
Alan Franco,832171,Ecuador,midfielder,8.59,1.0,0.0,10
Obed Vargas,1254394,Mexico,midfielder,5.882666666666666,2.5,0.0,8
Ángelo Preciado,848593,Ecuador,midfielder,5.57,2.5,0.0,8
Kevin Rodríguez,1421270,Ecuador,forward,10.091666666666669,-2.5,0.0,8
Enner Valencia,195927,Ecuador,forward,6.833333333333333,0.0,0.0,7
Orbelín Pineda,559986,Mexico,midfielder,4.271333333333333,2.5,0.0,7
Joel Ordóñez,1354085,Ecuador,defender,6.360000000000001,0.0,0.0,6
Jordy Caicedo,766159,Ecuador,forward,5.975,-2.5,0.0,3
Santiago Giménez,954092,Mexico,forward,5.033333333333333,-2.5,0.0,3
Félix Torres,825641,Ecuador,defender,0.0,0.0,0.0,0
Jackson Porozo,1032039,Ecuador,defender,0.0,0.0,0.0,0
Mateo Chávez,1432212,Mexico,defender,0.0,0.0,0.0,0
Luis Chávez,527616,Mexico,midfielder,0.0,0.0,0.0,0
Pervis Estupinán,688278,Ecuador,midfielder,0.0,0.0,0.0,0
Edson Álvarez,783505,Mexico,midfielder,0.0,0.0,0.0,0
Álvaro Fidalgo,895954,Mexico,midfielder,0.0,0.0,0.0,0
Jordy Alcívar,950396,Ecuador,midfielder,0.0,0.0,0.0,0
Anthony Valencia,1353364,Ecuador,midfielder,0.0,0.0,0.0,0
Denil Castillo,1477417,Ecuador,midfielder,0.0,0.0,0.0,0
Guillermo Martínez,558539,Mexico,forward,0.0,0.0,0.0,0
Alexis Vega,728365,Mexico,forward,0.0,0.0,0.0,0
César Huerta,977404,Mexico,forward,0.0,0.0,0.0,0
Alan Minda,1274400,Ecuador,forward,0.0,0.0,0.0,0
Jeremy Arévalo,1418122,Ecuador,forward,0.0,0.0,0.0,0
Armando González,1456983,Mexico,forward,0.0,0.0,0.0,0
Mexico Keepers,6710,Mexico,goalkeeper,18.94,18.0,0.0,37
Ecuador Keepers,6707,Ecuador,goalkeeper,6.56,6.0,0.0,13
