player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Jude Bellingham,1077894,England,midfielder,57.434,7.0,0.0,64
Roberto Alvarado,720737,Mexico,forward,49.06666666666666,6.0,0.0,55
Harry Kane,194165,England,forward,42.91666666666667,9.0,0.0,52
Julián Quiñones,720560,Mexico,forward,36.65833333333333,6.0,0.0,43
Raul Jiménez,292313,Mexico,forward,29.73333333333333,6.0,0.0,36
Anthony Gordon,906937,England,midfielder,28.438,7.0,0.0,35
Elliot Anderson,1089691,England,midfielder,26.394,7.0,0.0,33
Johan Vásquez,914103,Mexico,defender,36.32000000000001,-5.0,0.0,31
Bukayo Saka,961995,England,midfielder,24.124,7.0,0.0,31
Edson Álvarez,783505,Mexico,midfielder,27.794000000000004,2.5,0.0,30
Marc Guéhi,844425,England,defender,24.03,0.0,0.0,24
Daniel Burn,188058,England,defender,17.89,5.0,0.0,23
Álvaro Fidalgo,895954,Mexico,midfielder,19.924666666666667,2.5,0.0,22
Jesús Gallardo,597976,Mexico,defender,26.27,-5.0,0.0,21
Declan Rice,654096,England,midfielder,13.414,7.0,0.0,20
Djed Spence,894803,England,defender,13.633333333333336,5.0,0.0,19
Érik Lira,971628,Mexico,defender,22.74,-5.0,0.0,18
Ezri Konsa,710159,England,defender,17.040000000000003,0.0,0.0,17
Brian Gutiérrez,1170238,Mexico,midfielder,11.944666666666668,4.5,0.0,16
César Montes,664644,Mexico,defender,16.130000000000003,0.0,0.0,16
Jarell Quansah,1107620,England,defender,13.68,0.0,0.0,14
Jorge Sánchez,727586,Mexico,defender,17.973333333333333,-5.0,0.0,13
John Stones,263653,England,defender,12.51,0.0,0.0,13
Nico O'Reilly,1300526,England,defender,11.786666666666669,0.0,0.0,12
Gilberto Mora,1670377,Mexico,midfielder,7.047333333333333,1.0,0.0,8
Santiago Giménez,954092,Mexico,forward,5.1,0.5,0.0,6
Luis Romo,921174,Mexico,defender,8.323333333333334,-5.0,0.0,3
Guillermo Martínez,558539,Mexico,forward,5.466666666666667,-2.5,0.0,3
Trevoh Chalobah,793907,England,defender,0.0,0.0,0.0,0
Reece James,807729,England,defender,0.0,0.0,0.0,0
Israel Reyes,1074586,Mexico,defender,0.0,0.0,0.0,0
Mateo Chávez,1432212,Mexico,defender,0.0,0.0,0.0,0
Jordan Henderson,156008,England,midfielder,0.0,0.0,0.0,0
Luis Chávez,527616,Mexico,midfielder,0.0,0.0,0.0,0
Orbelín Pineda,559986,Mexico,midfielder,0.0,0.0,0.0,0
Eberechi Eze,818975,England,midfielder,0.0,0.0,0.0,0
Morgan Rogers,883080,England,midfielder,0.0,0.0,0.0,0
Obed Vargas,1254394,Mexico,midfielder,0.0,0.0,0.0,0
Kobbie Mainoo,1292810,England,midfielder,0.0,0.0,0.0,0
Ivan Toney,408987,England,forward,0.0,0.0,0.0,0
Ollie Watkins,540088,England,forward,0.0,0.0,0.0,0
Marcus Rashford,696365,England,forward,0.0,0.0,0.0,0
Alexis Vega,728365,Mexico,forward,0.0,0.0,0.0,0
César Huerta,977404,Mexico,forward,0.0,0.0,0.0,0
Noni Madueke,1084981,England,forward,0.0,0.0,0.0,0
Armando González,1456983,Mexico,forward,0.0,0.0,0.0,0
England Keepers,8491,England,goalkeeper,33.34,6.0,0.0,39
Mexico Keepers,6710,Mexico,goalkeeper,15.72,0.0,0.0,16
