player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Julián Quiñones,720560,Mexico,forward,50.375,6.0,56
Roberto Alvarado,720737,Mexico,midfielder,38.698,9.0,48
Raul Jiménez,292313,Mexico,forward,37.23333333333333,6.0,43
Érik Lira,971628,Mexico,defender,31.593333333333334,10.0,42
Johan Vásquez,914103,Mexico,defender,28.03,10.0,38
Israel Reyes,1074586,Mexico,defender,27.3,10.0,37
Jesús Gallardo,597976,Mexico,defender,21.92,10.0,32
César Montes,664644,Mexico,defender,16.5,10.0,26
Ime Okon,1600334,South Africa,defender,24.570000000000004,0.0,25
Álvaro Fidalgo,895954,Mexico,midfielder,13.98,7.0,21
Teboho Mokoena,848361,South Africa,midfielder,19.126000000000005,1.0,20
Khuliso Mudau,940010,South Africa,defender,18.67,0.0,19
Mbekezeli Mbokazi,1719066,South Africa,defender,18.19,0.0,18
Brian Gutiérrez,1170238,Mexico,midfielder,10.55,7.0,18
Luis Chávez,527616,Mexico,midfielder,11.962000000000002,4.5,16
Jayden Adams,1178629,South Africa,midfielder,9.857333333333331,3.0,13
Nkosinathi Sibisi,716819,South Africa,defender,12.43,0.0,12
Edson Álvarez,783505,Mexico,midfielder,8.312666666666667,2.5,11
Gilberto Mora,1670377,Mexico,midfielder,5.806,4.5,10
Thalente Mbatha,1124424,South Africa,midfielder,7.619333333333333,0.5,8
Evidence Makgopa,1137059,South Africa,forward,10.374999999999998,-2.5,8
Iqraam Rayners,1076668,South Africa,forward,7.408333333333333,0.0,7
Oswin Appollis,1054166,South Africa,forward,8.741666666666667,-2.5,6
Guillermo Martínez,558539,Mexico,forward,5.0,0.0,5
Santiago Giménez,954092,Mexico,forward,5.0,0.0,5
César Huerta,977404,Mexico,forward,5.0,0.0,5
Tshepang Moremi,1289611,South Africa,forward,5.0,0.0,5
Thapelo Maseko,1394951,South Africa,forward,5.0,0.0,5
Relebohile Mofokeng,1471333,South Africa,forward,5.0,0.0,5
Aubrey Maphosa Modiba,616179,South Africa,defender,4.326666666666668,0.0,4
Lyle Foster,881500,South Africa,forward,3.8333333333333335,0.0,4
Jorge Sánchez,727586,Mexico,defender,3.0,0.0,3
Luis Romo,921174,Mexico,defender,3.0,0.0,3
Bradley Cross,1202481,South Africa,defender,3.0,0.0,3
Mateo Chávez,1432212,Mexico,defender,3.0,0.0,3
Kamogelo Sebelebele,1451566,South Africa,defender,3.0,0.0,3
Olwethu Makhanya,1469826,South Africa,defender,3.0,0.0,3
Thabang Matuludi,1579341,South Africa,defender,3.0,0.0,3
Samukelo Kabini,1680659,South Africa,defender,3.0,0.0,3
Khulumani Ndamane,1680696,South Africa,defender,3.0,0.0,3
Orbelín Pineda,559986,Mexico,midfielder,3.0,0.0,3
Obed Vargas,1254394,Mexico,midfielder,3.0,0.0,3
Alexis Vega,728365,Mexico,forward,5.133333333333332,-2.5,3
Armando González,1456983,Mexico,forward,4.133333333333334,-2.5,2
Themba Zwane,303609,South Africa,midfielder,-4.133333333333334,0.5,-4
Sphephelo Sithole,1107735,South Africa,midfielder,-5.618666666666666,1.0,-5
Mexico Keepers,6710,Mexico,goalkeeper,15.46,18.0,33
South Africa Keepers,6316,South Africa,goalkeeper,25.680000000000003,6.0,32
