player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Edson Álvarez,783505,Mexico,defender,37.09,10.0,47
Luis Romo,921174,Mexico,midfielder,36.54466666666666,7.0,44
Kang-In Lee,940976,Korea Republic,midfielder,37.976,3.0,41
Jesús Gallardo,597976,Mexico,defender,26.74,10.0,37
Han-Beom Lee,1232253,Korea Republic,defender,29.44,5.0,34
Gi-Hyuk Lee,1232264,Korea Republic,defender,26.22,5.0,31
Min-Jae Kim,828159,Korea Republic,defender,24.99,5.0,30
Johan Vásquez,914103,Mexico,defender,16.93,10.0,27
Julián Quiñones,720560,Mexico,forward,20.708333333333336,3.0,24
Roberto Alvarado,720737,Mexico,midfielder,16.56866666666667,7.0,24
Brian Gutiérrez,1170238,Mexico,midfielder,16.364666666666665,7.0,23
Heung-Min Son,212867,Korea Republic,forward,22.375,0.0,22
Érik Lira,971628,Mexico,defender,12.15,10.0,22
Seung-Ho Paik,848102,Korea Republic,midfielder,16.748666666666665,3.0,20
In-Beom Hwang,623698,Korea Republic,midfielder,16.542,3.0,20
Jorge Sánchez,727586,Mexico,defender,9.21,10.0,19
Moon-Hwan Kim,828273,Korea Republic,defender,12.406666666666668,5.0,17
Raul Jiménez,292313,Mexico,forward,13.075,3.0,16
Ji-Sung Eom,1107283,Korea Republic,forward,17.15,-2.5,15
Jae-Sung Lee,523749,Korea Republic,midfielder,11.196,3.0,14
Hyun-Jun Yang,1232560,Korea Republic,forward,15.191666666666666,-2.5,13
Israel Reyes,1074586,Mexico,defender,7.133333333333334,5.0,12
Young-Woo Seol,1132818,Korea Republic,defender,5.586666666666667,5.0,11
Hee-Chan Hwang,620026,Korea Republic,forward,13.033333333333331,-2.5,11
Obed Vargas,1254394,Mexico,midfielder,7.289333333333333,2.5,10
Orbelín Pineda,559986,Mexico,midfielder,4.395333333333333,2.5,7
César Huerta,977404,Mexico,forward,8.366666666666665,-2.5,6
Gue-Sung Cho,1026781,Korea Republic,forward,7.633333333333334,-2.5,5
Hyun-Gyu Oh,1044299,Korea Republic,forward,4.574999999999999,-2.5,2
Santiago Giménez,954092,Mexico,forward,3.741666666666667,-2.5,1
Tae-Hyeon Kim,1053477,Korea Republic,defender,0.0,0.0,0
Wi-Je Cho,1326507,Korea Republic,defender,0.0,0.0,0
Mateo Chávez,1432212,Mexico,defender,0.0,0.0,0
Luis Chávez,527616,Mexico,midfielder,0.0,0.0,0
Jin-Gyu Kim,622980,Korea Republic,midfielder,0.0,0.0,0
Álvaro Fidalgo,895954,Mexico,midfielder,0.0,0.0,0
Jin-Seob Park,925647,Korea Republic,midfielder,0.0,0.0,0
Dong-Gyeong Lee,954131,Korea Republic,midfielder,0.0,0.0,0
Tae-Seok Lee,1107251,Korea Republic,midfielder,0.0,0.0,0
Jens Castrop,1185902,Korea Republic,midfielder,0.0,0.0,0
Jun-Ho Bae,1386482,Korea Republic,midfielder,0.0,0.0,0
Gilberto Mora,1670377,Mexico,midfielder,0.0,0.0,0
Guillermo Martínez,558539,Mexico,forward,0.0,0.0,0
Alexis Vega,728365,Mexico,forward,0.0,0.0,0
Armando González,1456983,Mexico,forward,0.0,0.0,0
Mexico Keepers,6710,Mexico,goalkeeper,15.74,18.0,34
Korea Republic Keepers,7804,Korea Republic,goalkeeper,14.68,12.0,27
