player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Cody Gakpo,806552,Netherlands,forward,62.09166666666667,15.0,77
Denzel Dumfries,593118,Netherlands,defender,50.260000000000005,5.0,55
Brian Brobbey,940446,Netherlands,forward,42.708333333333336,12.0,55
Crysencio Summerville,941213,Netherlands,forward,39.625,6.5,46
Alexander Isak,690107,Sweden,forward,41.35,3.0,44
Frenkie de Jong,638622,Netherlands,midfielder,27.000666666666667,13.0,40
Viktor Gyökeres,664500,Sweden,forward,34.93333333333334,3.0,38
Virgil van Dijk,209405,Netherlands,defender,30.17,5.0,35
Ryan Gravenberch,956683,Netherlands,midfielder,21.724000000000004,13.0,35
Jan Paul van Hecke,974618,Netherlands,defender,28.97,5.0,34
Micky van de Ven,1097466,Netherlands,defender,21.55,5.0,27
Gustaf Lagerbielke,919848,Sweden,defender,41.52,-15.0,27
Anthony Elanga,1050166,Sweden,forward,23.741666666666667,0.5,24
Jesper Karlström,322003,Sweden,midfielder,20.016666666666666,-3.0,17
Donyell Malen,660301,Netherlands,forward,10.925,6.0,17
Memphis Depay,303824,Netherlands,forward,16.34166666666667,0.5,17
Lucas Bergvall,1386775,Sweden,midfielder,11.451333333333332,2.5,14
Besfort Zeneli,1338361,Sweden,midfielder,11.411333333333332,2.5,14
Tijjani Reijnders,868344,Netherlands,midfielder,0.5226666666666657,13.0,14
Alexander Bernhardsson,1014688,Sweden,midfielder,16.437333333333335,-3.0,13
Teun Koopmeiners,866516,Netherlands,midfielder,9.953333333333337,2.5,12
Yasin Ayari,1168311,Sweden,midfielder,13.163333333333332,-1.0,12
Taha Abdi Ali,1135782,Sweden,midfielder,11.416666666666668,0.5,12
Victor Nilsson Lindelöf,258269,Sweden,defender,26.42,-15.0,11
Isak Hien,939780,Sweden,defender,24.760000000000005,-15.0,10
Guus Til,774947,Netherlands,forward,7.241666666666666,0.5,8
Benjamin Nygren,931605,Sweden,midfielder,3.2066666666666666,-3.0,0
Gabriel Gudmundsson,744494,Sweden,defender,10.716666666666669,-15.0,0
Nathan Aké,417068,Netherlands,defender,0.0,0.0,0
Carl Starfelt,497662,Sweden,defender,0.0,0.0,0
Eric Smith,531327,Sweden,defender,0.0,0.0,0
Hjalmar Ekdal,831044,Sweden,defender,0.0,0.0,0
Lutsharel Geertruida,881640,Netherlands,defender,0.0,0.0,0
Mats Wieffer,970243,Netherlands,defender,0.0,0.0,0
Jorrel Hato,1413846,Netherlands,defender,0.0,0.0,0
Marten de Roon,198559,Netherlands,midfielder,0.0,0.0,0
Ken Sema,520670,Sweden,midfielder,0.0,0.0,0
Mattias Svanberg,647900,Sweden,midfielder,0.0,0.0,0
Justin Kluivert,794253,Netherlands,midfielder,0.0,0.0,0
Herman Johansson,946703,Sweden,midfielder,0.0,0.0,0
Daniel Svensson,1209228,Sweden,midfielder,0.0,0.0,0
Elliot Stroud,1272349,Sweden,midfielder,0.0,0.0,0
Gustaf Nilsson,118241,Sweden,forward,0.0,0.0,0
Wout Weghorst,351999,Netherlands,forward,0.0,0.0,0
Noa Lang,837341,Netherlands,forward,0.0,0.0,0
Netherlands Keepers,6708,Netherlands,goalkeeper,32.34,12.0,44
Sweden Keepers,8520,Sweden,goalkeeper,11.42,-12.0,0
