player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Mohamed Salah,292462,Egypt,midfielder,49.91733333333333,9.0,59
Mostafa Ziko,1426403,Egypt,midfielder,39.98533333333334,7.0,47
Mohamed Hany,660213,Egypt,defender,37.31,5.0,42
Mohanad Lasheen,906944,Egypt,midfielder,33.088,9.0,42
Marwan Ateya,1418549,Egypt,midfielder,30.678,9.0,40
Ahmed Abou El Fotouh,849334,Egypt,defender,33.06,5.0,38
Marko Stamenic,1209597,New Zealand,midfielder,32.41799999999999,1.0,33
Finn Surman,1325761,New Zealand,defender,34.900000000000006,-5.0,30
Rami Rabia,505872,Egypt,defender,19.14333333333333,10.0,29
Omar Marmoush,839204,Egypt,forward,23.05833333333333,6.0,29
Liberato Cacace,919671,New Zealand,defender,28.14333333333333,0.0,28
Yasser Ibrahim,533403,Egypt,defender,22.92,5.0,28
Emam Ashour,979376,Egypt,midfielder,18.83933333333333,9.0,28
Chris Wood,169719,New Zealand,forward,23.85833333333333,3.0,27
Joe Bell,848345,New Zealand,midfielder,24.41,1.0,25
Hamdi Fathi,1022128,Egypt,midfielder,23.160666666666668,0.5,24
Tim Payne,324305,New Zealand,defender,27.793333333333333,-5.0,23
Hossam Abdelmaguid,1384425,Egypt,defender,17.423333333333332,5.0,22
Elijah Just,1053736,New Zealand,midfielder,20.313333333333336,1.0,21
Trezeguet,513492,Egypt,forward,18.291666666666664,0.5,19
Callum McCowatt,848352,New Zealand,midfielder,12.028000000000002,5.0,17
Michael Boxall,128949,New Zealand,defender,22.01,-5.0,17
Tyler Bindon,1524716,New Zealand,defender,8.556666666666667,5.0,14
Zizo,532766,Egypt,forward,11.575,-2.5,9
Francis De Vries,825593,New Zealand,defender,3.1266666666666665,5.0,8
Hamza Abdelkarim,1708842,Egypt,forward,7.283333333333333,0.5,8
Ryan Thomas,496356,New Zealand,midfielder,5.906666666666667,0.5,6
Sarpreet Singh,724531,New Zealand,midfielder,3.263333333333333,3.0,6
Jesse Randall,1460327,New Zealand,forward,8.675,-2.5,6
Benjamin Old,1257745,New Zealand,defender,2.89,-5.0,0
Tommy Smith,115025,New Zealand,defender,0.0,0.0,0
Karim Hafez,560416,Egypt,defender,0.0,0.0,0
Callan Elliot,1013276,New Zealand,defender,0.0,0.0,0
Nando Pijnaker,1053731,New Zealand,defender,0.0,0.0,0
Mohamed Abdelmonem,1179331,Egypt,defender,0.0,0.0,0
Tarek Alaa,1689101,Egypt,defender,0.0,0.0,0
Alex Rufer,519240,New Zealand,midfielder,0.0,0.0,0
Nabil Dunga,1001335,Egypt,midfielder,0.0,0.0,0
Mahmoud Saber,1291391,Egypt,midfielder,0.0,0.0,0
Lachlan Bayliss,1565865,New Zealand,midfielder,0.0,0.0,0
Kosta Barbarouses,96488,New Zealand,forward,0.0,0.0,0
Logan Rogerson,676431,New Zealand,forward,0.0,0.0,0
Haissem Hassan,971787,Egypt,forward,0.0,0.0,0
Ben Waine,1034995,New Zealand,forward,0.0,0.0,0
Ibrahim Adel,1272436,Egypt,forward,0.0,0.0,0
Egypt Keepers,10255,Egypt,goalkeeper,33.72,12.0,46
New Zealand Keepers,5820,New Zealand,goalkeeper,18.38,0.0,18
