player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Jordan Bos,1316930,Australia,defender,47.60000000000001,10.0,58
Matías Galarza,1241957,Paraguay,midfielder,38.44866666666667,5.0,43
Alessandro Circati,1318686,Australia,defender,31.14,10.0,41
Lucas Herrington,1686118,Australia,defender,28.88,10.0,39
Andrés Cubas,529625,Paraguay,midfielder,32.67400000000001,5.0,38
Harry Souttar,671518,Australia,defender,27.1,10.0,37
Gustavo Velázquez,497352,Paraguay,defender,23.66,10.0,34
Gustavo Gómez,274392,Paraguay,defender,23.11,10.0,33
Omar Alderete,751998,Paraguay,defender,21.46,10.0,31
Aiden O'Neill,785377,Australia,midfielder,25.89,5.0,31
Diego Gómez,1354561,Paraguay,midfielder,23.938666666666663,5.0,29
Juan Cáceres,1133495,Paraguay,defender,18.58,10.0,29
Alexandro Maidana,1736527,Paraguay,defender,14.610000000000005,10.0,25
Jackson Irvine,369742,Australia,midfielder,19.050000000000004,5.0,24
Connor Metcalfe,885870,Australia,midfielder,18.566000000000003,5.0,24
Cristian Volpato,1308909,Australia,forward,23.375,0.0,23
Aziz Behich,192735,Australia,defender,12.440000000000005,10.0,22
Mauricio,1059490,Paraguay,midfielder,14.374,2.5,17
Nestory Irankunda,1327214,Australia,midfielder,9.06,5.0,14
Gabriel Ávalos,425711,Paraguay,forward,12.608333333333334,0.0,13
Ajdin Hrustic,675762,Australia,midfielder,9.538666666666666,2.5,12
Álex Arce,1320444,Paraguay,forward,11.941666666666666,-2.5,9
José Canale,860890,Paraguay,defender,3.64,5.0,9
Paul Okon-Engstler,1527363,Australia,midfielder,4.28,2.5,7
Julio Enciso,1073742,Paraguay,midfielder,1.6799999999999988,5.0,7
Tete Yengi,1220549,Australia,forward,8.566666666666666,-2.5,6
Fabián Balbuena,307438,Paraguay,defender,0.0,0.0,0
Milos Degenek,416124,Australia,defender,0.0,0.0,0
Jason Geria,418799,Australia,defender,0.0,0.0,0
Júnior Alonso,466214,Paraguay,defender,0.0,0.0,0
Cameron Burgess,564842,Australia,defender,0.0,0.0,0
Alejandro Romero,600850,Paraguay,midfielder,0.0,0.0,0
Cameron Devlin,970544,Australia,midfielder,0.0,0.0,0
Braian Ojeda,1075065,Paraguay,midfielder,0.0,0.0,0
Kai Trewin,1101030,Australia,midfielder,0.0,0.0,0
Damián Bobadilla,1252913,Paraguay,midfielder,0.0,0.0,0
Awer Mabil,421328,Australia,forward,0.0,0.0,0
Antonio Sanabria,474448,Paraguay,forward,0.0,0.0,0
Isidro Pitta,1033279,Paraguay,forward,0.0,0.0,0
Mohamed Touré,1132069,Australia,forward,0.0,0.0,0
Ramón Sosa,1132960,Paraguay,forward,0.0,0.0,0
Nishan Velupillay,1250885,Australia,forward,0.0,0.0,0
Gustavo Caballero,1347933,Paraguay,forward,0.0,0.0,0
Paraguay Keepers,6724,Paraguay,goalkeeper,19.38,18.0,37
Australia Keepers,6716,Australia,goalkeeper,16.020000000000003,18.0,34
