player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Mathías Olivera,729093,Uruguay,defender,47.21000000000001,5.0,52
Abdulelah Al Amri,848600,Saudi Arabia,defender,41.95,5.0,47
Maxi Araújo,1031656,Uruguay,midfielder,39.892,5.0,45
Guillermo Varela,465614,Uruguay,defender,37.37,5.0,42
Mohamed Kanno,866373,Saudi Arabia,midfielder,35.042,5.0,40
Rodrigo Bentancur,620618,Uruguay,midfielder,31.052000000000003,5.0,36
Sebastián Cáceres,1020026,Uruguay,defender,23.900000000000002,5.0,29
Moteb Al-Harbi,1138003,Saudi Arabia,defender,23.496666666666663,5.0,28
Saud Abdulhamid,1002617,Saudi Arabia,midfielder,22.90266666666667,5.0,28
Nicolás de la Cruz,751198,Uruguay,midfielder,23.232,4.5,28
Federico Valverde,743533,Uruguay,midfielder,20.588000000000005,5.0,26
Manuel Ugarte,1035614,Uruguay,midfielder,21.868,3.0,25
Federico Viñas,1032811,Uruguay,forward,20.950000000000003,3.0,24
Hassan Al Tambakti,848607,Saudi Arabia,defender,18.200000000000003,5.0,23
Musab Al-Juwayr,1235341,Saudi Arabia,midfielder,16.076,7.0,23
Firas Al-Buraikan,844226,Saudi Arabia,forward,19.208333333333336,3.0,22
Abdullah Alkhaibari,823457,Saudi Arabia,midfielder,16.734,5.0,22
Juan Sanabria,1053963,Uruguay,defender,14.809999999999999,5.0,20
Agustín Canobbio,840212,Uruguay,forward,19.258333333333333,0.5,20
Salem Al-Dawsari,307753,Saudi Arabia,forward,15.875,3.0,19
Nasser Al-Dawsari,848612,Saudi Arabia,midfielder,17.624000000000002,0.5,18
Mohammed Abu Al Shamat,1543647,Saudi Arabia,midfielder,11.186,5.0,16
Darwin Núñez,950561,Uruguay,forward,12.9,0.0,13
Matías Viña,840184,Uruguay,defender,6.050000000000001,5.0,11
Brian Rodríguez,941660,Uruguay,forward,12.533333333333335,-2.5,10
Nawaf Al-Boushail,1401228,Saudi Arabia,defender,3.61,5.0,9
Hasan Kadesh,431215,Saudi Arabia,defender,0.0,0.0,0
José Giménez,474589,Uruguay,defender,0.0,0.0,0
Ali Lajami,640284,Saudi Arabia,defender,0.0,0.0,0
Santiago Bueno,848034,Uruguay,defender,0.0,0.0,0
Joaquín Piquerez,861661,Uruguay,defender,0.0,0.0,0
Ali Majrashi,910986,Saudi Arabia,defender,0.0,0.0,0
Ayman Yahya,1095207,Saudi Arabia,defender,0.0,0.0,0
Jehad Thakri,1232530,Saudi Arabia,defender,0.0,0.0,0
Alaa Hajji,697618,Saudi Arabia,midfielder,0.0,0.0,0
Emiliano Martínez,1137909,Uruguay,midfielder,0.0,0.0,0
Ziyad Aljohani,1174962,Saudi Arabia,midfielder,0.0,0.0,0
Saleh Al-Shehri,384407,Saudi Arabia,forward,0.0,0.0,0
Rodrigo Aguirre,401095,Uruguay,forward,0.0,0.0,0
Sultan Mandash,619824,Saudi Arabia,forward,0.0,0.0,0
Abdullah Al-Hamdan,909198,Saudi Arabia,forward,0.0,0.0,0
Khalid Al Ghannam,1024928,Saudi Arabia,forward,0.0,0.0,0
Rodrigo Zalazar,1070776,Uruguay,forward,0.0,0.0,0
Facundo Pellistri,1073402,Uruguay,forward,0.0,0.0,0
Uruguay Keepers,5796,Uruguay,goalkeeper,18.04,12.0,30
Saudi Arabia Keepers,7795,Saudi Arabia,goalkeeper,37.1,12.0,49
