player_name,player_id,team_name,position,stats_score,endowment_score,final_score
In-Beom Hwang,623698,Korea Republic,midfielder,52.41199999999999,7.0,59
Kang-In Lee,940976,Korea Republic,midfielder,42.352,7.0,49
Gi-Hyuk Lee,1232264,Korea Republic,defender,37.8,5.0,43
Min-Jae Kim,828159,Korea Republic,defender,32.05,5.0,37
Tae-Seok Lee,1107251,Korea Republic,midfielder,28.744,5.0,34
Ladislav Krejcí,798029,Czech Republic,defender,30.03,0.0,30
Han-Beom Lee,1232253,Korea Republic,defender,24.630000000000003,5.0,30
Hyun-Gyu Oh,1044299,Korea Republic,forward,25.641666666666666,0.5,26
Jae-Sung Lee,523749,Korea Republic,midfielder,22.136666666666667,3.0,25
Seung-Ho Paik,848102,Korea Republic,midfielder,18.054,7.0,25
Lukás Provod,791682,Czech Republic,midfielder,14.901333333333332,7.0,22
Alexandr Sojka,1478281,Czech Republic,midfielder,18.034,3.0,21
Young-Woo Seol,1132818,Korea Republic,defender,13.86,5.0,19
Vladimír Coufal,307317,Czech Republic,defender,18.49,0.0,18
Jaroslav Zeleny,249063,Czech Republic,defender,17.6,0.0,18
Heung-Min Son,212867,Korea Republic,forward,14.133333333333333,3.0,17
Tomás Soucek,524437,Czech Republic,midfielder,13.61,3.0,17
Pavel Sulc,1037539,Czech Republic,forward,13.474999999999998,3.0,16
Ji-Sung Eom,1107283,Korea Republic,forward,14.708333333333332,0.5,15
Patrik Schick,540097,Czech Republic,forward,11.083333333333332,3.0,14
Hee-Chan Hwang,620026,Korea Republic,forward,9.225,3.5,13
Jin-Seob Park,925647,Korea Republic,midfielder,7.694,2.5,10
Stepán Chaloupek,1288146,Czech Republic,defender,10.06,0.0,10
Tomás Chory,523217,Czech Republic,forward,11.925,-2.5,9
Robin Hranác,1225995,Czech Republic,defender,6.679999999999999,0.0,7
Jin-Gyu Kim,622980,Korea Republic,midfielder,3.852,2.5,6
Michal Sadílek,806551,Czech Republic,midfielder,6.968666666666668,-1.5,5
Mojmír Chytil,988769,Czech Republic,forward,7.683333333333334,-2.5,5
Jan Kuchta,690332,Czech Republic,forward,5.0,0.0,5
Gue-Sung Cho,1026781,Korea Republic,forward,5.0,0.0,5
Denis Visinsky,1202885,Czech Republic,forward,5.0,0.0,5
Hyun-Jun Yang,1232560,Korea Republic,forward,5.0,0.0,5
Adam Hlozek,969870,Czech Republic,midfielder,6.132666666666667,-1.5,5
Tomás Holes,306168,Czech Republic,defender,3.0,0.0,3
Moon-Hwan Kim,828273,Korea Republic,defender,3.0,0.0,3
Tae-Hyeon Kim,1053477,Korea Republic,defender,3.0,0.0,3
David Zima,1085401,Czech Republic,defender,3.0,0.0,3
Wi-Je Cho,1326507,Korea Republic,defender,3.0,0.0,3
Vladimír Darida,196311,Czech Republic,midfielder,3.0,0.0,3
David Doudera,883759,Czech Republic,midfielder,3.0,0.0,3
Dong-Gyeong Lee,954131,Korea Republic,midfielder,3.0,0.0,3
Lukás Cerv,1151313,Czech Republic,midfielder,3.0,0.0,3
Jens Castrop,1185902,Korea Republic,midfielder,3.0,0.0,3
David Jurásek,1247323,Czech Republic,midfielder,3.0,0.0,3
Jun-Ho Bae,1386482,Korea Republic,midfielder,3.0,0.0,3
Hugo Sochurek,1764021,Czech Republic,midfielder,3.0,0.0,3
Korea Republic Keepers,7804,Korea Republic,goalkeeper,15.04,12.0,27
Czech Republic Keepers,8496,Czech Republic,goalkeeper,17.240000000000002,6.0,23
