player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Sebastian Berhalter,1136096,USA,midfielder,61.694,3.0,65
Baris Alper Yilmaz,890232,Turkey,forward,40.35000000000001,6.0,46
Arda Güler,1253890,Turkey,midfielder,35.494,7.0,42
Oguz Aydin,1092015,Turkey,forward,35.233333333333334,6.0,41
Auston Trusty,688271,USA,defender,45.35000000000001,-5.0,40
Salih Özcan,738064,Turkey,midfielder,30.01,7.0,37
Miles Robinson,825623,USA,defender,41.06,-5.0,36
Zeki Çelik,867225,Turkey,defender,34.849999999999994,0.0,35
Ozan Kabak,845990,Turkey,defender,34.63,0.0,35
Abdülkerim Bardakci,291399,Turkey,defender,32.470000000000006,0.0,32
Weston McKennie,848266,USA,midfielder,26.720666666666663,5.0,32
Eren Elmali,1041660,Turkey,defender,30.5,0.0,30
Orkun Kökcü,935409,Turkey,midfielder,22.545333333333332,5.0,28
Brenden Aaronson,952322,USA,forward,20.366666666666664,6.0,26
Kaan Ayhan,441164,Turkey,defender,15.236666666666666,5.0,20
Mark McKenzie,924485,USA,defender,23.64,-5.0,19
Joseph Scally,959696,USA,defender,18.406666666666663,0.0,18
Ricardo Pepi,1036401,USA,forward,12.35,6.0,18
Alex Freeman,1338696,USA,defender,15.943333333333335,0.0,16
Kenan Yildiz,1412132,Turkey,midfielder,9.476,5.0,14
Giovanni Reyna,1071179,USA,midfielder,7.837333333333333,5.0,13
Christian Pulisic,688295,USA,forward,15.116666666666667,-2.5,13
Timothy Weah,889536,USA,forward,6.433333333333334,6.0,12
Can Uzun,1367924,Turkey,midfielder,6.964,4.5,11
Sergiño Dest,892816,USA,defender,10.896666666666668,0.0,11
Caglar Söyüncü,602261,Turkey,defender,5.41,5.0,10
Alex Zendejas,621882,USA,forward,6.408333333333333,-2.5,4
Malik Tillman,1126058,USA,midfielder,2.187333333333333,0.5,3
Tim Ream,198444,USA,defender,0.0,0.0,0
Samet Akaydin,424380,Turkey,defender,0.0,0.0,0
Antonee Robinson,662428,USA,defender,0.0,0.0,0
Ferdi Kadioglu,774448,Turkey,defender,0.0,0.0,0
Merih Demiral,823078,Turkey,defender,0.0,0.0,0
Mert Müldür,904098,Turkey,defender,0.0,0.0,0
Chris Richards,950829,USA,defender,0.0,0.0,0
Hakan Çalhanoglu,304733,Turkey,midfielder,0.0,0.0,0
Tyler Adams,729769,USA,midfielder,0.0,0.0,0
Yunus Akgün,845991,Turkey,midfielder,0.0,0.0,0
Ismail Yüksek,1183589,Turkey,midfielder,0.0,0.0,0
Max Arfsten,1348329,USA,midfielder,0.0,0.0,0
Irfan Kahveci,316544,Turkey,forward,0.0,0.0,0
Haji Wright,848268,USA,forward,0.0,0.0,0
Folarin Balogun,982677,USA,forward,0.0,0.0,0
Kerem Aktürkoglu,1117570,Turkey,forward,0.0,0.0,0
Deniz Gül,1406300,Turkey,forward,0.0,0.0,0
Turkey Keepers,6595,Turkey,goalkeeper,25.2,6.0,31
USA Keepers,6713,USA,goalkeeper,10.98,0.0,11
