player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Alex Freeman,1338696,USA,defender,57.77000000000001,10.0,68
Chris Richards,950829,USA,defender,41.73,10.0,52
Antonee Robinson,662428,USA,midfielder,38.72266666666666,9.0,48
Tyler Adams,729769,USA,midfielder,35.681999999999995,9.0,45
Weston McKennie,848266,USA,midfielder,33.11266666666666,9.0,42
Tim Ream,198444,USA,defender,28.62,10.0,39
Malik Tillman,1126058,USA,midfielder,28.046,9.0,37
Alessandro Circati,1318686,Australia,defender,35.83,0.0,36
Paul Okon-Engstler,1527363,Australia,midfielder,25.808,1.0,27
Sergiño Dest,892816,USA,defender,15.076666666666664,10.0,25
Cristian Volpato,1308909,Australia,forward,27.075,-2.5,25
Jacob Italiano,889093,Australia,midfielder,21.31,1.0,22
Jordan Bos,1316930,Australia,defender,20.83,0.0,21
Ricardo Pepi,1036401,USA,forward,13.425,6.0,19
Harry Souttar,671518,Australia,defender,18.44,0.0,18
Folarin Balogun,982677,USA,forward,11.641666666666667,6.0,18
Aiden O'Neill,785377,Australia,midfielder,16.520000000000003,1.0,18
Connor Metcalfe,885870,Australia,midfielder,13.09,2.5,16
Jason Geria,418799,Australia,defender,10.260000000000002,5.0,15
Mohamed Touré,1132069,Australia,forward,13.175,0.0,13
Joseph Scally,959696,USA,defender,8.023333333333333,5.0,13
Auston Trusty,688271,USA,defender,7.323333333333333,5.0,12
Sebastian Berhalter,1136096,USA,midfielder,9.117333333333333,2.5,12
Nestory Irankunda,1327214,Australia,midfielder,8.004,2.5,11
Nishan Velupillay,1250885,Australia,forward,10.325,0.0,10
Matthew Leckie,185014,Australia,midfielder,7.751333333333334,1.0,9
Jackson Irvine,369742,Australia,midfielder,5.186,2.5,8
Cameron Burgess,564842,Australia,defender,4.88,0.0,5
Aziz Behich,192735,Australia,defender,0.0,0.0,0
Milos Degenek,416124,Australia,defender,0.0,0.0,0
Miles Robinson,825623,USA,defender,0.0,0.0,0
Mark McKenzie,924485,USA,defender,0.0,0.0,0
Lucas Herrington,1686118,Australia,defender,0.0,0.0,0
Cristian Roldan,621946,USA,midfielder,0.0,0.0,0
Ajdin Hrustic,675762,Australia,midfielder,0.0,0.0,0
Timothy Weah,889536,USA,midfielder,0.0,0.0,0
Brenden Aaronson,952322,USA,midfielder,0.0,0.0,0
Cameron Devlin,970544,Australia,midfielder,0.0,0.0,0
Giovanni Reyna,1071179,USA,midfielder,0.0,0.0,0
Kai Trewin,1101030,Australia,midfielder,0.0,0.0,0
Max Arfsten,1348329,USA,midfielder,0.0,0.0,0
Awer Mabil,421328,Australia,forward,0.0,0.0,0
Alex Zendejas,621882,USA,forward,0.0,0.0,0
Haji Wright,848268,USA,forward,0.0,0.0,0
Tete Yengi,1220549,Australia,forward,0.0,0.0,0
USA Keepers,6713,USA,goalkeeper,10.22,18.0,28
Australia Keepers,6716,Australia,goalkeeper,8.3,6.0,14
