player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Tyler Adams,729769,USA,midfielder,38.838,11.0,50
Christian Pulisic,688295,USA,forward,39.4,9.0,48
Alex Freeman,1338696,USA,defender,42.44,5.0,47
Folarin Balogun,982677,USA,forward,35.84166666666667,9.0,45
Malik Tillman,1126058,USA,midfielder,32.973333333333336,9.0,42
Antonee Robinson,662428,USA,defender,30.28,5.0,35
Tim Ream,198444,USA,defender,29.82,5.0,35
Chris Richards,950829,USA,defender,29.24,5.0,34
Weston McKennie,848266,USA,midfielder,22.849999999999994,11.0,34
Julio Enciso,1073742,Paraguay,forward,29.60833333333333,3.0,33
Miguel Almirón,442277,Paraguay,forward,26.308333333333334,3.0,29
Sergiño Dest,892816,USA,defender,15.33,10.0,25
Juan Cáceres,1133495,Paraguay,defender,29.88333333333333,-5.0,25
Omar Alderete,751998,Paraguay,defender,33.09,-10.0,23
Diego Gómez,1354561,Paraguay,midfielder,22.054666666666662,1.0,23
Mauricio,1059490,Paraguay,midfielder,19.796,2.5,22
Giovanni Reyna,1071179,USA,midfielder,16.238666666666667,4.5,21
Andrés Cubas,529625,Paraguay,midfielder,19.84,-1.0,19
Gustavo Gómez,274392,Paraguay,defender,25.41,-10.0,15
Álex Arce,1320444,Paraguay,forward,13.7,0.5,14
Sebastian Berhalter,1136096,USA,midfielder,10.45,2.5,13
Ricardo Pepi,1036401,USA,forward,11.15,0.5,12
Antonio Sanabria,474448,Paraguay,forward,10.65,0.0,11
Gustavo Velázquez,497352,Paraguay,defender,8.796666666666667,0.0,9
Damián Bobadilla,1252913,Paraguay,midfielder,7.476000000000001,-1.0,6
Timothy Weah,889536,USA,midfielder,3.642,2.5,6
Júnior Alonso,466214,Paraguay,defender,15.23,-10.0,5
Alejandro Romero,600850,Paraguay,midfielder,3.677333333333334,0.5,4
Ramón Sosa,1132960,Paraguay,forward,5.866666666666666,-2.5,3
Fabián Balbuena,307438,Paraguay,defender,0.0,0.0,0
Auston Trusty,688271,USA,defender,0.0,0.0,0
Miles Robinson,825623,USA,defender,0.0,0.0,0
José Canale,860890,Paraguay,defender,0.0,0.0,0
Mark McKenzie,924485,USA,defender,0.0,0.0,0
Joseph Scally,959696,USA,defender,0.0,0.0,0
Alexandro Maidana,1736527,Paraguay,defender,0.0,0.0,0
Cristian Roldan,621946,USA,midfielder,0.0,0.0,0
Brenden Aaronson,952322,USA,midfielder,0.0,0.0,0
Braian Ojeda,1075065,Paraguay,midfielder,0.0,0.0,0
Matías Galarza,1241957,Paraguay,midfielder,0.0,0.0,0
Max Arfsten,1348329,USA,midfielder,0.0,0.0,0
Gabriel Ávalos,425711,Paraguay,forward,0.0,0.0,0
Alex Zendejas,621882,USA,forward,0.0,0.0,0
Haji Wright,848268,USA,forward,0.0,0.0,0
Isidro Pitta,1033279,Paraguay,forward,0.0,0.0,0
Gustavo Caballero,1347933,Paraguay,forward,0.0,0.0,0
USA Keepers,6713,USA,goalkeeper,6.32,12.0,18
Paraguay Keepers,6724,Paraguay,goalkeeper,16.1,-6.0,10
