player_id,player_name,team_id,team_name,usual_playing_position_id,role,stat_points_weighted,stat_points_dispossessed_formula,stat_points_minutes,stat_points_total,minutes_played_derived,goals_for_while_on_field,goals_against_while_on_field,endowed_points,total_points
534670,Martin Ødegaard,9825,Arsenal,2,midfielder,34.684,3.0,2.533333333333333,40.21733333333333,76.0,3,0,11.0,51.21733333333333
776151,Ben White,9825,Arsenal,1,defender,34.21,3.0,3.0,40.21,90.0,3,0,10.0,50.21
961995,Bukayo Saka,9825,Arsenal,3,forward,30.56,5.0,2.2666666666666666,37.82666666666667,68.0,3,0,9.0,46.82666666666667
1157237,Christos Tzolis,9825,Arsenal,3,forward,26.840000000000003,5.0,2.533333333333333,34.373333333333335,76.0,3,0,9.0,43.373333333333335
749736,Kai Havertz,9825,Arsenal,3,forward,25.299999999999997,5.0,3.0,33.3,90.0,3,0,9.0,42.3
1105912,Riccardo Calafiori,9825,Arsenal,1,defender,20.52,3.0,2.7,26.22,81.0,3,0,10.0,36.22
654096,Declan Rice,9825,Arsenal,2,midfielder,18.412,3.0,2.2666666666666666,23.678666666666665,68.0,3,0,11.0,34.678666666666665
1406436,Myles Lewis-Skelly,9825,Arsenal,1,defender,17.265,3.0,3.0,23.265,90.0,3,0,10.0,33.265
1298907,Cristhian Mosquera,9825,Arsenal,1,defender,16.310000000000002,3.0,3.0,22.310000000000002,90.0,3,0,10.0,32.31
1161885,Bobby Thomas,8669,Coventry City,1,defender,24.795,3.0,3.0,30.795,90.0,0,3,-5.0,25.795
1084981,Noni Madueke,9825,Arsenal,3,forward,18.169999999999998,5.0,0.7333333333333333,23.903333333333332,22.0,0,0,0.0,23.903333333333332
795179,Gabriel,9825,Arsenal,1,defender,8.43,1.8,3.0,13.23,90.0,3,0,10.0,23.23
776184,Brandon Thomas-Asante,8669,Coventry City,3,forward,14.540000000000001,5.0,2.3333333333333335,21.87333333333333,70.0,0,3,0.0,21.87333333333333
478357,Matt Grimes,8669,Coventry City,2,midfielder,16.240000000000002,3.0,3.0,22.240000000000002,90.0,0,3,-1.0,21.240000000000002
982284,Ellis Simms,8669,Coventry City,3,forward,10.48,5.0,2.3333333333333335,17.813333333333333,70.0,0,3,0.0,17.813333333333333
1257648,Aurèle Amenda,8669,Coventry City,1,defender,15.68,3.0,3.0,21.68,90.0,0,3,-5.0,16.68
856685,Frank Onyeka,8669,Coventry City,2,midfielder,10.282,3.0,3.0,16.282,90.0,0,3,-1.0,15.282
1283034,Loum Tchaouna,8669,Coventry City,3,forward,8.18,4.1,2.7333333333333334,15.013333333333332,82.0,0,3,0.0,15.013333333333332
1030830,Jack Rudoni,8669,Coventry City,2,midfielder,7.5680000000000005,3.0,0.6666666666666666,11.234666666666667,20.0,0,0,2.5,13.734666666666667
845985,Victor Torp,8669,Coventry City,2,midfielder,8.134,1.9,0.9333333333333333,10.967333333333334,28.0,0,0,2.5,13.467333333333334
1031325,Martín Zubimendi,9825,Arsenal,2,midfielder,5.892,3.0,0.7333333333333333,9.625333333333332,22.0,0,0,2.5,12.125333333333332
574645,Mikel Merino,9825,Arsenal,2,midfielder,6.072,3.0,0.4666666666666667,9.538666666666666,14.0,0,0,2.5,12.038666666666666
759814,Jay Dasilva,8669,Coventry City,1,defender,9.549999999999999,3.0,3.0,15.549999999999999,90.0,0,3,-5.0,10.549999999999999
1137667,Piero Hincapié,9825,Arsenal,1,defender,-0.27499999999999997,3.0,0.3,3.025,9.0,0,0,5.0,8.025
775355,Gustavo Hamer,8669,Coventry City,3,forward,1.13,5.0,0.26666666666666666,6.3966666666666665,8.0,0,0,0.0,6.3966666666666665
818975,Eberechi Eze,9825,Arsenal,2,midfielder,0.11199999999999999,3.0,0.4666666666666667,3.578666666666667,14.0,0,0,2.5,6.078666666666667
643717,Taiwo Awoniyi,8669,Coventry City,3,forward,0.30000000000000004,5.0,0.6666666666666666,5.966666666666667,20.0,0,0,0.0,5.966666666666667
1074750,Milan van Ewijk,8669,Coventry City,1,defender,5.090000000000002,1.8,3.0,9.89,90.0,0,3,-5.0,4.890000000000001
1615927,Caleb Yirenkyi,8669,Coventry City,2,midfielder,0.6900000000000002,3.0,2.0666666666666664,5.756666666666667,62.0,0,3,-1.0,4.756666666666667
863822,Joel Latibeaudiere,8669,Coventry City,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
914399,Liam Kitching,8669,Coventry City,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
962000,Josh Eccles,8669,Coventry City,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1254234,Ethan Nwaneri,9825,Arsenal,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1635773,Max Dowman,9825,Arsenal,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
664500,Viktor Gyökeres,9825,Arsenal,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1025603,Tatsuhiro Sakamoto,8669,Coventry City,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
