player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Maxim De Cuyper,1134871,Brighton and Hove Albion,midfielder,44.154,13.0,0.0,57
Jack Hinshelwood,1251334,Brighton and Hove Albion,midfielder,43.27933333333333,13.0,0.0,56
Diego Gómez,1354561,Brighton and Hove Albion,midfielder,37.080666666666666,13.0,0.0,50
Mats Wieffer,970243,Brighton and Hove Albion,defender,39.775,10.0,0.0,50
Pascal Groß,167008,Brighton and Hove Albion,midfielder,35.764,13.0,0.0,49
Luka Vuskovic,1413996,Brighton and Hove Albion,defender,28.33,10.0,0.0,38
Lewis Dunk,201690,Brighton and Hove Albion,defender,27.665000000000003,10.0,0.0,38
Olivier Boscagli,613715,Brighton and Hove Albion,defender,27.205,10.0,0.0,37
Georginio Rutter,956925,Brighton and Hove Albion,forward,22.71,12.0,0.0,35
Yasin Ayari,1168311,Brighton and Hove Albion,midfielder,11.275333333333332,13.0,0.0,24
Emiliano Buendía,610184,Aston Villa,forward,23.186666666666667,0.0,0.0,23
Costinha,1079456,Brighton and Hove Albion,defender,15.511666666666668,5.0,0.0,21
George Hemmings,1607333,Aston Villa,midfielder,17.902,-3.0,0.0,15
Matteo Ruggeri,1051097,Aston Villa,defender,9.266666666666667,5.0,0.0,14
Ross Barkley,215384,Aston Villa,midfielder,15.706666666666669,-3.0,0.0,13
Boubacar Kamara,816325,Aston Villa,midfielder,14.966,-3.0,0.0,12
Tyrone Mings,419664,Aston Villa,defender,6.533333333333333,5.0,0.0,12
John McGinn,356406,Aston Villa,midfielder,14.26533333333333,-3.0,0.0,11
Matty Cash,729731,Aston Villa,defender,20.630000000000003,-10.0,0.0,11
Lamare Bogarde,1190033,Aston Villa,midfielder,6.457333333333334,2.5,0.0,9
Alysson Edward,1656860,Aston Villa,forward,8.866666666666667,0.0,0.0,9
Ibrahim Osman,1215410,Brighton and Hove Albion,forward,8.67,0.0,0.0,9
Charalampos Kostoulas,1561249,Brighton and Hove Albion,forward,8.326666666666666,0.0,0.0,8
João Gomes,1174672,Aston Villa,midfielder,11.301333333333334,-3.0,0.0,8
Malick Junior Yalcouyé,1602352,Brighton and Hove Albion,midfielder,5.113333333333334,2.5,0.0,8
Ian Maatsen,966026,Aston Villa,defender,16.803333333333335,-10.0,0.0,7
Zadok Yohanna,1782648,Brighton and Hove Albion,forward,6.65,0.0,0.0,7
Alejandro Garnacho,1203665,Aston Villa,forward,4.633333333333334,0.0,0.0,5
Pau Torres,792645,Aston Villa,defender,7.546666666666667,-10.0,0.0,0
Victor Nilsson Lindelöf,258269,Aston Villa,defender,3.155,-10.0,0.0,0
Pascal Struijk,796974,Brighton and Hove Albion,defender,0.0,0.0,0.0,0
Michael Svoboda,951921,Brighton and Hove Albion,defender,0.0,0.0,0.0,0
Triston Rowe,1442496,Aston Villa,midfielder,0.0,0.0,0.0,0
Luka Lynch,1553189,Aston Villa,midfielder,0.0,0.0,0.0,0
Promise David,1252132,Brighton and Hove Albion,forward,0.0,0.0,0.0,0
Bradley Burrowes,1639163,Aston Villa,forward,0.0,0.0,0.0,0
Brighton and Hove Albion Keepers,10204,Brighton and Hove Albion,goalkeeper,9.64,18.0,0.0,28
Aston Villa Keepers,10252,Aston Villa,goalkeeper,22.08,-6.0,0.0,16
