player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Iliman Ndiaye,965764,Everton,midfielder,36.596,9.0,0.0,46
Kiernan Dewsbury-Hall,886016,Everton,midfielder,34.35066666666667,9.0,0.0,43
James Tarkowski,243138,Everton,defender,28.785,10.0,0.0,39
Tyrique George,1424875,Everton,forward,32.53999999999999,6.0,0.0,39
Jarrad Branthwaite,1030829,Everton,defender,28.114999999999995,10.0,0.0,38
Chris Richards,950829,Crystal Palace,defender,36.77,0.0,0.0,37
Merlin Röhl,1210384,Everton,forward,30.37,6.0,0.0,36
Harrison Armstrong,1559637,Everton,midfielder,26.018,9.0,0.0,35
Daichi Kamada,621515,Crystal Palace,midfielder,33.904,1.0,0.0,35
Anan Khalaili,1477878,Crystal Palace,midfielder,31.948666666666664,2.5,0.0,34
Thierno Barry,1398392,Everton,forward,28.21333333333333,6.0,0.0,34
Adam Wharton,1296650,Crystal Palace,midfielder,29.98,1.0,0.0,31
Jaydee Canvot,1664722,Crystal Palace,defender,29.065000000000005,0.0,0.0,29
Vitaliy Mykolenko,874025,Everton,defender,17.485,10.0,0.0,27
Hayden Hackney,982394,Everton,midfielder,16.989333333333335,9.0,0.0,26
Chadi Riad,1187506,Crystal Palace,defender,24.75,0.0,0.0,25
Edward Nketiah,860920,Crystal Palace,forward,24.353333333333328,0.0,0.0,24
Jean-Philippe Mateta,706297,Crystal Palace,forward,20.29,0.0,0.0,20
Tyrick Mitchell,1120224,Crystal Palace,midfielder,19.194000000000003,1.0,0.0,20
Daniel Muñoz,859282,Crystal Palace,midfielder,13.273333333333335,1.0,0.0,14
Dwight McNeil,939542,Crystal Palace,forward,14.03,0.0,0.0,14
Takehiro Tomiyasu,664444,Crystal Palace,defender,7.399999999999999,5.0,0.0,12
Yéremi Pino,1047676,Crystal Palace,midfielder,8.750666666666666,2.5,0.0,11
James Garner,950474,Everton,midfielder,8.374666666666668,2.5,0.0,11
Evann Guessand,1087966,Crystal Palace,forward,10.35,0.0,0.0,10
Brennan Johnson,1076756,Everton,forward,9.6,0.0,0.0,10
Jørgen Strand Larsen,821100,Crystal Palace,forward,8.38,0.0,0.0,8
Beto,1079485,Everton,forward,6.806666666666666,0.0,0.0,7
Michael Keane,290410,Everton,defender,0.0,0.0,0.0,0
Jake O'Brien,1098607,Everton,defender,0.0,0.0,0.0,0
Nathan Patterson,1112684,Everton,defender,0.0,0.0,0.0,0
Will Hughes,295067,Crystal Palace,midfielder,0.0,0.0,0.0,0
Borna Sosa,622091,Crystal Palace,midfielder,0.0,0.0,0.0,0
Óscar Mingueza,952095,Crystal Palace,midfielder,0.0,0.0,0.0,0
Charly Alcaraz,1128965,Everton,midfielder,0.0,0.0,0.0,0
Tyler Dibling,1292833,Everton,forward,0.0,0.0,0.0,0
Everton Keepers,8668,Everton,goalkeeper,19.36,18.0,0.0,37
Crystal Palace Keepers,9826,Crystal Palace,goalkeeper,22.94,6.0,0.0,29
