player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Hull City Keepers,8667,Hull City,goalkeeper,27.92,18.0,0.0,46
Semi Ajayi,410836,Hull City,defender,35.89833333333333,10.0,0.0,46
Oli McBurnie,509151,Hull City,forward,38.06,6.0,0.0,44
John Egan,295062,Hull City,defender,31.785,10.0,0.0,42
Nobel Mendy,1428427,Hull City,defender,32.24333333333333,10.0,0.0,42
Harry Maguire,255610,Manchester United,defender,40.64,0.0,0.0,41
Luke Shaw,362694,Manchester United,defender,34.84,0.0,0.0,35
Ryan Giles,933635,Hull City,defender,24.56833333333333,10.0,0.0,35
Bruno Fernandes,422685,Manchester United,midfielder,33.148,1.0,0.0,34
Matt Crooks,280507,Hull City,midfielder,23.12,9.0,0.0,32
Mohamed Belloumi,1231090,Hull City,forward,25.83,6.0,0.0,32
Regan Slater,807930,Hull City,midfielder,21.308,9.0,0.0,30
Elliot Stroud,1272349,Hull City,midfielder,18.518666666666668,9.0,0.0,28
Noussair Mazraoui,775539,Manchester United,defender,28.121666666666663,0.0,0.0,28
Bryan Mbeumo,923312,Manchester United,forward,24.630000000000003,0.0,0.0,25
Lewie Coyle,709148,Hull City,defender,14.598333333333334,10.0,0.0,25
Marcus Rashford,696365,Manchester United,forward,25.17,0.0,0.0,25
Andrey Santos,1372921,Manchester United,midfielder,20.69333333333333,1.0,0.0,22
Diogo Dalot,751550,Manchester United,defender,14.898333333333332,5.0,0.0,20
Manchester United Keepers,10260,Manchester United,goalkeeper,13.22,6.0,0.0,19
Lucas Herrington,1686118,Hull City,defender,13.021666666666668,5.0,0.0,18
Matheus Cunha,863098,Manchester United,forward,17.166666666666668,0.0,0.0,17
Cody Drameh,962046,Hull City,defender,9.566666666666665,5.0,0.0,15
Ayden Heaven,1559639,Manchester United,defender,14.465,0.0,0.0,14
Kobbie Mainoo,1292810,Manchester United,midfielder,9.838666666666663,2.5,0.0,12
Youri Tielemans,465960,Manchester United,midfielder,11.483333333333334,1.0,0.0,12
Paddy McNair,575780,Hull City,defender,5.701666666666666,5.0,0.0,11
Matt Targett,538112,Hull City,defender,4.091666666666667,5.0,0.0,9
Patrick Dorgu,1526560,Manchester United,forward,8.31,0.0,0.0,8
Liam Millar,932308,Hull City,forward,6.9833333333333325,0.0,0.0,7
Shea Lacey,1436260,Manchester United,forward,6.793333333333333,0.0,0.0,7
Benjamin Sesko,1073977,Manchester United,forward,5.156666666666666,0.0,0.0,5
Jens Hjertø-Dahl,1377949,Hull City,midfielder,0.0,0.0,0.0,0
Joshua Zirkzee,950830,Manchester United,forward,0.0,0.0,0.0,0
Kieran Dowell,605262,Hull City,midfielder,0.0,0.0,0.0,0
Leny Yoro,1358581,Manchester United,defender,0.0,0.0,0.0,0
Lisandro Martínez,847983,Manchester United,defender,0.0,0.0,0.0,0
Lucas Gourna-Douath,1137106,Hull City,midfielder,0.0,0.0,0.0,0
