player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Tarik Muharemovic,1250485,Leeds United,defender,44.09499999999999,5.0,0.0,49
Vitaly Janelt,688273,Brentford,midfielder,37.382,5.0,0.0,42
Kristoffer Ajer,552718,Brentford,defender,35.385,5.0,0.0,40
Nathan Collins,961306,Brentford,defender,35.12,5.0,0.0,40
Anton Stach,881735,Leeds United,midfielder,34.898,5.0,0.0,40
Mamadou Sangaré,1185211,Brentford,midfielder,34.014,5.0,0.0,39
Keane Lewis-Potter,1010426,Brentford,defender,33.65833333333333,5.0,0.0,39
Dominic Calvert-Lewin,612150,Leeds United,forward,34.480000000000004,3.0,0.0,37
Mikkel Damsgaard,888912,Brentford,midfielder,28.041999999999994,7.0,0.0,35
Ethan Ampadu,780432,Leeds United,midfielder,29.6,5.0,0.0,35
Dango Ouattara,1250253,Brentford,forward,34.24666666666667,0.0,0.0,34
Jayden Bogle,789646,Leeds United,midfielder,29.542666666666666,3.0,0.0,33
James Justin,710158,Leeds United,defender,27.360000000000003,5.0,0.0,32
Kevin Schade,1083796,Brentford,midfielder,26.831333333333333,5.0,0.0,32
Ao Tanaka,935728,Leeds United,midfielder,25.424000000000003,4.5,0.0,30
Harry Wilson,494417,Leeds United,forward,23.660000000000004,3.0,0.0,27
Michael Kayode,1429912,Brentford,defender,20.75333333333333,5.0,0.0,26
Lukas Nmecha,861197,Leeds United,forward,22.05,3.0,0.0,25
Igor Thiago,1302005,Brentford,forward,20.04,3.0,0.0,23
Nico Elvedi,517346,Leeds United,defender,15.276666666666666,5.0,0.0,20
Jaidon Anthony,1171140,Brentford,forward,16.973333333333333,3.0,0.0,20
Jaka Bijol,861805,Leeds United,defender,14.665,5.0,0.0,20
Noah Okafor,915797,Leeds United,forward,17.73,0.0,0.0,18
Joe Rodon,717174,Leeds United,defender,8.388333333333334,5.0,0.0,13
Aaron Hickey,1002039,Brentford,defender,8.301666666666666,5.0,0.0,13
Daniel James,717176,Leeds United,forward,7.423333333333333,3.0,0.0,10
Brenden Aaronson,952322,Leeds United,midfielder,5.338,3.0,0.0,8
Rico Henry,562892,Brentford,defender,3.146666666666667,5.0,0.0,8
Yehor Yarmoliuk,1157236,Brentford,midfielder,6.621999999999999,0.5,0.0,7
Callum Wilson,184321,Brentford,forward,4.186666666666666,0.0,0.0,4
Malick Diouf,1451265,Brentford,defender,0.0,0.0,0.0,0
Jannik Schuster,1572340,Brentford,defender,0.0,0.0,0.0,0
Gabriel Gudmundsson,744494,Leeds United,midfielder,0.0,0.0,0.0,0
Sean Longstaff,820024,Leeds United,midfielder,0.0,0.0,0.0,0
Fábio Carvalho,963965,Brentford,forward,0.0,0.0,0.0,0
Wilfried Gnonto,1107286,Leeds United,forward,0.0,0.0,0.0,0
Leeds United Keepers,8463,Leeds United,goalkeeper,25.42,12.0,0.0,37
Brentford Keepers,9937,Brentford,goalkeeper,16.6,12.0,0.0,29
