player_id,player_name,team_id,team_name,usual_playing_position_id,role,stat_points_weighted,stat_points_dispossessed_formula,stat_points_minutes,stat_points_total,minutes_played_derived,goals_for_while_on_field,goals_against_while_on_field,endowed_points,total_points
1473534,Jérémy Jacquet,8650,Liverpool,1,defender,42.145,3.0,2.5666666666666664,47.71166666666667,77.0,1,2,0.0,47.71166666666667
1078788,Neco Williams,10203,Nottingham Forest,1,defender,41.265,3.0,3.0,47.265,90.0,2,2,0.0,47.265
789502,Morgan Gibbs-White,10203,Nottingham Forest,2,midfielder,32.314,1.9,3.0,37.214,90.0,2,2,5.0,42.214
846005,Dominik Szoboszlai,8650,Liverpool,2,midfielder,29.456,3.0,3.0,35.456,90.0,2,2,5.0,40.456
1082102,Igor Jesus,10203,Nottingham Forest,3,forward,26.15,4.1,2.966666666666667,33.21666666666667,90.0,2,2,6.0,39.21666666666667
1553105,Víctor Muñoz,8650,Liverpool,2,midfielder,27.03,1.9,3.0,31.93,90.0,2,2,5.0,36.93
209405,Virgil van Dijk,8650,Liverpool,1,defender,30.130000000000003,3.0,3.0,36.13,90.0,2,2,0.0,36.13
1152455,Florian Wirtz,8650,Liverpool,2,midfielder,25.244,0.7999999999999998,3.0,29.044,90.0,2,2,5.0,34.044
620027,Xaver Schlager,10203,Nottingham Forest,2,midfielder,21.892000000000003,3.0,3.0,27.892000000000003,90.0,2,2,5.0,32.892
1022649,Dan Ndoye,10203,Nottingham Forest,2,midfielder,24.366,0.7999999999999998,2.2,27.366,66.0,1,1,5.0,32.366
690107,Alexander Isak,8650,Liverpool,3,forward,19.189999999999998,4.1,3.0,26.29,90.0,2,2,6.0,32.29
766611,Nikola Milenkovic,10203,Nottingham Forest,1,defender,24.770000000000003,3.0,3.0,30.770000000000003,90.0,2,2,0.0,30.770000000000003
806552,Cody Gakpo,8650,Liverpool,3,forward,20.77,3.2,2.3666666666666667,26.336666666666666,71.0,1,2,3.0,29.336666666666666
831489,Alexis Mac Allister,8650,Liverpool,2,midfielder,17.104,3.0,2.5666666666666664,22.670666666666666,77.0,1,2,3.0,25.670666666666666
682548,Ola Aina,10203,Nottingham Forest,1,defender,19.56,1.8,2.8666666666666667,24.226666666666667,86.0,2,2,0.0,24.226666666666667
1195281,Milos Kerkez,8650,Liverpool,1,defender,17.299999999999997,3.0,2.3666666666666667,22.666666666666664,71.0,1,2,0.0,22.666666666666664
1107648,James McAtee,10203,Nottingham Forest,2,midfielder,11.838000000000001,1.9,2.966666666666667,16.704666666666668,90.0,2,2,5.0,21.704666666666668
966018,Jeremie Frimpong,8650,Liverpool,1,defender,14.57,3.0,2.3666666666666667,19.936666666666667,71.0,1,2,0.0,19.936666666666667
1391209,Jair Cunha,10203,Nottingham Forest,1,defender,13.52,3.0,3.0,19.52,90.0,2,2,0.0,19.52
1458711,Murillo,10203,Nottingham Forest,1,defender,10.799999999999999,3.0,3.0,16.799999999999997,90.0,2,2,0.0,16.799999999999997
1436258,Trey Nyoni,8650,Liverpool,2,midfielder,8.596,3.0,0.43333333333333335,12.029333333333334,13.0,1,0,4.5,16.529333333333334
1113903,Liam Delap,10203,Nottingham Forest,3,forward,8.59,3.2,0.8,12.59,24.0,1,1,3.0,15.59
1597668,Rio Ngumoha,8650,Liverpool,3,forward,5.93,4.1,0.6333333333333333,10.663333333333332,19.0,1,0,3.0,13.663333333333332
956683,Ryan Gravenberch,8650,Liverpool,2,midfielder,6.920000000000001,0.7999999999999998,0.6333333333333333,8.353333333333333,19.0,1,0,4.5,12.853333333333333
921253,Ronald Araujo,8650,Liverpool,1,defender,4.42,3.0,0.43333333333333335,7.8533333333333335,13.0,1,0,5.0,12.853333333333333
671529,Konstantinos Tsimikas,8650,Liverpool,2,midfielder,2.606,3.0,0.6333333333333333,6.239333333333333,19.0,1,0,4.5,10.739333333333333
1155130,Luca Netz,10203,Nottingham Forest,2,midfielder,1.99,3.0,0.13333333333333333,5.123333333333334,4.0,0,0,2.5,7.623333333333334
1296769,Zach Abbott,10203,Nottingham Forest,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1425182,Ousmane Diomande,10203,Nottingham Forest,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
202643,Wataru Endo,8650,Liverpool,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
775614,Ryan Yates,10203,Nottingham Forest,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
827315,Nicolás Dominguez,10203,Nottingham Forest,2,midfielder,0.10199999999999998,1.9,0.03333333333333333,0.0,0.0,0,0,0.0,0.0
1231075,James McConnell,8650,Liverpool,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
169719,Chris Wood,10203,Nottingham Forest,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
846383,Callum Hudson-Odoi,10203,Nottingham Forest,3,forward,-1.24,4.1,0.03333333333333333,0.0,0.0,0,0,0.0,0.0
1364042,Lewis Koumas,8650,Liverpool,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
