player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Lewis Hall,1197655,Newcastle United,defender,48.01,10.0,0.0,58
Amar Dedic,958010,Newcastle United,defender,42.785,10.0,0.0,53
Jan Paul van Hecke,974618,Tottenham Hotspur,defender,38.940000000000005,0.0,0.0,39
Anthony Elanga,1050166,Newcastle United,midfielder,28.769333333333336,9.0,0.0,38
Mateus Fernandes,1356312,Tottenham Hotspur,midfielder,36.138000000000005,1.0,0.0,37
Omar Marmoush,839204,Tottenham Hotspur,forward,35.22,0.0,0.0,35
Yoane Wissa,666857,Newcastle United,forward,28.82333333333333,6.0,0.0,35
Lewis Miley,1296763,Newcastle United,midfielder,23.416,9.0,0.0,32
Sven Botman,956682,Newcastle United,defender,20.465,10.0,0.0,30
Micky van de Ven,1097466,Tottenham Hotspur,defender,29.425,0.0,0.0,29
Harvey Barnes,760359,Newcastle United,forward,22.53666666666667,6.0,0.0,29
Andrew Robertson,357880,Tottenham Hotspur,defender,19.736666666666665,5.0,0.0,25
Nick Woltemade,1106563,Newcastle United,forward,20.69333333333333,3.0,0.0,24
Malick Thiaw,1137407,Newcastle United,defender,13.3,10.0,0.0,23
Nico González,1280132,Newcastle United,midfielder,16.012666666666668,7.0,0.0,23
Rodrigo Bentancur,620618,Tottenham Hotspur,midfielder,20.57,1.0,0.0,22
Pedro Porro,941573,Tottenham Hotspur,defender,19.295,0.0,0.0,19
Sandro Tonali,867414,Tottenham Hotspur,midfielder,16.178,1.0,0.0,17
Sean Steur,1643770,Newcastle United,midfielder,9.019333333333334,4.5,0.0,14
Joseph Willock,860975,Newcastle United,midfielder,6.018666666666666,7.0,0.0,13
Mathys Tel,1288111,Tottenham Hotspur,forward,11.67666666666667,0.0,0.0,12
Archie Gray,1323305,Tottenham Hotspur,midfielder,8.634666666666668,3.0,0.0,12
Mohammed Kudus,891743,Tottenham Hotspur,forward,9.923333333333332,0.0,0.0,10
Destiny Udogie,1052898,Tottenham Hotspur,defender,9.793333333333331,0.0,0.0,10
Dominic Solanke,591734,Tottenham Hotspur,forward,8.83,0.0,0.0,9
Jacob Murphy,521148,Newcastle United,forward,8.556666666666667,0.0,0.0,9
Jacob Ramsey,1021929,Newcastle United,midfielder,4.828666666666666,2.5,0.0,7
Mikey Moore,1407250,Tottenham Hotspur,forward,4.213333333333333,0.0,0.0,4
Fabian Schär,189982,Newcastle United,defender,0.0,0.0,0.0,0
Ben Davies,276121,Tottenham Hotspur,defender,0.0,0.0,0.0,0
Marcos Senesi,785411,Tottenham Hotspur,defender,0.0,0.0,0.0,0
Leo Shahar,1414761,Newcastle United,defender,0.0,0.0,0.0,0
Conor Gallagher,966027,Tottenham Hotspur,midfielder,0.0,0.0,0.0,0
Lucas Bergvall,1386775,Tottenham Hotspur,midfielder,0.0,0.0,0.0,0
Aladji Bamba,1695681,Newcastle United,midfielder,0.0,0.0,0.0,0
Bazoumana Touré,1624586,Newcastle United,forward,0.0,0.0,0.0,0
Newcastle United Keepers,10261,Newcastle United,goalkeeper,22.660000000000004,18.0,0.0,41
Tottenham Hotspur Keepers,8586,Tottenham Hotspur,goalkeeper,7.92,6.0,0.0,14
