player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Adrien Truffert,1177358,Bournemouth,defender,56.74999999999999,0.0,0.0,57
Vitaly Janelt,688273,Brentford,midfielder,46.392,5.0,0.0,51
Marcus Tavernier,789630,Bournemouth,midfielder,38.99066666666667,5.0,0.0,44
Alex Scott,1233655,Bournemouth,midfielder,37.69,5.0,0.0,43
Kevin Schade,1083796,Brentford,midfielder,34.721999999999994,5.0,0.0,40
Evanilson,1098096,Bournemouth,forward,33.586666666666666,6.0,0.0,40
Mamadou Sangaré,1185211,Brentford,midfielder,34.562000000000005,5.0,0.0,40
James Hill,959407,Bournemouth,defender,34.895,0.0,0.0,35
António Silva,1292092,Bournemouth,defender,32.32000000000001,0.0,0.0,32
Justin Kluivert,794253,Bournemouth,midfielder,25.202,5.0,0.0,30
Tyler Adams,729769,Bournemouth,midfielder,25.15333333333333,5.0,0.0,30
Jannik Schuster,1572340,Brentford,defender,27.545,0.0,0.0,28
Aaron Hickey,1002039,Brentford,defender,26.921666666666663,0.0,0.0,27
Kristoffer Ajer,552718,Brentford,defender,26.49,0.0,0.0,26
Adam Smith,160447,Bournemouth,defender,26.27,0.0,0.0,26
Yehor Yarmoliuk,1157236,Brentford,midfielder,20.484,5.0,0.0,25
Rayan,1478295,Bournemouth,midfielder,19.33933333333333,5.0,0.0,24
Jaidon Anthony,1171140,Brentford,midfielder,18.526000000000003,5.0,0.0,24
Igor Thiago,1302005,Brentford,forward,14.47,6.0,0.0,20
Michael Kayode,1429912,Brentford,defender,10.568333333333332,5.0,0.0,16
Ryan Christie,439369,Bournemouth,midfielder,12.736,2.5,0.0,15
Malick Diouf,1451265,Brentford,defender,7.755,5.0,0.0,13
Ben Gannon-Doak,1324871,Bournemouth,forward,12.116666666666667,0.0,0.0,12
Dango Ouattara,1250253,Brentford,forward,10.759999999999998,0.0,0.0,11
Keane Lewis-Potter,1010426,Brentford,defender,10.435,0.0,0.0,10
Lewis Cook,562724,Bournemouth,midfielder,7.464666666666666,2.5,0.0,10
Mikkel Damsgaard,888912,Brentford,midfielder,7.273999999999999,2.5,0.0,10
David Brooks,674014,Bournemouth,forward,5.793333333333334,0.0,0.0,6
Rico Henry,562892,Brentford,defender,0.0,0.0,0.0,0
Bafodé Diakité,979752,Bournemouth,defender,0.0,0.0,0.0,0
Julio Soler,1358655,Bournemouth,defender,0.0,0.0,0.0,0
Fábio Carvalho,963965,Brentford,midfielder,0.0,0.0,0.0,0
Alex Tóth,1449690,Bournemouth,midfielder,0.0,0.0,0.0,0
Callum Wilson,184321,Brentford,forward,0.0,0.0,0.0,0
Álvaro Rodriguez,1327406,Bournemouth,forward,0.0,0.0,0.0,0
Gustavo Nunes,1516030,Brentford,forward,0.0,0.0,0.0,0
Brentford Keepers,9937,Brentford,goalkeeper,30.54,6.0,0.0,37
Bournemouth Keepers,8678,Bournemouth,goalkeeper,6.66,6.0,0.0,13
