player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
João Pedro,1021382,Chelsea,forward,45.190000000000005,6.0,0.0,51
Mohamed Belloumi,1231090,Hull City,forward,37.35,6.0,0.0,43
Regan Slater,807930,Hull City,midfielder,35.326,5.0,0.0,40
Oli McBurnie,509151,Hull City,forward,34.01333333333333,6.0,0.0,40
Wesley Fofana,917802,Chelsea,defender,37.806666666666665,0.0,0.0,38
Reece James,807729,Chelsea,midfielder,31.772,5.0,0.0,37
Ryan Giles,933635,Hull City,midfielder,31.682,5.0,0.0,37
Morgan Rogers,883080,Chelsea,midfielder,29.49,5.0,0.0,34
Cole Palmer,1096353,Chelsea,midfielder,26.016,5.0,0.0,31
Pedro Neto,843040,Chelsea,midfielder,25.984666666666666,5.0,0.0,31
John Egan,295062,Hull City,defender,29.935,0.0,0.0,30
Nobel Mendy,1428427,Hull City,defender,22.206666666666667,5.0,0.0,27
Levi Colwill,1096400,Chelsea,defender,26.19,0.0,0.0,26
Roméo Lavia,1190867,Chelsea,midfielder,18.826,5.0,0.0,24
Malo Gusto,1197250,Chelsea,defender,22.55,0.0,0.0,23
Matt Crooks,280507,Hull City,midfielder,16.644,5.0,0.0,22
Semi Ajayi,410836,Hull City,defender,18.655,0.0,0.0,19
Elliot Stroud,1272349,Hull City,forward,12.37,6.0,0.0,18
Mohamed-Ali Cho,1180718,Hull City,forward,17.34,0.0,0.0,17
Lewie Coyle,709148,Hull City,midfielder,10.961333333333332,5.0,0.0,16
Maxence Lacroix,950485,Chelsea,defender,10.958333333333332,5.0,0.0,16
Tim Iroegbunam,1203512,Hull City,midfielder,11.812,2.5,0.0,14
Pep Chavarría,988805,Chelsea,defender,7.420000000000001,5.0,0.0,12
Sorba Thomas,812982,Hull City,forward,11.97,0.0,0.0,12
Estêvão,1580774,Chelsea,forward,11.083333333333334,0.0,0.0,11
Valentín Barco,1272440,Chelsea,midfielder,7.956,2.5,0.0,10
Danny Welbeck,113836,Chelsea,forward,9.840000000000002,0.0,0.0,10
Jorrel Hato,1413846,Chelsea,defender,9.21,0.0,0.0,9
Brooke Norton-Cuffy,1214915,Hull City,midfielder,5.354666666666667,2.5,0.0,8
Lucas Herrington,1686118,Hull City,defender,6.958333333333334,0.0,0.0,7
Robinio Vaz,1705134,Hull City,forward,3.2266666666666666,0.0,0.0,3
Matt Targett,538112,Hull City,defender,0.0,0.0,0.0,0
Josh Acheampong,1400216,Chelsea,defender,0.0,0.0,0.0,0
Lucas Gourna-Douath,1137106,Hull City,midfielder,0.0,0.0,0.0,0
Jamie Gittens,1113692,Chelsea,forward,0.0,0.0,0.0,0
Geovany Quenda,1530314,Chelsea,forward,0.0,0.0,0.0,0
Hull City Keepers,8667,Hull City,goalkeeper,26.62,6.0,0.0,33
Chelsea Keepers,8455,Chelsea,goalkeeper,20.040000000000003,6.0,0.0,26
