player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Quinten Timber,970563,Crystal Palace,midfielder,41.76,3.0,0.0,45
Emersonn,1320949,Ipswich Town,forward,35.39,6.0,0.0,41
Dara O'Shea,789578,Ipswich Town,defender,40.665,0.0,0.0,41
Jørgen Strand Larsen,821100,Crystal Palace,forward,34.23,6.0,0.0,40
Exequiel Palacios,693599,Ipswich Town,midfielder,32.614000000000004,7.0,0.0,40
Anan Khalaili,1477878,Crystal Palace,midfielder,35.452,3.0,0.0,38
Leif Davis,980381,Ipswich Town,defender,36.745,0.0,0.0,37
Daichi Kamada,621515,Crystal Palace,midfielder,29.158,5.0,0.0,34
Abdul Fatawu,1265626,Ipswich Town,midfielder,23.678666666666665,7.0,0.0,31
Zian Flemming,873559,Ipswich Town,forward,26.84,3.0,0.0,30
Issa Diop,696443,Ipswich Town,defender,29.489999999999995,0.0,0.0,29
Saša Lukić,556972,Ipswich Town,midfielder,23.434666666666665,5.0,0.0,28
Chris Richards,950829,Crystal Palace,defender,32.44,-5.0,0.0,27
Honest Ahanor,1669629,Crystal Palace,defender,31.955,-5.0,0.0,27
Jacob Greaves,1079103,Ipswich Town,defender,21.90833333333333,0.0,0.0,22
Florentino,793255,Ipswich Town,midfielder,15.407333333333336,4.5,0.0,20
Jack Clarke,914402,Ipswich Town,midfielder,12.508,7.0,0.0,20
Adam Wharton,1296650,Crystal Palace,midfielder,13.946666666666667,5.0,0.0,19
Takehiro Tomiyasu,664444,Crystal Palace,defender,18.526666666666664,0.0,0.0,19
Tyrick Mitchell,1120224,Crystal Palace,midfielder,12.094666666666669,5.0,0.0,17
Julio Enciso,1073742,Ipswich Town,midfielder,6.513999999999999,7.0,0.0,14
Will Hughes,295067,Crystal Palace,midfielder,11.373333333333337,0.5,0.0,12
Abdoul Ouattara,1343053,Ipswich Town,defender,6.4016666666666655,5.0,0.0,11
Jaden Philogene-Bidace,1089645,Ipswich Town,forward,7.043333333333334,3.0,0.0,10
Ben Chilwell,672469,Crystal Palace,defender,7.848333333333334,0.0,0.0,8
Daizen Maeda,728765,Ipswich Town,forward,3.91,3.0,0.0,7
Axel Disasi,696646,Crystal Palace,defender,11.483333333333333,-5.0,0.0,6
Jefferson Lerma,466672,Crystal Palace,midfielder,5.502,0.5,0.0,6
Yéremi Pino,1047676,Crystal Palace,midfielder,2.6373333333333333,2.5,0.0,5
Zavier Gozo,1455818,Crystal Palace,midfielder,0.3120000000000001,0.5,0.0,1
Cédric Kipré,760398,Ipswich Town,defender,0.0,0.0,0.0,0
Chuba Akpom,413158,Ipswich Town,midfielder,0.0,0.0,0.0,0
Cheick Oumar Doucouré,951954,Crystal Palace,midfielder,0.0,0.0,0.0,0
Óscar Mingueza,952095,Crystal Palace,midfielder,0.0,0.0,0.0,0
Marcelino Núñez,1129081,Ipswich Town,midfielder,0.0,0.0,0.0,0
Dwight McNeil,939542,Crystal Palace,forward,0.0,0.0,0.0,0
Ipswich Town Keepers,9902,Ipswich Town,goalkeeper,20.42,6.0,0.0,26
Crystal Palace Keepers,9826,Crystal Palace,goalkeeper,23.02,0.0,0.0,23
