player_id,player_name,team_id,team_name,usual_playing_position_id,role,stat_points_weighted,stat_points_dispossessed_formula,stat_points_minutes,stat_points_total,minutes_played_derived,goals_for_while_on_field,goals_against_while_on_field,endowed_points,total_points
1473534,Jérémy Jacquet,8650,Liverpool,1,defender,30.834999999999997,3.0,3.0,36.834999999999994,90.0,0,0,10.0,46.834999999999994
209405,Virgil van Dijk,8650,Liverpool,1,defender,29.189999999999998,3.0,3.0,35.19,90.0,0,0,10.0,45.19
662428,Antonee Robinson,9879,Fulham,1,defender,23.840000000000003,3.0,3.0,29.840000000000003,90.0,0,0,10.0,39.84
1281452,Shea Charles,9879,Fulham,2,midfielder,27.613999999999997,1.9,3.0,32.513999999999996,90.0,0,0,5.0,37.513999999999996
877401,Calvin Bassey,9879,Fulham,1,defender,20.554999999999996,3.0,3.0,26.554999999999996,90.0,0,0,10.0,36.55499999999999
1073980,David Affengruber,9879,Fulham,1,defender,19.07,3.0,3.0,25.07,90.0,0,0,10.0,35.07
846005,Dominik Szoboszlai,8650,Liverpool,2,midfielder,25.604000000000003,-0.30000000000000027,3.0,28.304000000000002,90.0,0,0,5.0,33.304
956683,Ryan Gravenberch,8650,Liverpool,2,midfielder,24.078,1.9,2.0,27.977999999999998,60.0,0,0,5.0,32.977999999999994
540963,Sander Berge,9879,Fulham,2,midfielder,18.344000000000005,1.9,3.0,23.244000000000003,90.0,0,0,5.0,28.244000000000003
1152455,Florian Wirtz,8650,Liverpool,2,midfielder,15.338000000000003,3.0,3.0,21.338,90.0,0,0,5.0,26.338
966018,Jeremie Frimpong,8650,Liverpool,1,defender,16.71,3.0,0.6,20.310000000000002,18.0,0,0,5.0,25.310000000000002
1422593,Joshua King,9879,Fulham,2,midfielder,15.526,1.9,2.5666666666666664,19.992666666666665,77.0,0,0,5.0,24.992666666666665
921253,Ronald Araujo,8650,Liverpool,1,defender,9.684999999999999,1.8,2.4,13.885,72.0,0,0,10.0,23.884999999999998
671529,Konstantinos Tsimikas,8650,Liverpool,1,defender,9.88,1.8,1.5,13.180000000000001,46.0,0,0,10.0,23.18
465750,Timothy Castagne,9879,Fulham,1,defender,7.505,3.0,2.4,12.905,72.0,0,0,10.0,22.905
604785,Alex Iwobi,9879,Fulham,2,midfielder,12.924,1.9,2.5666666666666664,17.390666666666668,77.0,0,0,5.0,22.390666666666668
1113790,Oscar Bobb,9879,Fulham,2,midfielder,15.258,-0.30000000000000027,2.1,17.058,63.0,0,0,5.0,22.058
1413847,Gonzalo García,9879,Fulham,3,forward,12.120000000000001,5.0,2.5666666666666664,19.686666666666667,77.0,0,0,0.0,19.686666666666667
1297165,Bradley Barcola,8650,Liverpool,2,midfielder,9.068000000000001,3.0,2.4,14.468000000000002,72.0,0,0,5.0,19.468000000000004
831489,Alexis Mac Allister,8650,Liverpool,2,midfielder,12.896,3.0,1.0,16.896,30.0,0,0,2.5,19.396
1195281,Miloš Kerkez,8650,Liverpool,1,defender,7.905,3.0,1.5,12.405000000000001,44.0,0,0,5.0,17.405
690107,Alexander Isak,8650,Liverpool,3,forward,10.15,4.1,3.0,17.25,90.0,0,0,0.0,17.25
1553105,Víctor Muñoz,8650,Liverpool,2,midfielder,6.436,3.0,2.0,11.436,60.0,0,0,5.0,16.436
469804,Kenny Tete,9879,Fulham,1,defender,3.2849999999999997,3.0,0.9,7.1850000000000005,27.0,0,0,5.0,12.185
1318400,Kevin,9879,Fulham,3,forward,2.64,5.0,0.6,8.24,18.0,0,0,0.0,8.24
889534,Emile Smith Rowe,9879,Fulham,2,midfielder,2.2159999999999997,3.0,0.43333333333333335,5.649333333333333,13.0,0,0,2.5,8.149333333333333
1128945,Rodrigo Muniz,9879,Fulham,3,forward,2.26,5.0,0.43333333333333335,7.693333333333333,13.0,0,0,0.0,7.693333333333333
806552,Cody Gakpo,8650,Liverpool,3,forward,0.53,5.0,1.0,6.53,30.0,0,0,0.0,6.53
1597668,Rio Ngumoha,8650,Liverpool,3,forward,0.72,5.0,0.6,6.319999999999999,18.0,0,0,0.0,6.319999999999999
1339269,Hugo Larsson,9879,Fulham,2,midfielder,0.336,3.0,0.43333333333333335,3.769333333333333,13.0,0,0,2.5,6.269333333333333
202643,Wataru Endo,8650,Liverpool,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
503659,Joachim Andersen,9879,Fulham,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1436258,Trey Nyoni,8650,Liverpool,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1508427,Manuel Ángel,9879,Fulham,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1364042,Lewis Koumas,8650,Liverpool,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1403691,César Palacios,9879,Fulham,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
