player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Jan Paul van Hecke,974618,Tottenham Hotspur,defender,47.595000000000006,10.0,0.0,58
Vitaliy Mykolenko,874025,Everton,defender,37.645,10.0,0.0,48
James Tarkowski,243138,Everton,defender,33.2,10.0,0.0,43
James Garner,950474,Everton,midfielder,33.352000000000004,5.0,0.0,38
Archie Gray,1323305,Tottenham Hotspur,defender,28.17333333333333,10.0,0.0,38
Andrew Robertson,357880,Tottenham Hotspur,defender,24.28,10.0,0.0,34
Sandro Tonali,867414,Tottenham Hotspur,midfielder,28.696,5.0,0.0,34
Micky van de Ven,1097466,Tottenham Hotspur,defender,23.195,10.0,0.0,33
Ainsley Maitland-Niles,604089,Everton,defender,22.044999999999995,10.0,0.0,32
Sávio,1174337,Tottenham Hotspur,midfielder,26.37,5.0,0.0,31
Jarrad Branthwaite,1030829,Everton,defender,21.01,10.0,0.0,31
Kiernan Dewsbury-Hall,886016,Everton,midfielder,25.812,5.0,0.0,31
Rodrigo Bentancur,620618,Tottenham Hotspur,midfielder,25.202,5.0,0.0,30
Brennan Johnson,1076756,Everton,midfielder,21.35,5.0,0.0,26
Thierno Barry,1398392,Everton,forward,24.72,0.0,0.0,25
Mateus Fernandes,1356312,Tottenham Hotspur,midfielder,16.578,5.0,0.0,22
Mohammed Kudus,891743,Tottenham Hotspur,forward,20.4,0.0,0.0,20
Harrison Armstrong,1559637,Everton,midfielder,13.906000000000002,5.0,0.0,19
Tosin Adarabioyo,683402,Tottenham Hotspur,defender,11.476666666666668,5.0,0.0,16
Tyrique George,1424875,Everton,midfielder,11.416666666666664,5.0,0.0,16
Lucas Bergvall,1386775,Tottenham Hotspur,midfielder,12.924,2.5,0.0,15
Omar Marmoush,839204,Tottenham Hotspur,midfielder,6.000666666666666,5.0,0.0,11
James Maddison,493165,Tottenham Hotspur,midfielder,8.469333333333333,2.5,0.0,11
Hayden Hackney,982394,Everton,midfielder,7.286,2.5,0.0,10
Jack Grealish,312765,Everton,forward,8.853333333333333,0.0,0.0,9
Jake O'Brien,1098607,Everton,defender,3.565,5.0,0.0,9
Dominic Solanke,591734,Tottenham Hotspur,forward,5.359999999999999,0.0,0.0,5
Mathys Tel,1288111,Tottenham Hotspur,forward,5.32,0.0,0.0,5
Ben Davies,276121,Tottenham Hotspur,defender,0.0,0.0,0.0,0
Michael Keane,290410,Everton,defender,0.0,0.0,0.0,0
Marcos Senesi,785411,Tottenham Hotspur,defender,0.0,0.0,0.0,0
Conor Gallagher,966027,Tottenham Hotspur,midfielder,0.0,0.0,0.0,0
Charly Alcaraz,1128965,Everton,midfielder,0.0,0.0,0.0,0
Tyler Dibling,1292833,Everton,forward,0.0,0.0,0.0,0
Braiden Graham,1589726,Everton,forward,0.0,0.0,0.0,0
Tottenham Hotspur Keepers,8586,Tottenham Hotspur,goalkeeper,25.66,18.0,0.0,44
Everton Keepers,8668,Everton,goalkeeper,18.520000000000003,18.0,0.0,37
