player_id,player_name,team_id,team_name,usual_playing_position_id,role,stat_points_weighted,stat_points_dispossessed_formula,stat_points_minutes,stat_points_total,minutes_played_derived,goals_for_while_on_field,goals_against_while_on_field,endowed_points,total_points
534670,Martin Ødegaard,9825,Arsenal,2,midfielder,50.152,1.9,3.0,55.052,90.0,1,0,7.0,62.052
776151,Ben White,9825,Arsenal,1,defender,23.980000000000004,0.6000000000000001,2.7333333333333334,27.31333333333334,82.0,1,0,10.0,37.31333333333334
795179,Gabriel,9825,Arsenal,1,defender,21.045,3.0,3.0,27.045,90.0,1,0,10.0,37.045
1313884,Rafa Marín,9875,Napoli,1,defender,23.375,3.0,3.0,29.375,90.0,0,1,5.0,34.375
654096,Declan Rice,9825,Arsenal,2,midfielder,20.844,1.9,3.0,25.744,90.0,1,0,7.0,32.744
729093,Mathías Olivera,9875,Napoli,1,defender,21.660000000000004,3.0,3.0,27.660000000000004,90.0,0,1,5.0,32.660000000000004
710159,Ezri Konsa,9825,Arsenal,1,defender,13.79,3.0,3.0,19.79,90.0,1,0,10.0,29.79
1157237,Christos Tzolis,9825,Arsenal,3,forward,21.79,4.1,0.8,26.69,24.0,1,0,3.0,29.69
961995,Bukayo Saka,9825,Arsenal,2,midfielder,18.006,1.9,2.433333333333333,22.339333333333332,73.0,0,0,5.0,27.339333333333332
574645,Mikel Merino,9825,Arsenal,2,midfielder,18.102,1.9,2.1666666666666665,22.168666666666667,66.0,0,0,5.0,27.168666666666667
544693,Amir Rrahmani,9875,Napoli,1,defender,15.6,3.0,3.0,21.6,90.0,0,1,5.0,26.6
1137667,Piero Hincapié,9825,Arsenal,1,defender,10.870000000000003,1.8,3.0,15.670000000000003,90.0,1,0,10.0,25.67
664500,Viktor Gyökeres,9825,Arsenal,3,forward,15.04,5.0,2.433333333333333,22.473333333333333,73.0,0,0,0.0,22.473333333333333
414906,Giovanni Di Lorenzo,9875,Napoli,1,defender,10.55,3.0,3.0,16.55,90.0,0,1,5.0,21.55
942549,Billy Gilmour,9875,Napoli,2,midfielder,11.693999999999999,3.0,3.0,17.694,90.0,0,1,3.0,20.694
1084981,Noni Madueke,9825,Arsenal,3,forward,10.85,4.1,0.5666666666666667,15.516666666666666,17.0,1,0,3.0,18.516666666666666
169200,Kevin De Bruyne,9875,Napoli,2,midfielder,10.3,1.9,3.0,15.200000000000001,90.0,0,1,3.0,18.200000000000003
308517,Stanislav Lobotka,9875,Napoli,2,midfielder,9.474,3.0,2.5666666666666664,15.040666666666667,77.0,0,1,3.0,18.040666666666667
415539,Matteo Politano,9875,Napoli,2,midfielder,6.8100000000000005,3.0,1.9333333333333333,11.743333333333334,58.0,0,0,5.0,16.743333333333332
1355552,Alisson Santos,9875,Napoli,2,midfielder,6.5200000000000005,3.0,1.9333333333333333,11.453333333333333,58.0,0,0,5.0,16.453333333333333
818975,Eberechi Eze,9825,Arsenal,2,midfielder,4.3919999999999995,3.0,2.2,9.591999999999999,66.0,0,0,5.0,14.591999999999999
850354,Bruno Guimarães,9825,Arsenal,2,midfielder,6.0680000000000005,3.0,0.8333333333333334,9.901333333333335,24.0,1,0,4.5,14.401333333333335
749736,Kai Havertz,9825,Arsenal,3,forward,4.01,5.0,0.5666666666666667,9.576666666666666,17.0,1,0,3.0,12.576666666666666
1403328,Costantino Favasuli,9875,Napoli,2,midfielder,7.36,3.0,1.0666666666666667,11.426666666666666,32.0,0,1,0.5,11.926666666666666
1199272,Rasmus Højlund,9875,Napoli,3,forward,4.92,4.1,2.533333333333333,11.553333333333333,76.0,0,1,0.0,11.553333333333333
1031325,Martín Zubimendi,9825,Arsenal,2,midfielder,3.8740000000000006,3.0,0.26666666666666666,7.140666666666667,8.0,0,0,2.5,9.640666666666668
1320863,Antonio Vergara,9875,Napoli,2,midfielder,4.19,1.9,1.0666666666666667,7.156666666666666,32.0,0,1,0.5,7.656666666666666
793066,David Neres,9875,Napoli,2,midfielder,-0.07600000000000001,3.0,0.4666666666666667,3.3906666666666667,14.0,0,0,2.5,5.890666666666666
1212630,Lorenzo Lucca,9875,Napoli,3,forward,0.44000000000000017,5.0,0.43333333333333335,5.873333333333334,13.0,0,0,0.0,5.873333333333334
873573,Sam Beukema,9875,Napoli,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
955376,Benoît Badiashile,9875,Napoli,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1105912,Riccardo Calafiori,9825,Arsenal,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1406436,Myles Lewis-Skelly,9825,Arsenal,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1787525,Marli Salmon,9825,Arsenal,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
215242,Leonardo Spinazzola,9875,Napoli,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1635773,Max Dowman,9825,Arsenal,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
